lat,lon,ssh_m,sla_m,adt_m,source,date
33.8125,-78.8125,0.246,0.2231,0.246,CMEMS_ALT,2026-09-13
33.8125,-78.6875,0.2543,0.2322,0.2543,CMEMS_ALT,2026-09-13
33.8125,-78.5625,0.284,0.2382,0.284,CMEMS_ALT,2026-09-13
33.8125,-78.4375,0.2931,0.242,0.2931,CMEMS_ALT,2026-09-13
33.8125,-78.3125,0.2869,0.2446,0.2869,CMEMS_ALT,2026-09-13
33.8125,-78.1875,0.2906,0.2462,0.2906,CMEMS_ALT,2026-09-13
33.8125,-78.0625,0.2661,0.2459,0.2661,CMEMS_ALT,2026-09-13
33.8125,-77.9375,0.2574,0.2413,0.2574,CMEMS_ALT,2026-09-13
33.8125,-77.8125,0.2476,0.2289,0.2476,CMEMS_ALT,2026-09-13
33.8125,-77.6875,0.2315,0.2067,0.2315,CMEMS_ALT,2026-09-13
33.8125,-77.5625,0.2049,0.1772,0.2049,CMEMS_ALT,2026-09-13
33.8125,-77.4375,0.1703,0.1466,0.1703,CMEMS_ALT,2026-09-13
33.8125,-77.3125,0.1427,0.1222,0.1427,CMEMS_ALT,2026-09-13
33.8125,-77.1875,0.1006,0.1092,0.1006,CMEMS_ALT,2026-09-13
33.8125,-77.0625,0.0964,0.1096,0.0964,CMEMS_ALT,2026-09-13
33.8125,-76.9375,0.0998,0.1205,0.0998,CMEMS_ALT,2026-09-13
33.8125,-76.8125,0.1115,0.1347,0.1115,CMEMS_ALT,2026-09-13
33.8125,-76.6875,0.1232,0.1419,0.1232,CMEMS_ALT,2026-09-13
33.8125,-76.5625,0.1377,0.1353,0.1377,CMEMS_ALT,2026-09-13
33.8125,-76.4375,0.151,0.1168,0.151,CMEMS_ALT,2026-09-13
33.8125,-76.3125,0.1772,0.096,0.1772,CMEMS_ALT,2026-09-13
33.8125,-76.1875,0.2315,0.0837,0.2315,CMEMS_ALT,2026-09-13
33.8125,-76.0625,0.3147,0.0834,0.3147,CMEMS_ALT,2026-09-13
33.8125,-75.9375,0.4125,0.0897,0.4125,CMEMS_ALT,2026-09-13
33.8125,-75.8125,0.506,0.0939,0.506,CMEMS_ALT,2026-09-13
33.8125,-75.6875,0.5827,0.0922,0.5827,CMEMS_ALT,2026-09-13
33.8125,-75.5625,0.6475,0.0886,0.6475,CMEMS_ALT,2026-09-13
33.8125,-75.4375,0.7019,0.0903,0.7019,CMEMS_ALT,2026-09-13
33.8125,-75.3125,0.752,0.1005,0.752,CMEMS_ALT,2026-09-13
33.8125,-75.1875,0.805,0.1164,0.805,CMEMS_ALT,2026-09-13
33.8125,-75.0625,0.844,0.1315,0.844,CMEMS_ALT,2026-09-13
33.8125,-74.9375,0.8761,0.1416,0.8761,CMEMS_ALT,2026-09-13
33.8125,-74.8125,0.8979,0.1461,0.8979,CMEMS_ALT,2026-09-13
33.8125,-74.6875,0.9039,0.1462,0.9039,CMEMS_ALT,2026-09-13
33.8125,-74.5625,0.9022,0.1425,0.9022,CMEMS_ALT,2026-09-13
33.8125,-74.4375,0.8918,0.1353,0.8918,CMEMS_ALT,2026-09-13
33.8125,-74.3125,0.8803,0.1257,0.8803,CMEMS_ALT,2026-09-13
33.8125,-74.1875,0.8679,0.1166,0.8679,CMEMS_ALT,2026-09-13
33.8125,-74.0625,0.8546,0.1084,0.8546,CMEMS_ALT,2026-09-13
33.8125,-73.9375,0.836,0.0987,0.836,CMEMS_ALT,2026-09-13
33.8125,-73.8125,0.8089,0.0837,0.8089,CMEMS_ALT,2026-09-13
33.8125,-73.6875,0.7749,0.061,0.7749,CMEMS_ALT,2026-09-13
33.8125,-73.5625,0.7356,0.0311,0.7356,CMEMS_ALT,2026-09-13
33.8125,-73.4375,0.6938,-0.0041,0.6938,CMEMS_ALT,2026-09-13
33.8125,-73.3125,0.6552,-0.0419,0.6552,CMEMS_ALT,2026-09-13
33.8125,-73.1875,0.6176,-0.0794,0.6176,CMEMS_ALT,2026-09-13
33.8125,-73.0625,0.5806,-0.1132,0.5806,CMEMS_ALT,2026-09-13
33.8125,-72.9375,0.5468,-0.1392,0.5468,CMEMS_ALT,2026-09-13
33.8125,-72.8125,0.5308,-0.1534,0.5308,CMEMS_ALT,2026-09-13
33.8125,-72.6875,0.5343,-0.1529,0.5343,CMEMS_ALT,2026-09-13
33.8125,-72.5625,0.5545,-0.1375,0.5545,CMEMS_ALT,2026-09-13
33.8125,-72.4375,0.586,-0.109,0.586,CMEMS_ALT,2026-09-13
33.8125,-72.3125,0.625,-0.0708,0.625,CMEMS_ALT,2026-09-13
33.9375,-78.4375,0.265,0.2413,0.265,CMEMS_ALT,2026-09-13
33.9375,-78.3125,0.2676,0.2478,0.2676,CMEMS_ALT,2026-09-13
33.9375,-78.1875,0.2716,0.2518,0.2716,CMEMS_ALT,2026-09-13
33.9375,-78.0625,0.2718,0.2507,0.2718,CMEMS_ALT,2026-09-13
33.9375,-77.9375,0.2565,0.2414,0.2565,CMEMS_ALT,2026-09-13
33.9375,-77.8125,0.2372,0.2218,0.2372,CMEMS_ALT,2026-09-13
33.9375,-77.6875,0.2218,0.1926,0.2218,CMEMS_ALT,2026-09-13
