lat,lon,ssh_m,sla_m,adt_m,source,date
29.8125,-81.3125,0.1059,0.1393,0.1059,CMEMS_ALT,2026-09-11
29.8125,-81.1875,0.0939,0.1261,0.0939,CMEMS_ALT,2026-09-11
29.8125,-81.0625,0.0846,0.1128,0.0846,CMEMS_ALT,2026-09-11
29.8125,-80.9375,0.0505,0.0993,0.0505,CMEMS_ALT,2026-09-11
29.8125,-80.8125,0.03,0.0856,0.03,CMEMS_ALT,2026-09-11
29.8125,-80.6875,0.0124,0.0736,0.0124,CMEMS_ALT,2026-09-11
29.8125,-80.5625,0.0019,0.0653,0.0019,CMEMS_ALT,2026-09-11
29.8125,-80.4375,0.0035,0.0609,0.0035,CMEMS_ALT,2026-09-11
29.8125,-80.3125,0.0213,0.0572,0.0213,CMEMS_ALT,2026-09-11
29.8125,-80.1875,0.0712,0.0508,0.0712,CMEMS_ALT,2026-09-11
29.8125,-80.0625,0.1693,0.0419,0.1693,CMEMS_ALT,2026-09-11
29.8125,-79.9375,0.3089,0.0361,0.3089,CMEMS_ALT,2026-09-11
29.8125,-79.8125,0.4464,0.0414,0.4464,CMEMS_ALT,2026-09-11
29.8125,-79.6875,0.5686,0.0613,0.5686,CMEMS_ALT,2026-09-11
29.8125,-79.5625,0.6795,0.0913,0.6795,CMEMS_ALT,2026-09-11
29.8125,-79.4375,0.7657,0.1219,0.7657,CMEMS_ALT,2026-09-11
29.8125,-79.3125,0.8225,0.1447,0.8225,CMEMS_ALT,2026-09-11
29.8125,-79.1875,0.853,0.1583,0.853,CMEMS_ALT,2026-09-11
29.8125,-79.0625,0.8596,0.1674,0.8596,CMEMS_ALT,2026-09-11
29.8125,-78.9375,0.8651,0.177,0.8651,CMEMS_ALT,2026-09-11
29.8125,-78.8125,0.8708,0.1884,0.8708,CMEMS_ALT,2026-09-11
29.8125,-78.6875,0.8892,0.2002,0.8892,CMEMS_ALT,2026-09-11
29.8125,-78.5625,0.904,0.2122,0.904,CMEMS_ALT,2026-09-11
29.8125,-78.4375,0.9096,0.2269,0.9096,CMEMS_ALT,2026-09-11
29.8125,-78.3125,0.9155,0.2464,0.9155,CMEMS_ALT,2026-09-11
29.8125,-78.1875,0.928,0.2693,0.928,CMEMS_ALT,2026-09-11
29.8125,-78.0625,0.9363,0.29,0.9363,CMEMS_ALT,2026-09-11
29.8125,-77.9375,0.9397,0.3019,0.9397,CMEMS_ALT,2026-09-11
29.8125,-77.8125,0.9311,0.3013,0.9311,CMEMS_ALT,2026-09-11
29.8125,-77.6875,0.9186,0.2896,0.9186,CMEMS_ALT,2026-09-11
29.8125,-77.5625,0.9061,0.2717,0.9061,CMEMS_ALT,2026-09-11
29.8125,-77.4375,0.8934,0.2518,0.8934,CMEMS_ALT,2026-09-11
29.8125,-77.3125,0.8785,0.2319,0.8785,CMEMS_ALT,2026-09-11
29.8125,-77.1875,0.8705,0.2119,0.8705,CMEMS_ALT,2026-09-11
29.8125,-77.0625,0.8646,0.1916,0.8646,CMEMS_ALT,2026-09-11
29.8125,-76.9375,0.852,0.1711,0.852,CMEMS_ALT,2026-09-11
29.8125,-76.8125,0.8416,0.1502,0.8416,CMEMS_ALT,2026-09-11
29.8125,-76.6875,0.8252,0.128,0.8252,CMEMS_ALT,2026-09-11
29.8125,-76.5625,0.8079,0.1042,0.8079,CMEMS_ALT,2026-09-11
29.8125,-76.4375,0.7876,0.0794,0.7876,CMEMS_ALT,2026-09-11
29.8125,-76.3125,0.7651,0.0561,0.7651,CMEMS_ALT,2026-09-11
29.8125,-76.1875,0.7454,0.0385,0.7454,CMEMS_ALT,2026-09-11
29.8125,-76.0625,0.735,0.0308,0.735,CMEMS_ALT,2026-09-11
29.8125,-75.9375,0.7329,0.0349,0.7329,CMEMS_ALT,2026-09-11
29.8125,-75.8125,0.7389,0.0484,0.7389,CMEMS_ALT,2026-09-11
29.8125,-75.6875,0.7522,0.0658,0.7522,CMEMS_ALT,2026-09-11
29.8125,-75.5625,0.7612,0.0807,0.7612,CMEMS_ALT,2026-09-11
29.8125,-75.4375,0.7617,0.0888,0.7617,CMEMS_ALT,2026-09-11
29.8125,-75.3125,0.7604,0.0891,0.7604,CMEMS_ALT,2026-09-11
29.9375,-81.3125,0.1168,0.1468,0.1168,CMEMS_ALT,2026-09-11
29.9375,-81.1875,0.1059,0.1354,0.1059,CMEMS_ALT,2026-09-11
29.9375,-81.0625,0.0932,0.1239,0.0932,CMEMS_ALT,2026-09-11
29.9375,-80.9375,0.0647,0.1115,0.0647,CMEMS_ALT,2026-09-11
29.9375,-80.8125,0.0431,0.0979,0.0431,CMEMS_ALT,2026-09-11
29.9375,-80.6875,0.0304,0.0845,0.0304,CMEMS_ALT,2026-09-11
29.9375,-80.5625,0.0102,0.0735,0.0102,CMEMS_ALT,2026-09-11
29.9375,-80.4375,0.0081,0.0655,0.0081,CMEMS_ALT,2026-09-11
29.9375,-80.3125,0.0244,0.059,0.0244,CMEMS_ALT,2026-09-11
29.9375,-80.1875,0.0715,0.0515,0.0715,CMEMS_ALT,2026-09-11
29.9375,-80.0625,0.1705,0.0432,0.1705,CMEMS_ALT,2026-09-11
29.9375,-79.9375,0.3079,0.0386,0.3079,CMEMS_ALT,2026-09-11
29.9375,-79.8125,0.4442,0.0435,0.4442,CMEMS_ALT,2026-09-11
29.9375,-79.6875,0.5681,0.0611,0.5681,CMEMS_ALT,2026-09-11
29.9375,-79.5625,0.6758,0.0884,0.6758,CMEMS_ALT,2026-09-11
29.9375,-79.4375,0.7641,0.1179,0.7641,CMEMS_ALT,2026-09-11
29.9375,-79.3125,0.8222,0.1419,0.8222,CMEMS_ALT,2026-09-11
29.9375,-79.1875,0.8563,0.1582,0.8563,CMEMS_ALT,2026-09-11
29.9375,-79.0625,0.8657,0.1696,0.8657,CMEMS_ALT,2026-09-11
29.9375,-78.9375,0.878,0.1808,0.878,CMEMS_ALT,2026-09-11
29.9375,-78.8125,0.8847,0.1942,0.8847,CMEMS_ALT,2026-09-11
