lat,lon,ssh_m,sla_m,adt_m,source,date
26.0625,-81.9375,0.4163,0.2144,0.4163,CMEMS_ALT,2026-07-18
26.0625,-81.8125,0.3988,0.1962,0.3988,CMEMS_ALT,2026-07-18
26.0625,-81.6875,0.3641,0.1804,0.3641,CMEMS_ALT,2026-07-18
26.0625,-80.0625,0.1985,0.1197,0.1985,CMEMS_ALT,2026-07-18
26.0625,-79.9375,0.2962,0.1174,0.2962,CMEMS_ALT,2026-07-18
26.0625,-79.8125,0.4067,0.1211,0.4067,CMEMS_ALT,2026-07-18
26.0625,-79.6875,0.5412,0.1352,0.5412,CMEMS_ALT,2026-07-18
26.0625,-79.5625,0.6717,0.1604,0.6717,CMEMS_ALT,2026-07-18
26.0625,-79.4375,0.7847,0.1915,0.7847,CMEMS_ALT,2026-07-18
26.0625,-79.3125,0.8589,0.219,0.8589,CMEMS_ALT,2026-07-18
26.0625,-79.1875,0.9009,0.2348,0.9009,CMEMS_ALT,2026-07-18
26.0625,-79.0625,0.9057,0.2359,0.9057,CMEMS_ALT,2026-07-18
26.0625,-78.9375,0.8853,0.2261,0.8853,CMEMS_ALT,2026-07-18
26.0625,-78.8125,0.8555,0.2123,0.8555,CMEMS_ALT,2026-07-18
26.0625,-78.6875,0.8376,0.201,0.8376,CMEMS_ALT,2026-07-18
26.0625,-78.5625,0.8205,0.1955,0.8205,CMEMS_ALT,2026-07-18
26.0625,-78.4375,0.8001,0.1957,0.8001,CMEMS_ALT,2026-07-18
26.0625,-78.3125,0.7919,0.1983,0.7919,CMEMS_ALT,2026-07-18
26.0625,-78.1875,0.8003,0.199,0.8003,CMEMS_ALT,2026-07-18
26.0625,-78.0625,0.8099,0.1944,0.8099,CMEMS_ALT,2026-07-18
26.0625,-77.9375,0.813,0.1844,0.813,CMEMS_ALT,2026-07-18
26.0625,-77.8125,0.8141,0.1712,0.8141,CMEMS_ALT,2026-07-18
26.0625,-77.6875,0.8043,0.1582,0.8043,CMEMS_ALT,2026-07-18
26.0625,-77.5625,0.8124,0.1486,0.8124,CMEMS_ALT,2026-07-18
26.0625,-77.4375,0.8039,0.1437,0.8039,CMEMS_ALT,2026-07-18
26.0625,-77.3125,0.8028,0.1428,0.8028,CMEMS_ALT,2026-07-18
26.0625,-77.1875,0.8003,0.1438,0.8003,CMEMS_ALT,2026-07-18
26.0625,-77.0625,0.7953,0.1437,0.7953,CMEMS_ALT,2026-07-18
26.0625,-76.9375,0.7855,0.1404,0.7855,CMEMS_ALT,2026-07-18
26.0625,-76.8125,0.7772,0.1334,0.7772,CMEMS_ALT,2026-07-18
26.0625,-76.6875,0.7667,0.124,0.7667,CMEMS_ALT,2026-07-18
26.0625,-76.5625,0.7561,0.1141,0.7561,CMEMS_ALT,2026-07-18
26.0625,-76.4375,0.7503,0.1059,0.7503,CMEMS_ALT,2026-07-18
26.0625,-76.3125,0.7454,0.1004,0.7454,CMEMS_ALT,2026-07-18
26.0625,-76.1875,0.7455,0.0962,0.7455,CMEMS_ALT,2026-07-18
26.1875,-81.9375,0.3854,0.2068,0.3854,CMEMS_ALT,2026-07-18
26.1875,-81.8125,0.3725,0.1877,0.3725,CMEMS_ALT,2026-07-18
26.1875,-80.0625,0.1947,0.1218,0.1947,CMEMS_ALT,2026-07-18
26.1875,-79.9375,0.2824,0.1159,0.2824,CMEMS_ALT,2026-07-18
26.1875,-79.8125,0.3849,0.115,0.3849,CMEMS_ALT,2026-07-18
26.1875,-79.6875,0.5213,0.1269,0.5213,CMEMS_ALT,2026-07-18
26.1875,-79.5625,0.6535,0.1539,0.6535,CMEMS_ALT,2026-07-18
26.1875,-79.4375,0.7663,0.1889,0.7663,CMEMS_ALT,2026-07-18
26.1875,-79.3125,0.8474,0.2192,0.8474,CMEMS_ALT,2026-07-18
26.1875,-79.1875,0.8874,0.2339,0.8874,CMEMS_ALT,2026-07-18
26.1875,-79.0625,0.8887,0.2306,0.8887,CMEMS_ALT,2026-07-18
26.1875,-78.9375,0.8621,0.2151,0.8621,CMEMS_ALT,2026-07-18
26.1875,-78.8125,0.8299,0.1971,0.8299,CMEMS_ALT,2026-07-18
26.1875,-78.6875,0.8074,0.1839,0.8074,CMEMS_ALT,2026-07-18
26.1875,-78.5625,0.789,0.1787,0.789,CMEMS_ALT,2026-07-18
26.1875,-78.4375,0.7722,0.1803,0.7722,CMEMS_ALT,2026-07-18
26.1875,-78.3125,0.7662,0.1842,0.7662,CMEMS_ALT,2026-07-18
26.1875,-78.1875,0.7759,0.1848,0.7759,CMEMS_ALT,2026-07-18
26.1875,-78.0625,0.7887,0.179,0.7887,CMEMS_ALT,2026-07-18
26.1875,-77.9375,0.7972,0.1674,0.7972,CMEMS_ALT,2026-07-18
26.1875,-77.8125,0.7935,0.1529,0.7935,CMEMS_ALT,2026-07-18
26.1875,-77.6875,0.7963,0.1392,0.7963,CMEMS_ALT,2026-07-18
26.1875,-77.5625,0.7917,0.1289,0.7917,CMEMS_ALT,2026-07-18
26.1875,-77.4375,0.7895,0.1236,0.7895,CMEMS_ALT,2026-07-18
26.1875,-77.3125,0.7816,0.1237,0.7816,CMEMS_ALT,2026-07-18
26.1875,-77.1875,0.7832,0.1276,0.7832,CMEMS_ALT,2026-07-18
26.1875,-77.0625,0.7873,0.1323,0.7873,CMEMS_ALT,2026-07-18
26.1875,-76.9375,0.787,0.1342,0.787,CMEMS_ALT,2026-07-18
26.1875,-76.8125,0.7835,0.1316,0.7835,CMEMS_ALT,2026-07-18
26.1875,-76.6875,0.7735,0.1244,0.7735,CMEMS_ALT,2026-07-18
26.1875,-76.5625,0.7634,0.1142,0.7634,CMEMS_ALT,2026-07-18
26.1875,-76.4375,0.7574,0.1033,0.7574,CMEMS_ALT,2026-07-18
26.1875,-76.3125,0.7524,0.0933,0.7524,CMEMS_ALT,2026-07-18
26.1875,-76.1875,0.7458,0.0842,0.7458,CMEMS_ALT,2026-07-18
26.3125,-81.9375,0.3772,0.2081,0.3772,CMEMS_ALT,2026-07-18
26.3125,-81.8125,0.3647,0.1881,0.3647,CMEMS_ALT,2026-07-18
26.3125,-80.0625,0.1874,0.1236,0.1874,CMEMS_ALT,2026-07-18
26.3125,-79.9375,0.2661,0.1148,0.2661,CMEMS_ALT,2026-07-18
26.3125,-79.8125,0.3636,0.1106,0.3636,CMEMS_ALT,2026-07-18
26.3125,-79.6875,0.4984,0.1216,0.4984,CMEMS_ALT,2026-07-18
26.3125,-79.5625,0.6368,0.1508,0.6368,CMEMS_ALT,2026-07-18
26.3125,-79.4375,0.7582,0.189,0.7582,CMEMS_ALT,2026-07-18
26.3125,-79.3125,0.8436,0.2197,0.8436,CMEMS_ALT,2026-07-18
26.3125,-79.1875,0.8797,0.2303,0.8797,CMEMS_ALT,2026-07-18
26.3125,-79.0625,0.8769,0.2196,0.8769,CMEMS_ALT,2026-07-18
26.3125,-78.9375,0.845,0.1967,0.845,CMEMS_ALT,2026-07-18
26.3125,-78.8125,0.797,0.1742,0.797,CMEMS_ALT,2026-07-18
26.3125,-78.6875,0.7794,0.1609,0.7794,CMEMS_ALT,2026-07-18
26.3125,-78.5625,0.7701,0.1583,0.7701,CMEMS_ALT,2026-07-18
26.3125,-78.4375,0.7654,0.163,0.7654,CMEMS_ALT,2026-07-18
26.3125,-78.3125,0.7645,0.1683,0.7645,CMEMS_ALT,2026-07-18
26.3125,-78.1875,0.7759,0.1676,0.7759,CMEMS_ALT,2026-07-18
26.3125,-78.0625,0.7817,0.159,0.7817,CMEMS_ALT,2026-07-18
26.3125,-77.9375,0.7847,0.1455,0.7847,CMEMS_ALT,2026-07-18
26.3125,-77.8125,0.7835,0.1316,0.7835,CMEMS_ALT,2026-07-18
26.3125,-77.6875,0.7816,0.1205,0.7816,CMEMS_ALT,2026-07-18
26.3125,-77.5625,0.7755,0.1135,0.7755,CMEMS_ALT,2026-07-18
26.3125,-77.4375,0.7655,0.111,0.7655,CMEMS_ALT,2026-07-18
26.3125,-77.3125,0.7656,0.1131,0.7656,CMEMS_ALT,2026-07-18
26.3125,-77.1875,0.7741,0.1191,0.7741,CMEMS_ALT,2026-07-18
26.3125,-77.0625,0.7834,0.1262,0.7834,CMEMS_ALT,2026-07-18
26.3125,-76.9375,0.7889,0.1307,0.7889,CMEMS_ALT,2026-07-18
26.3125,-76.8125,0.7856,0.1302,0.7856,CMEMS_ALT,2026-07-18
26.3125,-76.6875,0.7768,0.1238,0.7768,CMEMS_ALT,2026-07-18
26.3125,-76.5625,0.7697,0.1126,0.7697,CMEMS_ALT,2026-07-18
26.3125,-76.4375,0.7627,0.0987,0.7627,CMEMS_ALT,2026-07-18
26.3125,-76.3125,0.754,0.0842,0.754,CMEMS_ALT,2026-07-18
26.3125,-76.1875,0.7438,0.0704,0.7438,CMEMS_ALT,2026-07-18
26.4375,-81.9375,0.3783,0.2261,0.3783,CMEMS_ALT,2026-07-18
26.4375,-81.8125,0.3746,0.2064,0.3746,CMEMS_ALT,2026-07-18
26.4375,-80.0625,0.1869,0.1237,0.1869,CMEMS_ALT,2026-07-18
26.4375,-79.9375,0.2525,0.1146,0.2525,CMEMS_ALT,2026-07-18
26.4375,-79.8125,0.3492,0.1099,0.3492,CMEMS_ALT,2026-07-18
26.4375,-79.6875,0.4866,0.1214,0.4866,CMEMS_ALT,2026-07-18
26.4375,-79.5625,0.6291,0.1519,0.6291,CMEMS_ALT,2026-07-18
26.4375,-79.4375,0.7527,0.1904,0.7527,CMEMS_ALT,2026-07-18
26.4375,-79.3125,0.8373,0.2183,0.8373,CMEMS_ALT,2026-07-18
26.4375,-79.1875,0.8701,0.2225,0.8701,CMEMS_ALT,2026-07-18
26.4375,-79.0625,0.8406,0.2034,0.8406,CMEMS_ALT,2026-07-18
26.4375,-78.9375,0.8059,0.1731,0.8059,CMEMS_ALT,2026-07-18
26.4375,-78.8125,0.7779,0.1464,0.7779,CMEMS_ALT,2026-07-18
26.4375,-78.6875,0.7587,0.1323,0.7587,CMEMS_ALT,2026-07-18
26.4375,-78.5625,0.7589,0.1308,0.7589,CMEMS_ALT,2026-07-18
26.4375,-78.4375,0.7512,0.1355,0.7512,CMEMS_ALT,2026-07-18
26.4375,-78.3125,0.7507,0.1387,0.7507,CMEMS_ALT,2026-07-18
26.4375,-78.1875,0.7542,0.1344,0.7542,CMEMS_ALT,2026-07-18
26.4375,-78.0625,0.754,0.1229,0.754,CMEMS_ALT,2026-07-18
26.4375,-77.9375,0.7567,0.1101,0.7567,CMEMS_ALT,2026-07-18
26.4375,-77.8125,0.7633,0.1014,0.7633,CMEMS_ALT,2026-07-18
26.4375,-77.6875,0.7654,0.0986,0.7654,CMEMS_ALT,2026-07-18
26.4375,-77.5625,0.7606,0.1002,0.7606,CMEMS_ALT,2026-07-18
26.4375,-77.4375,0.7591,0.1044,0.7591,CMEMS_ALT,2026-07-18
26.4375,-77.3125,0.7696,0.1106,0.7696,CMEMS_ALT,2026-07-18
26.4375,-77.1875,0.7726,0.1184,0.7726,CMEMS_ALT,2026-07-18
26.4375,-77.0625,0.7792,0.1262,0.7792,CMEMS_ALT,2026-07-18
26.4375,-76.9375,0.7872,0.1307,0.7872,CMEMS_ALT,2026-07-18
26.4375,-76.8125,0.7837,0.1296,0.7837,CMEMS_ALT,2026-07-18
26.4375,-76.6875,0.7759,0.1221,0.7759,CMEMS_ALT,2026-07-18
26.4375,-76.5625,0.7722,0.109,0.7722,CMEMS_ALT,2026-07-18
26.4375,-76.4375,0.764,0.0922,0.764,CMEMS_ALT,2026-07-18
26.4375,-76.3125,0.7536,0.0741,0.7536,CMEMS_ALT,2026-07-18
26.4375,-76.1875,0.7427,0.0569,0.7427,CMEMS_ALT,2026-07-18
26.5625,-81.9375,0.4123,0.2579,0.4123,CMEMS_ALT,2026-07-18
26.5625,-80.0625,0.1794,0.1214,0.1794,CMEMS_ALT,2026-07-18
26.5625,-79.9375,0.2398,0.1149,0.2398,CMEMS_ALT,2026-07-18
26.5625,-79.8125,0.3401,0.1125,0.3401,CMEMS_ALT,2026-07-18
26.5625,-79.6875,0.4833,0.1253,0.4833,CMEMS_ALT,2026-07-18
26.5625,-79.5625,0.6268,0.1553,0.6268,CMEMS_ALT,2026-07-18
26.5625,-79.4375,0.7494,0.1911,0.7494,CMEMS_ALT,2026-07-18
26.5625,-79.3125,0.8297,0.2145,0.8297,CMEMS_ALT,2026-07-18
26.5625,-79.1875,0.8358,0.2132,0.8358,CMEMS_ALT,2026-07-18
26.5625,-79.0625,0.8326,0.1885,0.8326,CMEMS_ALT,2026-07-18
26.5625,-78.9375,0.8064,0.1532,0.8064,CMEMS_ALT,2026-07-18
26.5625,-78.8125,0.7596,0.1223,0.7596,CMEMS_ALT,2026-07-18
26.5625,-78.6875,0.7328,0.1035,0.7328,CMEMS_ALT,2026-07-18
26.5625,-78.5625,0.7301,0.0956,0.7301,CMEMS_ALT,2026-07-18
26.5625,-78.4375,0.7352,0.0921,0.7352,CMEMS_ALT,2026-07-18
26.5625,-78.3125,0.7269,0.0864,0.7269,CMEMS_ALT,2026-07-18
