lat,lon,ssh_m,sla_m,adt_m,source,date
22.1875,-83.0625,0.7745,0.1357,0.7745,CMEMS_ALT,2026-08-20
22.1875,-82.9375,0.7713,0.1454,0.7713,CMEMS_ALT,2026-08-20
22.1875,-82.8125,0.7956,0.1526,0.7956,CMEMS_ALT,2026-08-20
22.1875,-82.6875,0.8181,0.1566,0.8181,CMEMS_ALT,2026-08-20
22.1875,-82.5625,0.8302,0.1573,0.8302,CMEMS_ALT,2026-08-20
22.1875,-82.4375,0.8559,0.1551,0.8559,CMEMS_ALT,2026-08-20
22.1875,-82.3125,0.8506,0.1519,0.8506,CMEMS_ALT,2026-08-20
22.1875,-82.1875,0.8593,0.1505,0.8593,CMEMS_ALT,2026-08-20
22.1875,-82.0625,0.831,0.1535,0.831,CMEMS_ALT,2026-08-20
22.1875,-81.9375,0.8376,0.162,0.8376,CMEMS_ALT,2026-08-20
22.1875,-81.8125,0.8575,0.1758,0.8575,CMEMS_ALT,2026-08-20
22.1875,-81.6875,0.8761,0.1934,0.8761,CMEMS_ALT,2026-08-20
22.1875,-81.5625,0.9011,0.2132,0.9011,CMEMS_ALT,2026-08-20
22.1875,-81.4375,0.9283,0.2331,0.9283,CMEMS_ALT,2026-08-20
22.1875,-81.1875,0.9821,0.2651,0.9821,CMEMS_ALT,2026-08-20
22.1875,-78.4375,0.9843,0.2953,0.9843,CMEMS_ALT,2026-08-20
22.1875,-78.3125,0.9762,0.2896,0.9762,CMEMS_ALT,2026-08-20
22.1875,-78.1875,0.9028,0.2784,0.9028,CMEMS_ALT,2026-08-20
22.1875,-78.0625,0.9392,0.2614,0.9392,CMEMS_ALT,2026-08-20
22.1875,-77.9375,0.9152,0.2392,0.9152,CMEMS_ALT,2026-08-20
22.1875,-77.8125,0.8707,0.2139,0.8707,CMEMS_ALT,2026-08-20
22.1875,-77.6875,0.8515,0.1886,0.8515,CMEMS_ALT,2026-08-20
22.1875,-77.5625,0.8386,0.1668,0.8386,CMEMS_ALT,2026-08-20
22.1875,-77.4375,0.8326,0.1514,0.8326,CMEMS_ALT,2026-08-20
22.1875,-77.3125,0.8257,0.1434,0.8257,CMEMS_ALT,2026-08-20
22.1875,-77.1875,0.8273,0.142,0.8273,CMEMS_ALT,2026-08-20
22.1875,-77.0625,0.8371,0.1444,0.8371,CMEMS_ALT,2026-08-20
22.1875,-76.9375,0.8446,0.1473,0.8446,CMEMS_ALT,2026-08-20
22.1875,-76.8125,0.8464,0.1484,0.8464,CMEMS_ALT,2026-08-20
22.1875,-76.6875,0.8431,0.1467,0.8431,CMEMS_ALT,2026-08-20
22.1875,-76.5625,0.8368,0.1435,0.8368,CMEMS_ALT,2026-08-20
22.1875,-76.4375,0.8265,0.1407,0.8265,CMEMS_ALT,2026-08-20
22.1875,-76.3125,0.822,0.14,0.822,CMEMS_ALT,2026-08-20
22.1875,-76.1875,0.8204,0.142,0.8204,CMEMS_ALT,2026-08-20
22.3125,-83.0625,0.7848,0.1372,0.7848,CMEMS_ALT,2026-08-20
22.3125,-82.9375,0.7844,0.1426,0.7844,CMEMS_ALT,2026-08-20
22.3125,-82.8125,0.7704,0.1461,0.7704,CMEMS_ALT,2026-08-20
22.3125,-82.6875,0.7937,0.1478,0.7937,CMEMS_ALT,2026-08-20
22.3125,-82.5625,0.819,0.1481,0.819,CMEMS_ALT,2026-08-20
22.3125,-82.4375,0.827,0.1474,0.827,CMEMS_ALT,2026-08-20
22.3125,-82.3125,0.8227,0.1471,0.8227,CMEMS_ALT,2026-08-20
22.3125,-82.1875,0.8302,0.1492,0.8302,CMEMS_ALT,2026-08-20
22.3125,-82.0625,0.8224,0.1555,0.8224,CMEMS_ALT,2026-08-20
22.3125,-81.9375,0.8404,0.1669,0.8404,CMEMS_ALT,2026-08-20
22.3125,-81.1875,0.9881,0.2727,0.9881,CMEMS_ALT,2026-08-20
22.3125,-78.8125,0.9839,0.2834,0.9839,CMEMS_ALT,2026-08-20
22.3125,-78.6875,0.9843,0.2855,0.9843,CMEMS_ALT,2026-08-20
22.3125,-78.5625,0.9784,0.2837,0.9784,CMEMS_ALT,2026-08-20
22.3125,-78.4375,0.979,0.2775,0.979,CMEMS_ALT,2026-08-20
22.3125,-78.3125,0.9566,0.2667,0.9566,CMEMS_ALT,2026-08-20
22.3125,-78.1875,0.9371,0.2515,0.9371,CMEMS_ALT,2026-08-20
22.3125,-78.0625,0.8895,0.2328,0.8895,CMEMS_ALT,2026-08-20
22.3125,-77.9375,0.8753,0.2118,0.8753,CMEMS_ALT,2026-08-20
22.3125,-77.8125,0.8582,0.1907,0.8582,CMEMS_ALT,2026-08-20
22.3125,-77.6875,0.847,0.1714,0.847,CMEMS_ALT,2026-08-20
22.3125,-77.5625,0.8419,0.1562,0.8419,CMEMS_ALT,2026-08-20
22.3125,-77.4375,0.8364,0.1464,0.8364,CMEMS_ALT,2026-08-20
22.3125,-77.3125,0.8341,0.1424,0.8341,CMEMS_ALT,2026-08-20
22.3125,-77.1875,0.8319,0.1432,0.8319,CMEMS_ALT,2026-08-20
22.3125,-77.0625,0.8388,0.1466,0.8388,CMEMS_ALT,2026-08-20
22.3125,-76.9375,0.8474,0.1499,0.8474,CMEMS_ALT,2026-08-20
22.3125,-76.8125,0.8509,0.1513,0.8509,CMEMS_ALT,2026-08-20
22.3125,-76.6875,0.8431,0.1506,0.8431,CMEMS_ALT,2026-08-20
22.3125,-76.5625,0.8402,0.1485,0.8402,CMEMS_ALT,2026-08-20
22.3125,-76.4375,0.8319,0.1468,0.8319,CMEMS_ALT,2026-08-20
22.3125,-76.3125,0.8266,0.1465,0.8266,CMEMS_ALT,2026-08-20
22.3125,-76.1875,0.828,0.1481,0.828,CMEMS_ALT,2026-08-20
22.4375,-83.0625,0.7806,0.1415,0.7806,CMEMS_ALT,2026-08-20
22.4375,-82.9375,0.7741,0.1428,0.7741,CMEMS_ALT,2026-08-20
22.4375,-82.8125,0.7736,0.1428,0.7736,CMEMS_ALT,2026-08-20
22.4375,-82.6875,0.7789,0.1421,0.7789,CMEMS_ALT,2026-08-20
22.4375,-82.5625,0.7904,0.1413,0.7904,CMEMS_ALT,2026-08-20
22.4375,-82.4375,0.8064,0.141,0.8064,CMEMS_ALT,2026-08-20
22.4375,-82.3125,0.8052,0.1421,0.8052,CMEMS_ALT,2026-08-20
22.4375,-82.1875,0.8051,0.146,0.8051,CMEMS_ALT,2026-08-20
22.4375,-82.0625,0.8033,0.1542,0.8033,CMEMS_ALT,2026-08-20
22.4375,-81.9375,0.8226,0.1672,0.8226,CMEMS_ALT,2026-08-20
22.4375,-81.8125,0.8046,0.1841,0.8046,CMEMS_ALT,2026-08-20
22.4375,-81.6875,0.8273,0.2034,0.8273,CMEMS_ALT,2026-08-20
22.4375,-79.4375,0.9271,0.2436,0.9271,CMEMS_ALT,2026-08-20
22.4375,-79.3125,0.9349,0.2476,0.9349,CMEMS_ALT,2026-08-20
22.4375,-79.1875,0.9641,0.2522,0.9641,CMEMS_ALT,2026-08-20
22.4375,-79.0625,0.9513,0.2576,0.9513,CMEMS_ALT,2026-08-20
22.4375,-78.9375,0.9606,0.2631,0.9606,CMEMS_ALT,2026-08-20
22.4375,-78.8125,0.9656,0.2671,0.9656,CMEMS_ALT,2026-08-20
22.4375,-78.6875,0.9595,0.2674,0.9595,CMEMS_ALT,2026-08-20
22.4375,-78.5625,0.9498,0.2629,0.9498,CMEMS_ALT,2026-08-20
22.4375,-78.4375,0.9455,0.2532,0.9455,CMEMS_ALT,2026-08-20
22.4375,-78.3125,0.9333,0.2388,0.9333,CMEMS_ALT,2026-08-20
22.4375,-78.1875,0.9075,0.221,0.9075,CMEMS_ALT,2026-08-20
22.4375,-78.0625,0.8863,0.202,0.8863,CMEMS_ALT,2026-08-20
22.4375,-77.9375,0.8662,0.1839,0.8662,CMEMS_ALT,2026-08-20
22.4375,-77.8125,0.8535,0.1684,0.8535,CMEMS_ALT,2026-08-20
22.4375,-77.6875,0.85,0.1565,0.85,CMEMS_ALT,2026-08-20
22.4375,-77.5625,0.8469,0.1485,0.8469,CMEMS_ALT,2026-08-20
22.4375,-77.4375,0.8422,0.1445,0.8422,CMEMS_ALT,2026-08-20
22.4375,-77.3125,0.8423,0.1443,0.8423,CMEMS_ALT,2026-08-20
22.4375,-77.1875,0.8447,0.1469,0.8447,CMEMS_ALT,2026-08-20
22.4375,-77.0625,0.8444,0.1507,0.8444,CMEMS_ALT,2026-08-20
22.4375,-76.9375,0.8483,0.1539,0.8483,CMEMS_ALT,2026-08-20
22.4375,-76.8125,0.8469,0.1555,0.8469,CMEMS_ALT,2026-08-20
22.4375,-76.6875,0.8448,0.1554,0.8448,CMEMS_ALT,2026-08-20
22.4375,-76.5625,0.8465,0.1545,0.8465,CMEMS_ALT,2026-08-20
22.4375,-76.4375,0.8425,0.1537,0.8425,CMEMS_ALT,2026-08-20
22.4375,-76.3125,0.837,0.1537,0.837,CMEMS_ALT,2026-08-20
22.4375,-76.1875,0.8351,0.1548,0.8351,CMEMS_ALT,2026-08-20
22.5625,-83.0625,0.7901,0.1467,0.7901,CMEMS_ALT,2026-08-20
22.5625,-82.9375,0.7883,0.1448,0.7883,CMEMS_ALT,2026-08-20
22.5625,-82.8125,0.7732,0.142,0.7732,CMEMS_ALT,2026-08-20
22.5625,-82.6875,0.7668,0.139,0.7668,CMEMS_ALT,2026-08-20
22.5625,-82.5625,0.7642,0.1367,0.7642,CMEMS_ALT,2026-08-20
