lat,lon,ssh_m,sla_m,adt_m,source,date
37.3125,-76.6875,0.0197,0.1072,0.0197,CMEMS_ALT,2026-08-25
37.3125,-76.5625,0.0198,0.1125,0.0198,CMEMS_ALT,2026-08-25
37.3125,-76.4375,0.0149,0.1157,0.0149,CMEMS_ALT,2026-08-25
37.3125,-76.3125,0.0416,0.1164,0.0416,CMEMS_ALT,2026-08-25
37.3125,-76.1875,0.0373,0.1134,0.0373,CMEMS_ALT,2026-08-25
37.3125,-76.0625,0.0022,0.1058,0.0022,CMEMS_ALT,2026-08-25
37.3125,-75.9375,-0.0176,0.0937,-0.0176,CMEMS_ALT,2026-08-25
37.3125,-75.8125,-0.0223,0.079,-0.0223,CMEMS_ALT,2026-08-25
37.3125,-75.6875,-0.0696,0.0653,-0.0696,CMEMS_ALT,2026-08-25
37.3125,-75.5625,-0.0603,0.0565,-0.0603,CMEMS_ALT,2026-08-25
37.3125,-75.4375,-0.0817,0.0549,-0.0817,CMEMS_ALT,2026-08-25
37.3125,-75.3125,-0.1055,0.0608,-0.1055,CMEMS_ALT,2026-08-25
37.3125,-75.1875,-0.0869,0.0722,-0.0869,CMEMS_ALT,2026-08-25
37.3125,-75.0625,-0.0858,0.086,-0.0858,CMEMS_ALT,2026-08-25
37.3125,-74.9375,-0.0794,0.0997,-0.0794,CMEMS_ALT,2026-08-25
37.3125,-74.8125,-0.076,0.1116,-0.076,CMEMS_ALT,2026-08-25
37.3125,-74.6875,-0.0793,0.1221,-0.0793,CMEMS_ALT,2026-08-25
37.3125,-74.5625,-0.089,0.1332,-0.089,CMEMS_ALT,2026-08-25
37.3125,-74.4375,-0.0912,0.1469,-0.0912,CMEMS_ALT,2026-08-25
37.3125,-74.3125,-0.0914,0.1641,-0.0914,CMEMS_ALT,2026-08-25
37.3125,-74.1875,-0.0852,0.1837,-0.0852,CMEMS_ALT,2026-08-25
37.3125,-74.0625,-0.0792,0.2028,-0.0792,CMEMS_ALT,2026-08-25
37.3125,-73.9375,-0.0773,0.2173,-0.0773,CMEMS_ALT,2026-08-25
37.3125,-73.8125,-0.0814,0.2234,-0.0814,CMEMS_ALT,2026-08-25
37.3125,-73.6875,-0.0939,0.2195,-0.0939,CMEMS_ALT,2026-08-25
37.3125,-73.5625,-0.1143,0.2067,-0.1143,CMEMS_ALT,2026-08-25
37.3125,-73.4375,-0.1401,0.1881,-0.1401,CMEMS_ALT,2026-08-25
37.3125,-73.3125,-0.1619,0.1675,-0.1619,CMEMS_ALT,2026-08-25
37.3125,-73.1875,-0.179,0.1484,-0.179,CMEMS_ALT,2026-08-25
37.3125,-73.0625,-0.1846,0.1337,-0.1846,CMEMS_ALT,2026-08-25
