lat,lon,u,v,speed_ms,dir_deg,source,date
33.75,-78.83333,0.03295,0.06493,0.0728,26.9,CMEMS,2026-07-23
33.75,-78.75,0.07221,0.07269,0.1025,44.8,CMEMS,2026-07-23
33.75,-78.66666,0.08796,0.07299,0.1143,50.3,CMEMS,2026-07-23
33.75,-78.58333,0.11668,0.07298,0.1376,58.0,CMEMS,2026-07-23
33.75,-78.5,0.13229,0.06511,0.1474,63.8,CMEMS,2026-07-23
33.75,-78.41666,0.14439,0.05012,0.1528,70.9,CMEMS,2026-07-23
33.75,-78.33333,0.15252,0.03404,0.1563,77.4,CMEMS,2026-07-23
33.75,-78.25,0.1497,0.02411,0.1516,80.9,CMEMS,2026-07-23
33.75,-78.16666,0.16231,0.01713,0.1632,84.0,CMEMS,2026-07-23
33.75,-78.08333,0.17422,0.00855,0.1744,87.2,CMEMS,2026-07-23
33.75,-78.0,0.20193,0.0147,0.2025,85.8,CMEMS,2026-07-23
33.75,-77.91666,0.2159,0.06275,0.2248,73.8,CMEMS,2026-07-23
33.75,-77.83333,0.14646,0.11645,0.1871,51.5,CMEMS,2026-07-23
33.75,-77.75,0.08055,0.12935,0.1524,31.9,CMEMS,2026-07-23
33.75,-77.66666,0.10526,0.16691,0.1973,32.2,CMEMS,2026-07-23
33.75,-77.58333,0.07563,0.16449,0.181,24.7,CMEMS,2026-07-23
33.75,-77.5,0.0386,0.13772,0.143,15.7,CMEMS,2026-07-23
33.75,-77.41666,0.03524,0.13385,0.1384,14.7,CMEMS,2026-07-23
33.75,-77.33333,0.03763,0.12806,0.1335,16.4,CMEMS,2026-07-23
33.75,-77.25,0.06724,0.16047,0.174,22.7,CMEMS,2026-07-23
33.75,-77.16666,0.11744,0.21811,0.2477,28.3,CMEMS,2026-07-23
33.75,-77.08333,0.15273,0.25635,0.2984,30.8,CMEMS,2026-07-23
33.75,-77.0,0.17578,0.25796,0.3122,34.3,CMEMS,2026-07-23
33.75,-76.91666,0.18173,0.2381,0.2995,37.4,CMEMS,2026-07-23
33.75,-76.83333,0.18709,0.22142,0.2899,40.2,CMEMS,2026-07-23
33.75,-76.75,0.1947,0.22543,0.2979,40.8,CMEMS,2026-07-23
33.75,-76.66666,0.21845,0.26148,0.3407,39.9,CMEMS,2026-07-23
33.75,-76.58333,0.2881,0.34909,0.4526,39.5,CMEMS,2026-07-23
33.75,-76.5,0.40254,0.49852,0.6407,38.9,CMEMS,2026-07-23
33.75,-76.41666,0.54412,0.68082,0.8715,38.6,CMEMS,2026-07-23
33.75,-76.33333,0.68368,0.86192,1.1001,38.4,CMEMS,2026-07-23
33.75,-76.25,0.79628,1.01236,1.288,38.2,CMEMS,2026-07-23
33.75,-76.16666,0.86919,1.10476,1.4057,38.2,CMEMS,2026-07-23
33.75,-76.08333,0.89894,1.1228,1.4383,38.7,CMEMS,2026-07-23
33.75,-76.0,0.89247,1.07054,1.3938,39.8,CMEMS,2026-07-23
33.75,-75.91666,0.85751,0.96908,1.294,41.5,CMEMS,2026-07-23
33.75,-75.83333,0.80463,0.83985,1.1631,43.8,CMEMS,2026-07-23
33.75,-75.75,0.74937,0.69384,1.0213,47.2,CMEMS,2026-07-23
33.75,-75.66666,0.68727,0.53307,0.8698,52.2,CMEMS,2026-07-23
33.75,-75.58333,0.61427,0.35683,0.7104,59.8,CMEMS,2026-07-23
33.75,-75.5,0.52256,0.16757,0.5488,72.2,CMEMS,2026-07-23
33.75,-75.41666,0.40839,-0.02526,0.4092,93.5,CMEMS,2026-07-23
33.75,-75.33333,0.28377,-0.21001,0.353,126.5,CMEMS,2026-07-23
33.75,-75.25,0.16157,-0.38436,0.4169,157.2,CMEMS,2026-07-23
33.75,-75.16666,0.04675,-0.53061,0.5327,175.0,CMEMS,2026-07-23
33.75,-75.08333,-0.05108,-0.55947,0.5618,185.2,CMEMS,2026-07-23
33.75,-75.0,-0.04957,-0.32853,0.3322,188.6,CMEMS,2026-07-23
33.75,-74.91666,-0.10973,0.02488,0.1125,282.8,CMEMS,2026-07-23
33.75,-74.83333,-0.13508,0.13554,0.1914,315.1,CMEMS,2026-07-23
33.75,-74.75,-0.156,0.15806,0.2221,315.4,CMEMS,2026-07-23
