lat,lon,u,v,speed_ms,dir_deg,source,date
29.83334,-81.25,-0.04369,-0.10615,0.1148,202.4,CMEMS,2026-09-02
29.83334,-81.16666,-0.05506,-0.0607,0.082,222.2,CMEMS,2026-09-02
29.83334,-81.08333,-0.04416,-0.03957,0.0593,228.1,CMEMS,2026-09-02
29.83334,-81.0,-0.02843,-0.03756,0.0471,217.1,CMEMS,2026-09-02
29.83334,-80.91666,-0.02067,-0.02051,0.0291,225.2,CMEMS,2026-09-02
29.83334,-80.83333,-0.0145,-0.01247,0.0191,229.3,CMEMS,2026-09-02
29.83334,-80.75,-0.00959,-0.01136,0.0149,220.2,CMEMS,2026-09-02
29.83334,-80.66666,-0.00624,-0.00466,0.0078,233.2,CMEMS,2026-09-02
29.83334,-80.58333,-0.01044,0.02264,0.0249,335.2,CMEMS,2026-09-02
29.83334,-80.5,-0.01796,0.05351,0.0564,341.4,CMEMS,2026-09-02
29.83334,-80.41666,-0.02354,0.10383,0.1065,347.2,CMEMS,2026-09-02
29.83334,-80.33333,-0.02394,0.25929,0.2604,354.7,CMEMS,2026-09-02
29.83334,-80.25,-0.01547,0.62332,0.6235,358.6,CMEMS,2026-09-02
29.83334,-80.16666,-0.00767,1.18916,1.1892,359.6,CMEMS,2026-09-02
29.83334,-80.08333,0.02349,1.59881,1.599,0.8,CMEMS,2026-09-02
29.83334,-80.0,0.0297,1.69038,1.6906,1.0,CMEMS,2026-09-02
29.83334,-79.91666,0.01491,1.60218,1.6022,0.5,CMEMS,2026-09-02
29.83334,-79.83333,0.00039,1.52734,1.5273,0.0,CMEMS,2026-09-02
29.83334,-79.75,-0.01252,1.40621,1.4063,359.5,CMEMS,2026-09-02
29.83334,-79.66666,-0.02096,1.20358,1.2038,359.0,CMEMS,2026-09-02
29.83334,-79.58333,-0.0515,0.97041,0.9718,357.0,CMEMS,2026-09-02
29.83334,-79.5,-0.08031,0.71948,0.7239,353.6,CMEMS,2026-09-02
29.83334,-79.41666,-0.08244,0.46989,0.4771,350.0,CMEMS,2026-09-02
29.83334,-79.33333,-0.10163,0.23701,0.2579,336.8,CMEMS,2026-09-02
29.83334,-79.25,-0.11425,0.10916,0.158,313.7,CMEMS,2026-09-02
29.83334,-79.16666,-0.10507,0.08136,0.1329,307.8,CMEMS,2026-09-02
29.83334,-79.08333,-0.08686,0.16461,0.1861,332.2,CMEMS,2026-09-02
29.83334,-79.0,-0.08201,0.24142,0.255,341.2,CMEMS,2026-09-02
29.83334,-78.91666,-0.0926,0.21961,0.2383,337.1,CMEMS,2026-09-02
29.83334,-78.83333,-0.10832,0.17582,0.2065,328.4,CMEMS,2026-09-02
29.83334,-78.75,-0.11798,0.16163,0.2001,323.9,CMEMS,2026-09-02
29.83334,-78.66666,-0.12434,0.16915,0.2099,323.7,CMEMS,2026-09-02
29.83334,-78.58333,-0.13039,0.18326,0.2249,324.6,CMEMS,2026-09-02
29.83334,-78.5,-0.13893,0.19603,0.2403,324.7,CMEMS,2026-09-02
29.83334,-78.41666,-0.15316,0.19522,0.2481,321.9,CMEMS,2026-09-02
29.83334,-78.33333,-0.17239,0.17374,0.2448,315.2,CMEMS,2026-09-02
29.83334,-78.25,-0.19344,0.13855,0.2379,305.6,CMEMS,2026-09-02
29.83334,-78.16666,-0.21547,0.10117,0.238,295.2,CMEMS,2026-09-02
29.83334,-78.08333,-0.24088,0.06778,0.2502,285.7,CMEMS,2026-09-02
29.83334,-78.0,-0.26833,0.03138,0.2702,276.7,CMEMS,2026-09-02
29.83334,-77.91666,-0.29536,-0.01325,0.2957,267.4,CMEMS,2026-09-02
29.83334,-77.83333,-0.31879,-0.06661,0.3257,258.2,CMEMS,2026-09-02
29.83334,-77.75,-0.33667,-0.11622,0.3562,251.0,CMEMS,2026-09-02
29.83334,-77.66666,-0.34752,-0.14607,0.377,247.2,CMEMS,2026-09-02
29.83334,-77.58333,-0.34941,-0.15145,0.3808,246.6,CMEMS,2026-09-02
29.83334,-77.5,-0.34504,-0.13942,0.3721,248.0,CMEMS,2026-09-02
29.83334,-77.41666,-0.34149,-0.11892,0.3616,250.8,CMEMS,2026-09-02
29.83334,-77.33333,-0.34424,-0.09739,0.3578,254.2,CMEMS,2026-09-02
29.83334,-77.25,-0.3544,-0.0821,0.3638,257.0,CMEMS,2026-09-02
29.83334,-77.16666,-0.36856,-0.07894,0.3769,257.9,CMEMS,2026-09-02
29.83334,-77.08333,-0.37952,-0.09472,0.3912,256.0,CMEMS,2026-09-02
29.83334,-77.0,-0.37959,-0.12969,0.4011,251.1,CMEMS,2026-09-02
29.83334,-76.91666,-0.3656,-0.17503,0.4053,244.4,CMEMS,2026-09-02
29.83334,-76.83333,-0.33897,-0.21906,0.4036,237.1,CMEMS,2026-09-02
29.83334,-76.75,-0.30352,-0.25354,0.3955,230.1,CMEMS,2026-09-02
29.83334,-76.66666,-0.26324,-0.2737,0.3797,223.9,CMEMS,2026-09-02
29.83334,-76.58333,-0.22218,-0.27931,0.3569,218.5,CMEMS,2026-09-02
29.83334,-76.5,-0.18454,-0.27159,0.3283,214.2,CMEMS,2026-09-02
29.83334,-76.41666,-0.15273,-0.25368,0.2961,211.1,CMEMS,2026-09-02
29.83334,-76.33333,-0.12722,-0.23145,0.2641,208.8,CMEMS,2026-09-02
29.83334,-76.25,-0.10682,-0.20885,0.2346,207.1,CMEMS,2026-09-02
29.83334,-76.16666,-0.08948,-0.18685,0.2072,205.6,CMEMS,2026-09-02
29.83334,-76.08333,-0.0734,-0.15795,0.1742,204.9,CMEMS,2026-09-02
29.83334,-76.0,-0.06318,-0.10981,0.1267,209.9,CMEMS,2026-09-02
29.83334,-75.91666,-0.06957,-0.05879,0.0911,229.8,CMEMS,2026-09-02
29.83334,-75.83333,-0.09291,-0.03307,0.0986,250.4,CMEMS,2026-09-02
29.83334,-75.75,-0.11386,-0.01821,0.1153,260.9,CMEMS,2026-09-02
29.83334,-75.66666,-0.12073,0.0146,0.1216,276.9,CMEMS,2026-09-02
29.83334,-75.58333,-0.11849,0.05455,0.1304,294.7,CMEMS,2026-09-02
29.83334,-75.5,-0.11263,0.08297,0.1399,306.4,CMEMS,2026-09-02
29.83334,-75.41666,-0.1039,0.10087,0.1448,314.2,CMEMS,2026-09-02
29.83334,-75.33333,-0.09316,0.11563,0.1485,321.1,CMEMS,2026-09-02
29.83334,-75.25,-0.08455,0.12847,0.1538,326.7,CMEMS,2026-09-02
29.91667,-81.25,-0.05051,-0.10831,0.1195,205.0,CMEMS,2026-09-02
29.91667,-81.16666,-0.05485,-0.08342,0.0998,213.3,CMEMS,2026-09-02
29.91667,-81.08333,-0.03444,-0.04941,0.0602,214.9,CMEMS,2026-09-02
29.91667,-81.0,-0.01712,-0.04142,0.0448,202.5,CMEMS,2026-09-02
29.91667,-80.91666,-0.01402,-0.02596,0.0295,208.4,CMEMS,2026-09-02
29.91667,-80.83333,-0.01379,-0.01001,0.017,234.0,CMEMS,2026-09-02
29.91667,-80.75,-0.01393,-0.00976,0.017,235.0,CMEMS,2026-09-02
29.91667,-80.66666,-0.01532,-0.00421,0.0159,254.6,CMEMS,2026-09-02
29.91667,-80.58333,-0.02171,0.02812,0.0355,322.3,CMEMS,2026-09-02
29.91667,-80.5,-0.02574,0.06581,0.0707,338.6,CMEMS,2026-09-02
29.91667,-80.41666,-0.02243,0.11125,0.1135,348.6,CMEMS,2026-09-02
29.91667,-80.33333,-0.01121,0.25406,0.2543,357.5,CMEMS,2026-09-02
29.91667,-80.25,0.01146,0.60397,0.6041,1.1,CMEMS,2026-09-02
29.91667,-80.16666,0.03397,1.1638,1.1643,1.7,CMEMS,2026-09-02
29.91667,-80.08333,0.0754,1.57895,1.5808,2.7,CMEMS,2026-09-02
29.91667,-80.0,0.08396,1.67624,1.6783,2.9,CMEMS,2026-09-02
29.91667,-79.91666,0.06824,1.60728,1.6087,2.4,CMEMS,2026-09-02
29.91667,-79.83333,0.05041,1.54195,1.5428,1.9,CMEMS,2026-09-02
29.91667,-79.75,0.02904,1.42649,1.4268,1.2,CMEMS,2026-09-02
29.91667,-79.66666,0.01165,1.23011,1.2302,0.5,CMEMS,2026-09-02
29.91667,-79.58333,-0.03194,1.00402,1.0045,358.2,CMEMS,2026-09-02
29.91667,-79.5,-0.07134,0.7567,0.7601,354.6,CMEMS,2026-09-02
29.91667,-79.41666,-0.09382,0.50211,0.5108,349.4,CMEMS,2026-09-02
29.91667,-79.33333,-0.12922,0.27249,0.3016,334.6,CMEMS,2026-09-02
29.91667,-79.25,-0.1517,0.13072,0.2002,310.8,CMEMS,2026-09-02
29.91667,-79.16666,-0.14645,0.0758,0.1649,297.4,CMEMS,2026-09-02
29.91667,-79.08333,-0.1125,0.12851,0.1708,318.8,CMEMS,2026-09-02
29.91667,-79.0,-0.07556,0.22504,0.2374,341.4,CMEMS,2026-09-02
29.91667,-78.91666,-0.06479,0.24545,0.2539,345.2,CMEMS,2026-09-02
29.91667,-78.83333,-0.07464,0.19568,0.2094,339.1,CMEMS,2026-09-02
29.91667,-78.75,-0.08634,0.16772,0.1886,332.8,CMEMS,2026-09-02
29.91667,-78.66666,-0.09183,0.15884,0.1835,330.0,CMEMS,2026-09-02
29.91667,-78.58333,-0.09234,0.16765,0.1914,331.2,CMEMS,2026-09-02
29.91667,-78.5,-0.09097,0.1827,0.2041,333.5,CMEMS,2026-09-02
29.91667,-78.41666,-0.0924,0.19511,0.2159,334.7,CMEMS,2026-09-02
29.91667,-78.33333,-0.10224,0.19343,0.2188,332.1,CMEMS,2026-09-02
29.91667,-78.25,-0.11993,0.17084,0.2087,324.9,CMEMS,2026-09-02
29.91667,-78.16666,-0.14185,0.13466,0.1956,313.5,CMEMS,2026-09-02
29.91667,-78.08333,-0.16691,0.09904,0.1941,300.7,CMEMS,2026-09-02
29.91667,-78.0,-0.1938,0.06471,0.2043,288.5,CMEMS,2026-09-02
29.91667,-77.91666,-0.22241,0.02536,0.2239,276.5,CMEMS,2026-09-02
29.91667,-77.83333,-0.25156,-0.02432,0.2527,264.5,CMEMS,2026-09-02
29.91667,-77.75,-0.27767,-0.08078,0.2892,253.8,CMEMS,2026-09-02
29.91667,-77.66666,-0.29681,-0.12761,0.3231,246.7,CMEMS,2026-09-02
29.91667,-77.58333,-0.3071,-0.14993,0.3417,244.0,CMEMS,2026-09-02
29.91667,-77.5,-0.30946,-0.14587,0.3421,244.8,CMEMS,2026-09-02
29.91667,-77.41666,-0.30719,-0.12443,0.3314,247.9,CMEMS,2026-09-02
29.91667,-77.33333,-0.30531,-0.09848,0.3208,252.1,CMEMS,2026-09-02
29.91667,-77.25,-0.30655,-0.0813,0.3172,255.1,CMEMS,2026-09-02
29.91667,-77.16666,-0.30945,-0.08255,0.3203,255.1,CMEMS,2026-09-02
29.91667,-77.08333,-0.30881,-0.10601,0.3265,251.1,CMEMS,2026-09-02
29.91667,-77.0,-0.29712,-0.15062,0.3331,243.1,CMEMS,2026-09-02
29.91667,-76.91666,-0.27089,-0.2072,0.341,232.6,CMEMS,2026-09-02
29.91667,-76.83333,-0.23345,-0.26132,0.3504,221.8,CMEMS,2026-09-02
29.91667,-76.75,-0.19096,-0.29945,0.3552,212.5,CMEMS,2026-09-02
29.91667,-76.66666,-0.14883,-0.3175,0.3507,205.1,CMEMS,2026-09-02
29.91667,-76.58333,-0.11174,-0.31678,0.3359,199.4,CMEMS,2026-09-02
29.91667,-76.5,-0.08463,-0.30011,0.3118,195.7,CMEMS,2026-09-02
29.91667,-76.41666,-0.06944,-0.27312,0.2818,194.3,CMEMS,2026-09-02
29.91667,-76.33333,-0.0658,-0.24429,0.253,195.1,CMEMS,2026-09-02
29.91667,-76.25,-0.07123,-0.2178,0.2291,198.1,CMEMS,2026-09-02
29.91667,-76.16666,-0.08107,-0.19492,0.2111,202.6,CMEMS,2026-09-02
29.91667,-76.08333,-0.08733,-0.17148,0.1924,207.0,CMEMS,2026-09-02
29.91667,-76.0,-0.08552,-0.12546,0.1518,214.3,CMEMS,2026-09-02
29.91667,-75.91666,-0.08332,-0.05255,0.0985,237.8,CMEMS,2026-09-02
29.91667,-75.83333,-0.0981,-0.00102,0.0981,269.4,CMEMS,2026-09-02
29.91667,-75.75,-0.12394,0.01032,0.1244,274.8,CMEMS,2026-09-02
29.91667,-75.66666,-0.14584,0.02445,0.1479,279.5,CMEMS,2026-09-02
29.91667,-75.58333,-0.16367,0.05354,0.1722,288.1,CMEMS,2026-09-02
29.91667,-75.5,-0.17884,0.07962,0.1958,294.0,CMEMS,2026-09-02
29.91667,-75.41666,-0.19016,0.09679,0.2134,297.0,CMEMS,2026-09-02
29.91667,-75.33333,-0.19897,0.1127,0.2287,299.5,CMEMS,2026-09-02
29.91667,-75.25,-0.2074,0.13043,0.245,302.2,CMEMS,2026-09-02
30.0,-81.25,-0.03259,-0.1228,0.1271,194.9,CMEMS,2026-09-02
30.0,-81.16666,-0.0485,-0.11343,0.1234,203.2,CMEMS,2026-09-02
30.0,-81.08333,-0.03535,-0.06813,0.0768,207.4,CMEMS,2026-09-02
30.0,-81.0,-0.02475,-0.04504,0.0514,208.8,CMEMS,2026-09-02
30.0,-80.91666,-0.02343,-0.03311,0.0406,215.3,CMEMS,2026-09-02
30.0,-80.83333,-0.02343,-0.01302,0.0268,240.9,CMEMS,2026-09-02
30.0,-80.75,-0.02238,-0.00323,0.0226,261.8,CMEMS,2026-09-02
30.0,-80.66666,-0.02498,0.00216,0.0251,275.0,CMEMS,2026-09-02
30.0,-80.58333,-0.03442,0.03305,0.0477,313.8,CMEMS,2026-09-02
30.0,-80.5,-0.03841,0.06977,0.0796,331.2,CMEMS,2026-09-02
30.0,-80.41666,-0.02897,0.10815,0.112,345.0,CMEMS,2026-09-02
30.0,-80.33333,-0.0062,0.23032,0.2304,358.5,CMEMS,2026-09-02
30.0,-80.25,0.03515,0.54998,0.5511,3.7,CMEMS,2026-09-02
30.0,-80.16666,0.0769,1.10866,1.1113,4.0,CMEMS,2026-09-02
30.0,-80.08333,0.11616,1.54412,1.5485,4.3,CMEMS,2026-09-02
30.0,-80.0,0.1297,1.66761,1.6726,4.4,CMEMS,2026-09-02
30.0,-79.91666,0.12242,1.61633,1.621,4.3,CMEMS,2026-09-02
30.0,-79.83333,0.10163,1.55808,1.5614,3.7,CMEMS,2026-09-02
30.0,-79.75,0.0754,1.45383,1.4558,3.0,CMEMS,2026-09-02
30.0,-79.66666,0.04829,1.26901,1.2699,2.2,CMEMS,2026-09-02
30.0,-79.58333,-0.0046,1.04724,1.0473,359.7,CMEMS,2026-09-02
30.0,-79.5,-0.0527,0.80745,0.8092,356.3,CMEMS,2026-09-02
30.0,-79.41666,-0.09466,0.55457,0.5626,350.3,CMEMS,2026-09-02
