lat,lon,u,v,speed_ms,dir_deg,source,date
26.0,-81.91666,-0.02947,0.02517,0.0388,310.5,CMEMS,2026-09-18
26.0,-81.83333,-0.02464,0.02125,0.0325,310.8,CMEMS,2026-09-18
26.0,-81.75,-0.0256,0.01996,0.0325,307.9,CMEMS,2026-09-18
26.0,-80.08333,-0.00753,0.09947,0.0998,355.7,CMEMS,2026-09-18
26.0,-80.0,0.0,0.69202,0.692,0.0,CMEMS,2026-09-18
26.0,-79.91666,0.01437,1.1321,1.1322,0.7,CMEMS,2026-09-18
26.0,-79.83333,0.02497,1.35105,1.3513,1.1,CMEMS,2026-09-18
26.0,-79.75,0.04199,1.39124,1.3919,1.7,CMEMS,2026-09-18
26.0,-79.66666,0.06354,1.32052,1.3221,2.8,CMEMS,2026-09-18
26.0,-79.58333,0.05559,1.15151,1.1528,2.8,CMEMS,2026-09-18
26.0,-79.5,0.03492,0.90178,0.9025,2.2,CMEMS,2026-09-18
26.0,-79.41666,0.00908,0.63644,0.6365,0.8,CMEMS,2026-09-18
26.0,-79.33333,0.00013,0.39678,0.3968,0.0,CMEMS,2026-09-18
26.0,-79.25,-0.00732,0.03971,0.0404,349.6,CMEMS,2026-09-18
26.0,-79.16666,-0.02437,0.0149,0.0286,301.4,CMEMS,2026-09-18
26.0,-79.0,-0.00214,0.00741,0.0077,343.9,CMEMS,2026-09-18
26.0,-78.91666,0.0164,0.01526,0.0224,47.1,CMEMS,2026-09-18
26.0,-78.83333,0.06734,-0.04109,0.0789,121.4,CMEMS,2026-09-18
26.0,-78.75,0.12525,-0.05208,0.1356,112.6,CMEMS,2026-09-18
26.0,-78.66666,0.16493,-0.02461,0.1668,98.5,CMEMS,2026-09-18
26.0,-78.58333,0.18227,0.00312,0.1823,89.0,CMEMS,2026-09-18
26.0,-78.5,0.17113,0.06156,0.1819,70.2,CMEMS,2026-09-18
26.0,-78.41666,0.13863,0.13997,0.197,44.7,CMEMS,2026-09-18
26.0,-78.33333,0.08267,0.18076,0.1988,24.6,CMEMS,2026-09-18
26.0,-78.25,0.00878,0.15924,0.1595,3.2,CMEMS,2026-09-18
26.0,-78.16666,-0.06064,0.08488,0.1043,324.5,CMEMS,2026-09-18
26.0,-78.08333,-0.11258,0.07614,0.1359,304.1,CMEMS,2026-09-18
26.0,-78.0,-0.14175,0.12014,0.1858,310.3,CMEMS,2026-09-18
26.0,-77.91666,-0.13415,0.05691,0.1457,293.0,CMEMS,2026-09-18
26.0,-77.83333,-0.10044,-0.04643,0.1107,245.2,CMEMS,2026-09-18
26.0,-77.75,-0.0743,-0.04639,0.0876,238.0,CMEMS,2026-09-18
26.0,-77.66666,-0.05672,0.08993,0.1063,327.8,CMEMS,2026-09-18
26.0,-77.58333,-0.04239,0.11889,0.1262,340.4,CMEMS,2026-09-18
26.0,-77.5,-0.04365,0.05441,0.0698,321.3,CMEMS,2026-09-18
26.0,-77.41666,-0.073,0.00426,0.0731,273.3,CMEMS,2026-09-18
26.0,-77.16666,-0.07339,-0.06398,0.0974,228.9,CMEMS,2026-09-18
26.0,-77.08333,-0.07612,-0.08084,0.111,223.3,CMEMS,2026-09-18
26.0,-77.0,-0.09181,-0.04183,0.1009,245.5,CMEMS,2026-09-18
26.0,-76.91666,-0.09488,0.00059,0.0949,270.4,CMEMS,2026-09-18
26.0,-76.83333,-0.11001,0.01256,0.1107,276.5,CMEMS,2026-09-18
26.0,-76.75,-0.13337,0.03517,0.1379,284.8,CMEMS,2026-09-18
26.0,-76.66666,-0.14995,0.04685,0.1571,287.4,CMEMS,2026-09-18
26.0,-76.58333,-0.15968,0.05074,0.1676,287.6,CMEMS,2026-09-18
26.0,-76.5,-0.16569,0.04941,0.1729,286.6,CMEMS,2026-09-18
26.0,-76.41666,-0.16831,0.04468,0.1741,284.9,CMEMS,2026-09-18
26.0,-76.33333,-0.16769,0.03321,0.1709,281.2,CMEMS,2026-09-18
26.0,-76.25,-0.16399,0.0188,0.1651,276.5,CMEMS,2026-09-18
26.0,-76.16666,-0.15746,0.00184,0.1575,270.7,CMEMS,2026-09-18
26.08334,-81.91666,-0.03104,0.02117,0.0376,304.3,CMEMS,2026-09-18
26.08334,-81.83333,-0.02642,0.02747,0.0381,316.1,CMEMS,2026-09-18
26.08334,-80.08333,-0.02407,0.09096,0.0941,345.2,CMEMS,2026-09-18
26.08334,-80.0,-0.03525,0.67252,0.6734,357.0,CMEMS,2026-09-18
26.08334,-79.91666,-0.01994,1.13012,1.1303,359.0,CMEMS,2026-09-18
26.08334,-79.83333,0.00832,1.34865,1.3487,0.4,CMEMS,2026-09-18
