lat,lon,u,v,speed_ms,dir_deg,source,date
22.16667,-83.08333,-0.08148,-0.03618,0.0892,246.1,CMEMS,2026-08-29
22.16667,-83.0,-0.07613,-0.028,0.0811,249.8,CMEMS,2026-08-29
22.16667,-82.91666,-0.07252,-0.02282,0.076,252.5,CMEMS,2026-08-29
22.16667,-82.83333,-0.07227,-0.01744,0.0743,256.4,CMEMS,2026-08-29
22.16667,-82.75,-0.07305,-0.00169,0.0731,268.7,CMEMS,2026-08-29
22.16667,-82.66666,-0.0677,0.01976,0.0705,286.3,CMEMS,2026-08-29
22.16667,-82.58333,-0.06002,0.02077,0.0635,289.1,CMEMS,2026-08-29
22.16667,-82.5,-0.05683,0.02165,0.0608,290.9,CMEMS,2026-08-29
22.16667,-82.41666,-0.05529,0.0243,0.0604,293.7,CMEMS,2026-08-29
22.16667,-82.33333,-0.05469,0.02706,0.061,296.3,CMEMS,2026-08-29
22.16667,-82.25,-0.05575,0.02893,0.0628,297.4,CMEMS,2026-08-29
22.16667,-82.16666,-0.05835,0.02959,0.0654,296.9,CMEMS,2026-08-29
22.16667,-82.08333,-0.06032,0.02962,0.0672,296.2,CMEMS,2026-08-29
22.16667,-82.0,-0.06033,0.02748,0.0663,294.5,CMEMS,2026-08-29
22.16667,-81.91666,-0.0566,0.02322,0.0612,292.3,CMEMS,2026-08-29
22.16667,-81.83333,-0.05258,0.02014,0.0563,291.0,CMEMS,2026-08-29
22.16667,-81.75,-0.04505,0.01809,0.0485,291.9,CMEMS,2026-08-29
22.16667,-81.66666,-0.03365,0.01282,0.036,290.9,CMEMS,2026-08-29
22.16667,-81.58333,-0.02315,0.01541,0.0278,303.7,CMEMS,2026-08-29
22.16667,-81.5,-0.02111,0.01594,0.0264,307.1,CMEMS,2026-08-29
22.16667,-81.41666,-0.02491,0.01324,0.0282,298.0,CMEMS,2026-08-29
22.16667,-78.33333,-0.05699,0.0283,0.0636,296.4,CMEMS,2026-08-29
22.16667,-78.25,-0.04129,0.01656,0.0445,291.9,CMEMS,2026-08-29
22.16667,-78.16666,-0.03848,-0.02492,0.0458,237.1,CMEMS,2026-08-29
22.16667,-78.08333,-0.03451,0.00897,0.0357,284.6,CMEMS,2026-08-29
22.16667,-78.0,-0.04893,0.02227,0.0538,294.5,CMEMS,2026-08-29
22.16667,-77.91666,-0.06206,0.0323,0.07,297.5,CMEMS,2026-08-29
22.16667,-77.83333,-0.05179,0.03184,0.0608,301.6,CMEMS,2026-08-29
22.16667,-77.75,-0.04394,0.01777,0.0474,292.0,CMEMS,2026-08-29
22.16667,-77.66666,0.07887,-0.06282,0.1008,128.5,CMEMS,2026-08-29
22.16667,-77.58333,0.23442,-0.23671,0.3331,135.3,CMEMS,2026-08-29
