lat,lon,u,v,speed_ms,dir_deg,source,date
37.33334,-76.33333,0.00471,-0.00384,0.0061,129.2,CMEMS,2026-08-24
37.33334,-76.25,-0.00155,-0.0284,0.0284,183.1,CMEMS,2026-08-24
37.33334,-76.16666,-0.01463,-0.05472,0.0566,195.0,CMEMS,2026-08-24
37.33334,-76.08333,-0.02224,-0.05481,0.0591,202.1,CMEMS,2026-08-24
37.33334,-76.0,-0.00726,-0.01386,0.0156,207.7,CMEMS,2026-08-24
37.33334,-75.75,0.03363,0.0447,0.0559,37.0,CMEMS,2026-08-24
37.33334,-75.66666,0.05765,0.03304,0.0664,60.2,CMEMS,2026-08-24
37.33334,-75.58333,0.03352,-0.08181,0.0884,157.7,CMEMS,2026-08-24
37.33334,-75.5,-0.02961,-0.09754,0.1019,196.9,CMEMS,2026-08-24
37.33334,-75.41666,-0.04295,-0.0226,0.0485,242.2,CMEMS,2026-08-24
37.33334,-75.33333,-0.02904,-0.02367,0.0375,230.8,CMEMS,2026-08-24
37.33334,-75.25,-0.02187,0.00761,0.0232,289.2,CMEMS,2026-08-24
37.33334,-75.16666,-0.02293,-0.02275,0.0323,225.2,CMEMS,2026-08-24
37.33334,-75.08333,-0.02904,-0.05852,0.0653,206.4,CMEMS,2026-08-24
37.33334,-75.0,-0.03251,-0.08963,0.0953,199.9,CMEMS,2026-08-24
37.33334,-74.91666,-0.03313,-0.10144,0.1067,198.1,CMEMS,2026-08-24
37.33334,-74.83333,-0.02868,-0.09335,0.0977,197.1,CMEMS,2026-08-24
37.33334,-74.75,-0.0225,-0.06689,0.0706,198.6,CMEMS,2026-08-24
37.33334,-74.66666,-0.01143,-0.02692,0.0292,203.0,CMEMS,2026-08-24
37.33334,-74.58333,0.00698,0.02226,0.0233,17.4,CMEMS,2026-08-24
37.33334,-74.5,0.02143,0.05123,0.0555,22.7,CMEMS,2026-08-24
37.33334,-74.41666,0.03055,0.06746,0.0741,24.4,CMEMS,2026-08-24
37.33334,-74.33333,0.03881,0.07999,0.0889,25.9,CMEMS,2026-08-24
37.33334,-74.25,0.04792,0.09903,0.11,25.8,CMEMS,2026-08-24
37.33334,-74.16666,0.05276,0.10642,0.1188,26.4,CMEMS,2026-08-24
37.33334,-74.08333,0.04782,0.10735,0.1175,24.0,CMEMS,2026-08-24
37.33334,-74.0,0.0362,0.09774,0.1042,20.3,CMEMS,2026-08-24
37.33334,-73.91666,0.02327,0.07537,0.0789,17.2,CMEMS,2026-08-24
37.33334,-73.83333,0.01265,0.04633,0.048,15.3,CMEMS,2026-08-24
37.33334,-73.75,0.0064,0.02266,0.0235,15.8,CMEMS,2026-08-24
37.33334,-73.66666,0.00978,-0.00303,0.0102,107.2,CMEMS,2026-08-24
37.33334,-73.58333,0.02017,-0.0349,0.0403,150.0,CMEMS,2026-08-24
37.33334,-73.5,0.03416,-0.0622,0.071,151.2,CMEMS,2026-08-24
37.33334,-73.41666,0.05575,-0.10207,0.1163,151.4,CMEMS,2026-08-24
37.33334,-73.33333,0.08118,-0.15081,0.1713,151.7,CMEMS,2026-08-24
37.33334,-73.25,0.10911,-0.19974,0.2276,151.4,CMEMS,2026-08-24
37.33334,-73.16666,0.13049,-0.24513,0.2777,152.0,CMEMS,2026-08-24
37.33334,-73.08333,0.14186,-0.27619,0.3105,152.8,CMEMS,2026-08-24
37.33334,-73.0,0.15466,-0.29572,0.3337,152.4,CMEMS,2026-08-24
37.33334,-72.91666,0.17,-0.29066,0.3367,149.7,CMEMS,2026-08-24
37.33334,-72.83333,0.18052,-0.24934,0.3078,144.1,CMEMS,2026-08-24
37.33334,-72.75,0.18011,-0.19623,0.2664,137.5,CMEMS,2026-08-24
37.33334,-72.66666,0.16553,-0.16057,0.2306,134.1,CMEMS,2026-08-24
37.33334,-72.58333,0.14356,-0.14568,0.2045,135.4,CMEMS,2026-08-24
37.33334,-72.5,0.12773,-0.13875,0.1886,137.4,CMEMS,2026-08-24
37.33334,-72.41666,0.12967,-0.14043,0.1911,137.3,CMEMS,2026-08-24
37.33334,-72.33333,0.15232,-0.14908,0.2131,134.4,CMEMS,2026-08-24
37.33334,-72.25,0.17413,-0.16225,0.238,133.0,CMEMS,2026-08-24
37.33334,-72.16666,0.17318,-0.18557,0.2538,137.0,CMEMS,2026-08-24
37.33334,-72.08333,0.15547,-0.19331,0.2481,141.2,CMEMS,2026-08-24
37.33334,-72.0,0.1464,-0.19489,0.2437,143.1,CMEMS,2026-08-24
37.33334,-71.91666,0.15314,-0.17124,0.2297,138.2,CMEMS,2026-08-24
37.33334,-71.83333,0.16387,-0.1345,0.212,129.4,CMEMS,2026-08-24
37.33334,-71.75,0.17348,-0.09386,0.1972,118.4,CMEMS,2026-08-24
