lat,lon,sst_c,source,date,sst_f
34.0,-77.5,19.001,blended,2026-04-10,66.2
34.0,-77.4,19.544,blended,2026-04-10,67.18
34.0,-77.35,19.847,blended,2026-04-10,67.72
34.0,-77.3,20.078,blended,2026-04-10,68.14
34.0,-77.25,20.218,blended,2026-04-10,68.39
34.0,-77.15,20.282,blended,2026-04-10,68.51
34.0,-77.1,20.45,blended,2026-04-10,68.81
34.0,-77.05,20.751,blended,2026-04-10,69.35
34.0,-77.0,21.146,blended,2026-04-10,70.06
34.0,-76.9,21.774,blended,2026-04-10,71.19
34.0,-76.85,21.97,blended,2026-04-10,71.55
34.0,-76.8,22.071,blended,2026-04-10,71.73
34.0,-76.75,22.147,blended,2026-04-10,71.86
34.0,-76.65,22.438,blended,2026-04-10,72.39
34.0,-76.6,22.707,blended,2026-04-10,72.87
34.0,-76.55,23.027,blended,2026-04-10,73.45
34.0,-76.5,23.236,blended,2026-04-10,73.82
34.0,-76.4,23.534,blended,2026-04-10,74.36
34.0,-76.35,23.898,blended,2026-04-10,75.02
34.0,-76.3,24.15,blended,2026-04-10,75.47
34.0,-76.25,24.267,blended,2026-04-10,75.68
34.0,-76.15,24.406,blended,2026-04-10,75.93
34.0,-76.1,24.475,blended,2026-04-10,76.06
34.0,-76.05,24.539,blended,2026-04-10,76.17
34.0,-76.0,24.591,blended,2026-04-10,76.26
34.0,-75.9,24.442,blended,2026-04-10,76.0
34.0,-75.85,24.333,blended,2026-04-10,75.8
34.0,-75.8,24.204,blended,2026-04-10,75.57
34.0,-75.75,23.945,blended,2026-04-10,75.1
34.0,-75.65,23.103,blended,2026-04-10,73.59
34.0,-75.6,22.638,blended,2026-04-10,72.75
34.0,-75.55,22.206,blended,2026-04-10,71.97
34.0,-75.5,22.023,blended,2026-04-10,71.64
34.0,-75.4,21.986,blended,2026-04-10,71.57
34.0,-75.35,21.819,blended,2026-04-10,71.27
34.0,-75.3,21.531,blended,2026-04-10,70.76
34.0,-75.25,21.275,blended,2026-04-10,70.3
34.0,-75.15,20.775,blended,2026-04-10,69.4
34.0,-75.1,20.635,blended,2026-04-10,69.14
34.0,-75.05,20.508,blended,2026-04-10,68.91
34.0,-75.0,20.211,blended,2026-04-10,68.38
34.0,-74.9,20.07,blended,2026-04-10,68.13
34.0,-74.85,20.131,blended,2026-04-10,68.24
34.0,-74.8,20.273,blended,2026-04-10,68.49
34.0,-74.75,20.463,blended,2026-04-10,68.83
34.0,-74.65,20.737,blended,2026-04-10,69.33
34.0,-74.6,20.631,blended,2026-04-10,69.14
34.0,-74.55,20.442,blended,2026-04-10,68.8
34.0,-74.5,20.152,blended,2026-04-10,68.27
34.0,-74.4,19.809,blended,2026-04-10,67.66
34.0,-74.35,19.774,blended,2026-04-10,67.59
34.0,-74.3,19.893,blended,2026-04-10,67.81
34.0,-74.25,19.95,blended,2026-04-10,67.91
34.0,-74.15,19.957,blended,2026-04-10,67.92
34.0,-74.1,19.924,blended,2026-04-10,67.86
34.0,-74.05,19.922,blended,2026-04-10,67.86
34.0,-74.0,19.936,blended,2026-04-10,67.88
34.05,-77.5,18.583,blended,2026-04-10,65.45
34.05,-77.4,19.02,blended,2026-04-10,66.24
34.05,-77.35,19.288,blended,2026-04-10,66.72
34.05,-77.3,19.457,blended,2026-04-10,67.02
34.05,-77.25,19.493,blended,2026-04-10,67.09
34.05,-77.15,19.446,blended,2026-04-10,67.0
34.05,-77.1,19.671,blended,2026-04-10,67.41
34.05,-77.05,20.092,blended,2026-04-10,68.17
34.05,-77.0,20.56,blended,2026-04-10,69.01
34.05,-76.9,21.246,blended,2026-04-10,70.24
34.05,-76.85,21.53,blended,2026-04-10,70.75
34.05,-76.8,21.762,blended,2026-04-10,71.17
34.05,-76.75,21.973,blended,2026-04-10,71.55
34.05,-76.65,22.327,blended,2026-04-10,72.19
34.05,-76.6,22.481,blended,2026-04-10,72.47
34.05,-76.55,22.701,blended,2026-04-10,72.86
34.05,-76.5,22.979,blended,2026-04-10,73.36
34.05,-76.4,23.513,blended,2026-04-10,74.32
34.05,-76.35,23.71,blended,2026-04-10,74.68
34.05,-76.3,23.845,blended,2026-04-10,74.92
34.05,-76.25,23.967,blended,2026-04-10,75.14
34.05,-76.15,24.205,blended,2026-04-10,75.57
34.05,-76.1,24.325,blended,2026-04-10,75.78
34.05,-76.05,24.448,blended,2026-04-10,76.01
34.05,-76.0,24.538,blended,2026-04-10,76.17
34.05,-75.9,24.51,blended,2026-04-10,76.12
34.05,-75.85,24.439,blended,2026-04-10,75.99
34.05,-75.8,24.413,blended,2026-04-10,75.94
34.05,-75.75,24.249,blended,2026-04-10,75.65
34.05,-75.65,23.434,blended,2026-04-10,74.18
34.05,-75.6,22.941,blended,2026-04-10,73.29
34.05,-75.55,22.426,blended,2026-04-10,72.37
34.05,-75.5,22.172,blended,2026-04-10,71.91
34.05,-75.4,22.061,blended,2026-04-10,71.71
34.05,-75.35,21.949,blended,2026-04-10,71.51
34.05,-75.3,21.736,blended,2026-04-10,71.12
34.05,-75.25,21.445,blended,2026-04-10,70.6
34.05,-75.15,20.79,blended,2026-04-10,69.42
