lat,lon,sst_c,source,date,sst_f
33.525,-77.475,20.78,BLENDED,2026-04-10,69.4
33.525,-77.425,21.01,BLENDED,2026-04-10,69.82
33.525,-77.375,21.25,BLENDED,2026-04-10,70.25
33.525,-77.325,21.46,BLENDED,2026-04-10,70.63
33.525,-77.275,21.67,BLENDED,2026-04-10,71.01
33.525,-77.225,21.83,BLENDED,2026-04-10,71.29
33.525,-77.175,21.98,BLENDED,2026-04-10,71.56
33.525,-77.125,22.13,BLENDED,2026-04-10,71.83
33.525,-77.075,22.39,BLENDED,2026-04-10,72.3
33.525,-77.025,22.62,BLENDED,2026-04-10,72.72
33.525,-76.975,22.91,BLENDED,2026-04-10,73.24
33.525,-76.925,23.17,BLENDED,2026-04-10,73.71
33.525,-76.875,23.33,BLENDED,2026-04-10,73.99
33.525,-76.825,23.49,BLENDED,2026-04-10,74.28
33.525,-76.775,23.54,BLENDED,2026-04-10,74.37
33.525,-76.725,23.6,BLENDED,2026-04-10,74.48
33.525,-76.675,23.64,BLENDED,2026-04-10,74.55
33.525,-76.625,23.72,BLENDED,2026-04-10,74.7
33.525,-76.575,23.82,BLENDED,2026-04-10,74.88
33.525,-76.525,23.93,BLENDED,2026-04-10,75.07
33.525,-76.475,24.06,BLENDED,2026-04-10,75.31
33.525,-76.425,24.15,BLENDED,2026-04-10,75.47
33.525,-76.375,24.23,BLENDED,2026-04-10,75.61
33.525,-76.325,24.25,BLENDED,2026-04-10,75.65
33.525,-76.275,24.24,BLENDED,2026-04-10,75.63
33.525,-76.225,24.19,BLENDED,2026-04-10,75.54
33.525,-76.175,24.11,BLENDED,2026-04-10,75.4
33.525,-76.125,24.01,BLENDED,2026-04-10,75.22
33.525,-76.075,23.92,BLENDED,2026-04-10,75.06
33.525,-76.025,23.83,BLENDED,2026-04-10,74.89
33.525,-75.975,23.76,BLENDED,2026-04-10,74.77
33.525,-75.925,23.66,BLENDED,2026-04-10,74.59
33.525,-75.875,23.5,BLENDED,2026-04-10,74.3
33.525,-75.825,23.32,BLENDED,2026-04-10,73.98
33.525,-75.775,23.12,BLENDED,2026-04-10,73.62
33.525,-75.725,22.92,BLENDED,2026-04-10,73.26
33.525,-75.675,22.67,BLENDED,2026-04-10,72.81
33.525,-75.625,22.37,BLENDED,2026-04-10,72.27
33.525,-75.575,21.99,BLENDED,2026-04-10,71.58
33.525,-75.525,21.63,BLENDED,2026-04-10,70.93
33.525,-75.475,21.4,BLENDED,2026-04-10,70.52
33.525,-75.425,21.21,BLENDED,2026-04-10,70.18
33.525,-75.375,21.12,BLENDED,2026-04-10,70.02
33.525,-75.325,21.0,BLENDED,2026-04-10,69.8
33.525,-75.275,20.8,BLENDED,2026-04-10,69.44
33.525,-75.225,20.62,BLENDED,2026-04-10,69.12
33.525,-75.175,20.39,BLENDED,2026-04-10,68.7
33.525,-75.125,20.22,BLENDED,2026-04-10,68.4
33.525,-75.075,20.15,BLENDED,2026-04-10,68.27
33.525,-75.025,20.11,BLENDED,2026-04-10,68.2
33.525,-74.975,20.14,BLENDED,2026-04-10,68.25
33.525,-74.925,20.18,BLENDED,2026-04-10,68.32
33.525,-74.875,20.23,BLENDED,2026-04-10,68.41
33.525,-74.825,20.29,BLENDED,2026-04-10,68.52
33.525,-74.775,20.33,BLENDED,2026-04-10,68.59
33.525,-74.725,20.36,BLENDED,2026-04-10,68.65
33.525,-74.675,20.4,BLENDED,2026-04-10,68.72
33.525,-74.625,20.4,BLENDED,2026-04-10,68.72
33.525,-74.575,20.4,BLENDED,2026-04-10,68.72
33.525,-74.525,20.37,BLENDED,2026-04-10,68.67
33.525,-74.475,20.32,BLENDED,2026-04-10,68.58
33.525,-74.425,20.24,BLENDED,2026-04-10,68.43
33.525,-74.375,20.14,BLENDED,2026-04-10,68.25
33.525,-74.325,20.06,BLENDED,2026-04-10,68.11
33.525,-74.275,19.99,BLENDED,2026-04-10,67.98
33.525,-74.225,19.97,BLENDED,2026-04-10,67.95
33.525,-74.175,19.96,BLENDED,2026-04-10,67.93
33.525,-74.125,19.94,BLENDED,2026-04-10,67.89
33.525,-74.075,19.9,BLENDED,2026-04-10,67.82
33.525,-74.025,19.87,BLENDED,2026-04-10,67.77
33.525,-73.975,19.87,BLENDED,2026-04-10,67.77
33.575,-77.475,20.74,BLENDED,2026-04-10,69.33
33.575,-77.425,21.0,BLENDED,2026-04-10,69.8
33.575,-77.375,21.25,BLENDED,2026-04-10,70.25
33.575,-77.325,21.46,BLENDED,2026-04-10,70.63
33.575,-77.275,21.62,BLENDED,2026-04-10,70.92
33.575,-77.225,21.73,BLENDED,2026-04-10,71.11
33.575,-77.175,21.81,BLENDED,2026-04-10,71.26
33.575,-77.125,21.92,BLENDED,2026-04-10,71.46
33.575,-77.075,22.13,BLENDED,2026-04-10,71.83
33.575,-77.025,22.33,BLENDED,2026-04-10,72.19
33.575,-76.975,22.62,BLENDED,2026-04-10,72.72
33.575,-76.925,22.87,BLENDED,2026-04-10,73.17
33.575,-76.875,23.07,BLENDED,2026-04-10,73.53
33.575,-76.825,23.25,BLENDED,2026-04-10,73.85
33.575,-76.775,23.32,BLENDED,2026-04-10,73.98
33.575,-76.725,23.42,BLENDED,2026-04-10,74.16
33.575,-76.675,23.49,BLENDED,2026-04-10,74.28
33.575,-76.625,23.59,BLENDED,2026-04-10,74.46
33.575,-76.575,23.72,BLENDED,2026-04-10,74.7
33.575,-76.525,23.86,BLENDED,2026-04-10,74.95
33.575,-76.475,24.02,BLENDED,2026-04-10,75.24
33.575,-76.425,24.15,BLENDED,2026-04-10,75.47
33.575,-76.375,24.25,BLENDED,2026-04-10,75.65
33.575,-76.325,24.31,BLENDED,2026-04-10,75.76
33.575,-76.275,24.34,BLENDED,2026-04-10,75.81
