lat,lon,sst_c,source,date,sst_f
33.525,-77.475,20.96,CMEMS,2026-04-10,69.73
33.525,-77.425,21.03,CMEMS,2026-04-10,69.85
33.525,-77.375,21.08,CMEMS,2026-04-10,69.94
33.525,-77.325,21.42,CMEMS,2026-04-10,70.56
33.525,-77.275,21.83,CMEMS,2026-04-10,71.29
33.525,-77.225,21.89,CMEMS,2026-04-10,71.4
33.525,-77.175,22.12,CMEMS,2026-04-10,71.82
33.525,-77.125,22.61,CMEMS,2026-04-10,72.7
33.525,-77.075,23.34,CMEMS,2026-04-10,74.01
33.525,-77.025,24.12,CMEMS,2026-04-10,75.42
33.525,-76.975,24.52,CMEMS,2026-04-10,76.14
33.525,-76.925,24.72,CMEMS,2026-04-10,76.5
33.525,-76.875,24.66,CMEMS,2026-04-10,76.39
33.525,-76.825,24.71,CMEMS,2026-04-10,76.48
33.525,-76.775,24.79,CMEMS,2026-04-10,76.62
33.525,-76.725,24.71,CMEMS,2026-04-10,76.48
33.525,-76.675,24.68,CMEMS,2026-04-10,76.42
33.525,-76.625,24.7,CMEMS,2026-04-10,76.46
33.525,-76.575,24.79,CMEMS,2026-04-10,76.62
33.525,-76.525,24.88,CMEMS,2026-04-10,76.78
33.525,-76.475,24.75,CMEMS,2026-04-10,76.55
33.525,-76.425,24.64,CMEMS,2026-04-10,76.35
33.525,-76.375,24.59,CMEMS,2026-04-10,76.26
33.525,-76.325,24.69,CMEMS,2026-04-10,76.44
33.525,-76.275,24.82,CMEMS,2026-04-10,76.68
33.525,-76.225,24.77,CMEMS,2026-04-10,76.59
33.525,-76.175,24.58,CMEMS,2026-04-10,76.24
33.525,-76.125,24.2,CMEMS,2026-04-10,75.56
33.525,-76.075,23.8,CMEMS,2026-04-10,74.84
33.525,-76.025,23.38,CMEMS,2026-04-10,74.08
33.525,-75.975,22.79,CMEMS,2026-04-10,73.02
33.525,-75.925,22.32,CMEMS,2026-04-10,72.18
33.525,-75.875,22.02,CMEMS,2026-04-10,71.64
33.525,-75.825,22.07,CMEMS,2026-04-10,71.73
33.525,-75.775,22.22,CMEMS,2026-04-10,72.0
33.525,-75.725,22.29,CMEMS,2026-04-10,72.12
33.525,-75.675,22.29,CMEMS,2026-04-10,72.12
33.525,-75.625,22.2,CMEMS,2026-04-10,71.96
33.525,-75.575,21.72,CMEMS,2026-04-10,71.1
33.525,-75.525,21.16,CMEMS,2026-04-10,70.09
33.525,-75.475,20.99,CMEMS,2026-04-10,69.78
33.525,-75.425,20.9,CMEMS,2026-04-10,69.62
33.525,-75.375,20.93,CMEMS,2026-04-10,69.67
33.525,-75.325,20.92,CMEMS,2026-04-10,69.66
33.525,-75.275,20.9,CMEMS,2026-04-10,69.62
33.525,-75.225,20.81,CMEMS,2026-04-10,69.46
33.525,-75.175,20.69,CMEMS,2026-04-10,69.24
33.525,-75.125,20.55,CMEMS,2026-04-10,68.99
33.525,-75.075,20.44,CMEMS,2026-04-10,68.79
33.525,-75.025,20.33,CMEMS,2026-04-10,68.59
33.525,-74.975,20.21,CMEMS,2026-04-10,68.38
33.525,-74.925,20.15,CMEMS,2026-04-10,68.27
33.525,-74.875,20.16,CMEMS,2026-04-10,68.29
33.525,-74.825,20.27,CMEMS,2026-04-10,68.49
33.525,-74.775,20.39,CMEMS,2026-04-10,68.7
33.525,-74.725,20.37,CMEMS,2026-04-10,68.67
33.525,-74.675,20.36,CMEMS,2026-04-10,68.65
33.525,-74.625,20.37,CMEMS,2026-04-10,68.67
33.525,-74.575,20.51,CMEMS,2026-04-10,68.92
33.525,-74.525,20.66,CMEMS,2026-04-10,69.19
33.525,-74.475,20.54,CMEMS,2026-04-10,68.97
33.525,-74.425,20.36,CMEMS,2026-04-10,68.65
33.525,-74.375,20.11,CMEMS,2026-04-10,68.2
33.525,-74.325,20.1,CMEMS,2026-04-10,68.18
33.525,-74.275,20.17,CMEMS,2026-04-10,68.31
33.525,-74.225,20.17,CMEMS,2026-04-10,68.31
33.525,-74.175,20.08,CMEMS,2026-04-10,68.14
33.525,-74.125,19.89,CMEMS,2026-04-10,67.8
33.525,-74.075,19.83,CMEMS,2026-04-10,67.69
33.525,-74.025,19.83,CMEMS,2026-04-10,67.69
33.575,-77.475,21.04,CMEMS,2026-04-10,69.87
33.575,-77.425,21.18,CMEMS,2026-04-10,70.12
33.575,-77.375,21.27,CMEMS,2026-04-10,70.29
33.575,-77.325,21.5,CMEMS,2026-04-10,70.7
33.575,-77.275,21.73,CMEMS,2026-04-10,71.11
33.575,-77.225,21.59,CMEMS,2026-04-10,70.86
33.575,-77.175,21.56,CMEMS,2026-04-10,70.81
33.575,-77.125,21.7,CMEMS,2026-04-10,71.06
33.575,-77.075,22.25,CMEMS,2026-04-10,72.05
33.575,-77.025,22.92,CMEMS,2026-04-10,73.26
33.575,-76.975,23.53,CMEMS,2026-04-10,74.35
33.575,-76.925,23.99,CMEMS,2026-04-10,75.18
33.575,-76.875,24.23,CMEMS,2026-04-10,75.61
33.575,-76.825,24.54,CMEMS,2026-04-10,76.17
33.575,-76.775,24.85,CMEMS,2026-04-10,76.73
33.575,-76.725,24.88,CMEMS,2026-04-10,76.78
33.575,-76.675,24.88,CMEMS,2026-04-10,76.78
33.575,-76.625,24.84,CMEMS,2026-04-10,76.71
33.575,-76.575,24.8,CMEMS,2026-04-10,76.64
33.575,-76.525,24.76,CMEMS,2026-04-10,76.57
33.575,-76.475,24.69,CMEMS,2026-04-10,76.44
33.575,-76.425,24.66,CMEMS,2026-04-10,76.39
33.575,-76.375,24.7,CMEMS,2026-04-10,76.46
33.575,-76.325,24.8,CMEMS,2026-04-10,76.64
33.575,-76.275,24.89,CMEMS,2026-04-10,76.8
33.575,-76.225,24.73,CMEMS,2026-04-10,76.51
33.575,-76.175,24.45,CMEMS,2026-04-10,76.01
33.575,-76.125,24.0,CMEMS,2026-04-10,75.2
33.575,-76.075,23.48,CMEMS,2026-04-10,74.26
33.575,-76.025,22.96,CMEMS,2026-04-10,73.33
33.575,-75.975,22.45,CMEMS,2026-04-10,72.41
33.575,-75.925,22.1,CMEMS,2026-04-10,71.78
33.575,-75.875,21.93,CMEMS,2026-04-10,71.47
33.575,-75.825,21.99,CMEMS,2026-04-10,71.58
33.575,-75.775,22.12,CMEMS,2026-04-10,71.82
33.575,-75.725,22.22,CMEMS,2026-04-10,72.0
33.575,-75.675,22.28,CMEMS,2026-04-10,72.1
33.575,-75.625,22.27,CMEMS,2026-04-10,72.09
33.575,-75.575,21.91,CMEMS,2026-04-10,71.44
33.575,-75.525,21.46,CMEMS,2026-04-10,70.63
33.575,-75.475,21.21,CMEMS,2026-04-10,70.18
33.575,-75.425,21.06,CMEMS,2026-04-10,69.91
33.575,-75.375,21.03,CMEMS,2026-04-10,69.85
33.575,-75.325,20.99,CMEMS,2026-04-10,69.78
33.575,-75.275,20.93,CMEMS,2026-04-10,69.67
33.575,-75.225,20.71,CMEMS,2026-04-10,69.28
33.575,-75.175,20.52,CMEMS,2026-04-10,68.94
33.575,-75.125,20.35,CMEMS,2026-04-10,68.63
33.575,-75.075,20.28,CMEMS,2026-04-10,68.5
33.575,-75.025,20.23,CMEMS,2026-04-10,68.41
33.575,-74.975,20.13,CMEMS,2026-04-10,68.23
33.575,-74.925,20.07,CMEMS,2026-04-10,68.13
33.575,-74.875,20.07,CMEMS,2026-04-10,68.13
33.575,-74.825,20.22,CMEMS,2026-04-10,68.4
33.575,-74.775,20.39,CMEMS,2026-04-10,68.7
33.575,-74.725,20.4,CMEMS,2026-04-10,68.72
33.575,-74.675,20.4,CMEMS,2026-04-10,68.72
33.575,-74.625,20.37,CMEMS,2026-04-10,68.67
33.575,-74.575,20.43,CMEMS,2026-04-10,68.77
33.575,-74.525,20.48,CMEMS,2026-04-10,68.86
33.575,-74.475,20.3,CMEMS,2026-04-10,68.54
33.575,-74.425,20.13,CMEMS,2026-04-10,68.23
33.575,-74.375,19.97,CMEMS,2026-04-10,67.95
33.575,-74.325,20.03,CMEMS,2026-04-10,68.05
33.575,-74.275,20.13,CMEMS,2026-04-10,68.23
33.575,-74.225,20.11,CMEMS,2026-04-10,68.2
33.575,-74.175,20.02,CMEMS,2026-04-10,68.04
33.575,-74.125,19.85,CMEMS,2026-04-10,67.73
33.575,-74.075,19.84,CMEMS,2026-04-10,67.71
33.575,-74.025,19.89,CMEMS,2026-04-10,67.8
33.625,-77.475,21.11,CMEMS,2026-04-10,70.0
33.625,-77.425,21.27,CMEMS,2026-04-10,70.29
33.625,-77.375,21.38,CMEMS,2026-04-10,70.48
33.625,-77.325,21.56,CMEMS,2026-04-10,70.81
33.625,-77.275,21.72,CMEMS,2026-04-10,71.1
33.625,-77.225,21.53,CMEMS,2026-04-10,70.75
33.625,-77.175,21.4,CMEMS,2026-04-10,70.52
33.625,-77.125,21.38,CMEMS,2026-04-10,70.48
33.625,-77.075,21.57,CMEMS,2026-04-10,70.83
33.625,-77.025,21.85,CMEMS,2026-04-10,71.33
33.625,-76.975,22.28,CMEMS,2026-04-10,72.1
33.625,-76.925,22.69,CMEMS,2026-04-10,72.84
33.625,-76.875,23.08,CMEMS,2026-04-10,73.54
33.625,-76.825,23.62,CMEMS,2026-04-10,74.52
33.625,-76.775,24.18,CMEMS,2026-04-10,75.52
33.625,-76.725,24.56,CMEMS,2026-04-10,76.21
33.625,-76.675,24.83,CMEMS,2026-04-10,76.69
33.625,-76.625,24.94,CMEMS,2026-04-10,76.89
33.625,-76.575,24.88,CMEMS,2026-04-10,76.78
33.625,-76.525,24.77,CMEMS,2026-04-10,76.59
33.625,-76.475,24.7,CMEMS,2026-04-10,76.46
33.625,-76.425,24.7,CMEMS,2026-04-10,76.46
33.625,-76.375,24.79,CMEMS,2026-04-10,76.62
33.625,-76.325,24.83,CMEMS,2026-04-10,76.69
33.625,-76.275,24.82,CMEMS,2026-04-10,76.68
33.625,-76.225,24.57,CMEMS,2026-04-10,76.23
33.625,-76.175,24.22,CMEMS,2026-04-10,75.6
33.625,-76.125,23.74,CMEMS,2026-04-10,74.73
33.625,-76.075,23.33,CMEMS,2026-04-10,73.99
33.625,-76.025,22.95,CMEMS,2026-04-10,73.31
33.625,-75.975,22.7,CMEMS,2026-04-10,72.86
33.625,-75.925,22.49,CMEMS,2026-04-10,72.48
33.625,-75.875,22.35,CMEMS,2026-04-10,72.23
33.625,-75.825,22.27,CMEMS,2026-04-10,72.09
33.625,-75.775,22.21,CMEMS,2026-04-10,71.98
33.625,-75.725,22.16,CMEMS,2026-04-10,71.89
33.625,-75.675,22.17,CMEMS,2026-04-10,71.91
33.625,-75.625,22.24,CMEMS,2026-04-10,72.03
33.625,-75.575,22.0,CMEMS,2026-04-10,71.6
33.625,-75.525,21.67,CMEMS,2026-04-10,71.01
33.625,-75.475,21.34,CMEMS,2026-04-10,70.41
33.625,-75.425,21.12,CMEMS,2026-04-10,70.02
33.625,-75.375,21.04,CMEMS,2026-04-10,69.87
33.625,-75.325,21.0,CMEMS,2026-04-10,69.8
33.625,-75.275,20.94,CMEMS,2026-04-10,69.69
33.625,-75.225,20.68,CMEMS,2026-04-10,69.22
33.625,-75.175,20.46,CMEMS,2026-04-10,68.83
33.625,-75.125,20.29,CMEMS,2026-04-10,68.52
33.625,-75.075,20.25,CMEMS,2026-04-10,68.45
33.625,-75.025,20.24,CMEMS,2026-04-10,68.43
33.625,-74.975,20.15,CMEMS,2026-04-10,68.27
33.625,-74.925,20.08,CMEMS,2026-04-10,68.14
33.625,-74.875,20.03,CMEMS,2026-04-10,68.05
33.625,-74.825,20.18,CMEMS,2026-04-10,68.32
33.625,-74.775,20.36,CMEMS,2026-04-10,68.65
33.625,-74.725,20.39,CMEMS,2026-04-10,68.7
33.625,-74.675,20.39,CMEMS,2026-04-10,68.7
33.625,-74.625,20.34,CMEMS,2026-04-10,68.61
33.625,-74.575,20.33,CMEMS,2026-04-10,68.59
33.625,-74.525,20.32,CMEMS,2026-04-10,68.58
33.625,-74.475,20.15,CMEMS,2026-04-10,68.27
33.625,-74.425,20.02,CMEMS,2026-04-10,68.04
33.625,-74.375,19.95,CMEMS,2026-04-10,67.91
33.625,-74.325,20.03,CMEMS,2026-04-10,68.05
33.625,-74.275,20.12,CMEMS,2026-04-10,68.22
33.625,-74.225,20.07,CMEMS,2026-04-10,68.13
33.625,-74.175,19.97,CMEMS,2026-04-10,67.95
33.625,-74.125,19.84,CMEMS,2026-04-10,67.71
33.625,-74.075,19.87,CMEMS,2026-04-10,67.77
33.625,-74.025,19.96,CMEMS,2026-04-10,67.93
33.675,-77.475,20.71,CMEMS,2026-04-10,69.28
33.675,-77.425,20.93,CMEMS,2026-04-10,69.67
33.675,-77.375,21.16,CMEMS,2026-04-10,70.09
33.675,-77.325,21.4,CMEMS,2026-04-10,70.52
33.675,-77.275,21.6,CMEMS,2026-04-10,70.88
33.675,-77.225,21.5,CMEMS,2026-04-10,70.7
33.675,-77.175,21.43,CMEMS,2026-04-10,70.57
33.675,-77.125,21.4,CMEMS,2026-04-10,70.52
33.675,-77.075,21.47,CMEMS,2026-04-10,70.65
33.675,-77.025,21.58,CMEMS,2026-04-10,70.84
33.675,-76.975,21.8,CMEMS,2026-04-10,71.24
33.675,-76.925,22.08,CMEMS,2026-04-10,71.74
33.675,-76.875,22.44,CMEMS,2026-04-10,72.39
33.675,-76.825,22.95,CMEMS,2026-04-10,73.31
33.675,-76.775,23.49,CMEMS,2026-04-10,74.28
33.675,-76.725,23.98,CMEMS,2026-04-10,75.16
33.675,-76.675,24.35,CMEMS,2026-04-10,75.83
33.675,-76.625,24.57,CMEMS,2026-04-10,76.23
33.675,-76.575,24.5,CMEMS,2026-04-10,76.1
33.675,-76.525,24.38,CMEMS,2026-04-10,75.88
33.675,-76.475,24.44,CMEMS,2026-04-10,75.99
33.675,-76.425,24.54,CMEMS,2026-04-10,76.17
33.675,-76.375,24.68,CMEMS,2026-04-10,76.42
33.675,-76.325,24.71,CMEMS,2026-04-10,76.48
33.675,-76.275,24.69,CMEMS,2026-04-10,76.44
33.675,-76.225,24.51,CMEMS,2026-04-10,76.12
33.675,-76.175,24.27,CMEMS,2026-04-10,75.69
33.675,-76.125,23.93,CMEMS,2026-04-10,75.07
33.675,-76.075,23.66,CMEMS,2026-04-10,74.59
33.675,-76.025,23.42,CMEMS,2026-04-10,74.16
33.675,-75.975,23.29,CMEMS,2026-04-10,73.92
33.675,-75.925,23.12,CMEMS,2026-04-10,73.62
33.675,-75.875,22.92,CMEMS,2026-04-10,73.26
33.675,-75.825,22.71,CMEMS,2026-04-10,72.88
33.675,-75.775,22.49,CMEMS,2026-04-10,72.48
33.675,-75.725,22.28,CMEMS,2026-04-10,72.1
33.675,-75.675,22.19,CMEMS,2026-04-10,71.94
33.675,-75.625,22.25,CMEMS,2026-04-10,72.05
33.675,-75.575,22.1,CMEMS,2026-04-10,71.78
33.675,-75.525,21.86,CMEMS,2026-04-10,71.35
33.675,-75.475,21.48,CMEMS,2026-04-10,70.66
33.675,-75.425,21.2,CMEMS,2026-04-10,70.16
33.675,-75.375,21.08,CMEMS,2026-04-10,69.94
33.675,-75.325,21.03,CMEMS,2026-04-10,69.85
33.675,-75.275,20.98,CMEMS,2026-04-10,69.76
33.675,-75.225,20.73,CMEMS,2026-04-10,69.31
33.675,-75.175,20.49,CMEMS,2026-04-10,68.88
33.675,-75.125,20.28,CMEMS,2026-04-10,68.5
33.675,-75.075,20.25,CMEMS,2026-04-10,68.45
33.675,-75.025,20.26,CMEMS,2026-04-10,68.47
33.675,-74.975,20.18,CMEMS,2026-04-10,68.32
33.675,-74.925,20.11,CMEMS,2026-04-10,68.2
33.675,-74.875,20.03,CMEMS,2026-04-10,68.05
33.675,-74.825,20.12,CMEMS,2026-04-10,68.22
33.675,-74.775,20.26,CMEMS,2026-04-10,68.47
33.675,-74.725,20.29,CMEMS,2026-04-10,68.52
33.675,-74.675,20.29,CMEMS,2026-04-10,68.52
33.675,-74.625,20.25,CMEMS,2026-04-10,68.45
33.675,-74.575,20.24,CMEMS,2026-04-10,68.43
33.675,-74.525,20.21,CMEMS,2026-04-10,68.38
33.675,-74.475,20.09,CMEMS,2026-04-10,68.16
33.675,-74.425,20.01,CMEMS,2026-04-10,68.02
33.675,-74.375,19.98,CMEMS,2026-04-10,67.96
33.675,-74.325,20.03,CMEMS,2026-04-10,68.05
33.675,-74.275,20.09,CMEMS,2026-04-10,68.16
33.675,-74.225,20.0,CMEMS,2026-04-10,68.0
33.675,-74.175,19.92,CMEMS,2026-04-10,67.86
33.675,-74.125,19.84,CMEMS,2026-04-10,67.71
33.675,-74.075,19.9,CMEMS,2026-04-10,67.82
33.675,-74.025,20.01,CMEMS,2026-04-10,68.02
33.725,-77.475,20.47,CMEMS,2026-04-10,68.85
33.725,-77.425,20.73,CMEMS,2026-04-10,69.31
33.725,-77.375,21.02,CMEMS,2026-04-10,69.84
33.725,-77.325,21.28,CMEMS,2026-04-10,70.3
33.725,-77.275,21.5,CMEMS,2026-04-10,70.7
33.725,-77.225,21.46,CMEMS,2026-04-10,70.63
33.725,-77.175,21.43,CMEMS,2026-04-10,70.57
33.725,-77.125,21.42,CMEMS,2026-04-10,70.56
33.725,-77.075,21.46,CMEMS,2026-04-10,70.63
33.725,-77.025,21.53,CMEMS,2026-04-10,70.75
33.725,-76.975,21.68,CMEMS,2026-04-10,71.02
33.725,-76.925,21.91,CMEMS,2026-04-10,71.44
33.725,-76.875,22.24,CMEMS,2026-04-10,72.03
33.725,-76.825,22.64,CMEMS,2026-04-10,72.75
33.725,-76.775,23.06,CMEMS,2026-04-10,73.51
33.725,-76.725,23.5,CMEMS,2026-04-10,74.3
33.725,-76.675,23.83,CMEMS,2026-04-10,74.89
33.725,-76.625,24.01,CMEMS,2026-04-10,75.22
33.725,-76.575,23.92,CMEMS,2026-04-10,75.06
33.725,-76.525,23.81,CMEMS,2026-04-10,74.86
33.725,-76.475,24.02,CMEMS,2026-04-10,75.24
33.725,-76.425,24.23,CMEMS,2026-04-10,75.61
33.725,-76.375,24.46,CMEMS,2026-04-10,76.03
33.725,-76.325,24.51,CMEMS,2026-04-10,76.12
33.725,-76.275,24.51,CMEMS,2026-04-10,76.12
33.725,-76.225,24.48,CMEMS,2026-04-10,76.06
33.725,-76.175,24.39,CMEMS,2026-04-10,75.9
33.725,-76.125,24.24,CMEMS,2026-04-10,75.63
33.725,-76.075,24.08,CMEMS,2026-04-10,75.34
33.725,-76.025,23.93,CMEMS,2026-04-10,75.07
33.725,-75.975,23.81,CMEMS,2026-04-10,74.86
33.725,-75.925,23.65,CMEMS,2026-04-10,74.57
33.725,-75.875,23.42,CMEMS,2026-04-10,74.16
33.725,-75.825,23.16,CMEMS,2026-04-10,73.69
33.725,-75.775,22.88,CMEMS,2026-04-10,73.18
33.725,-75.725,22.51,CMEMS,2026-04-10,72.52
33.725,-75.675,22.3,CMEMS,2026-04-10,72.14
33.725,-75.625,22.28,CMEMS,2026-04-10,72.1
33.725,-75.575,22.17,CMEMS,2026-04-10,71.91
33.725,-75.525,22.01,CMEMS,2026-04-10,71.62
33.725,-75.475,21.63,CMEMS,2026-04-10,70.93
33.725,-75.425,21.34,CMEMS,2026-04-10,70.41
33.725,-75.375,21.16,CMEMS,2026-04-10,70.09
33.725,-75.325,21.1,CMEMS,2026-04-10,69.98
33.725,-75.275,21.04,CMEMS,2026-04-10,69.87
33.725,-75.225,20.84,CMEMS,2026-04-10,69.51
33.725,-75.175,20.6,CMEMS,2026-04-10,69.08
33.725,-75.125,20.31,CMEMS,2026-04-10,68.56
33.725,-75.075,20.26,CMEMS,2026-04-10,68.47
33.725,-75.025,20.26,CMEMS,2026-04-10,68.47
33.725,-74.975,20.23,CMEMS,2026-04-10,68.41
33.725,-74.925,20.17,CMEMS,2026-04-10,68.31
33.725,-74.875,20.08,CMEMS,2026-04-10,68.14
33.725,-74.825,20.1,CMEMS,2026-04-10,68.18
33.725,-74.775,20.14,CMEMS,2026-04-10,68.25
33.725,-74.725,20.16,CMEMS,2026-04-10,68.29
33.725,-74.675,20.16,CMEMS,2026-04-10,68.29
33.725,-74.625,20.14,CMEMS,2026-04-10,68.25
33.725,-74.575,20.16,CMEMS,2026-04-10,68.29
33.725,-74.525,20.17,CMEMS,2026-04-10,68.31
33.725,-74.475,20.1,CMEMS,2026-04-10,68.18
33.725,-74.425,20.06,CMEMS,2026-04-10,68.11
33.725,-74.375,20.04,CMEMS,2026-04-10,68.07
33.725,-74.325,20.04,CMEMS,2026-04-10,68.07
33.725,-74.275,20.02,CMEMS,2026-04-10,68.04
33.725,-74.225,19.93,CMEMS,2026-04-10,67.87
33.725,-74.175,19.87,CMEMS,2026-04-10,67.77
33.725,-74.125,19.85,CMEMS,2026-04-10,67.73
33.725,-74.075,19.92,CMEMS,2026-04-10,67.86
33.725,-74.025,20.02,CMEMS,2026-04-10,68.04
33.775,-77.475,20.43,CMEMS,2026-04-10,68.77
33.775,-77.425,20.73,CMEMS,2026-04-10,69.31
33.775,-77.375,20.99,CMEMS,2026-04-10,69.78
33.775,-77.325,21.22,CMEMS,2026-04-10,70.2
33.775,-77.275,21.4,CMEMS,2026-04-10,70.52
33.775,-77.225,21.38,CMEMS,2026-04-10,70.48
33.775,-77.175,21.37,CMEMS,2026-04-10,70.47
33.775,-77.125,21.37,CMEMS,2026-04-10,70.47
33.775,-77.075,21.43,CMEMS,2026-04-10,70.57
33.775,-77.025,21.53,CMEMS,2026-04-10,70.75
33.775,-76.975,21.74,CMEMS,2026-04-10,71.13
33.775,-76.925,22.0,CMEMS,2026-04-10,71.6
33.775,-76.875,22.3,CMEMS,2026-04-10,72.14
33.775,-76.825,22.61,CMEMS,2026-04-10,72.7
