lat,lon,sst_c,source,date,sst_f
33.5,-77.5,20.988,MUR,2026-04-11,69.78
33.5,-77.49,21.05,MUR,2026-04-11,69.89
33.5,-77.48,21.113,MUR,2026-04-11,70.0
33.5,-77.47,21.175,MUR,2026-04-11,70.12
33.5,-77.46,21.235,MUR,2026-04-11,70.22
33.5,-77.45,21.293,MUR,2026-04-11,70.33
33.5,-77.44,21.35,MUR,2026-04-11,70.43
33.5,-77.43,21.407,MUR,2026-04-11,70.53
33.5,-77.42,21.467,MUR,2026-04-11,70.64
33.5,-77.41,21.53,MUR,2026-04-11,70.75
33.5,-77.4,21.596,MUR,2026-04-11,70.87
33.5,-77.39,21.664,MUR,2026-04-11,71.0
33.5,-77.38,21.732,MUR,2026-04-11,71.12
33.5,-77.37,21.797,MUR,2026-04-11,71.23
33.5,-77.36,21.859,MUR,2026-04-11,71.35
33.5,-77.35,21.917,MUR,2026-04-11,71.45
33.5,-77.34,21.973,MUR,2026-04-11,71.55
33.5,-77.33,22.026,MUR,2026-04-11,71.65
33.5,-77.32,22.077,MUR,2026-04-11,71.74
33.5,-77.31,22.127,MUR,2026-04-11,71.83
33.5,-77.3,22.176,MUR,2026-04-11,71.92
33.5,-77.29,22.225,MUR,2026-04-11,72.0
33.5,-77.28,22.275,MUR,2026-04-11,72.1
33.5,-77.27,22.326,MUR,2026-04-11,72.19
33.5,-77.26,22.379,MUR,2026-04-11,72.28
33.5,-77.25,22.432,MUR,2026-04-11,72.38
33.5,-77.24,22.487,MUR,2026-04-11,72.48
33.5,-77.23,22.544,MUR,2026-04-11,72.58
33.5,-77.22,22.602,MUR,2026-04-11,72.68
33.5,-77.21,22.661,MUR,2026-04-11,72.79
33.5,-77.2,22.723,MUR,2026-04-11,72.9
33.5,-77.19,22.787,MUR,2026-04-11,73.02
33.5,-77.18,22.854,MUR,2026-04-11,73.14
33.5,-77.17,22.923,MUR,2026-04-11,73.26
33.5,-77.16,22.996,MUR,2026-04-11,73.39
33.5,-77.15,23.07,MUR,2026-04-11,73.53
33.5,-77.14,23.147,MUR,2026-04-11,73.66
33.5,-77.13,23.226,MUR,2026-04-11,73.81
33.5,-77.12,23.305,MUR,2026-04-11,73.95
33.5,-77.11,23.385,MUR,2026-04-11,74.09
33.5,-77.1,23.465,MUR,2026-04-11,74.24
33.5,-77.09,23.545,MUR,2026-04-11,74.38
33.5,-77.08,23.624,MUR,2026-04-11,74.52
33.5,-77.07,23.702,MUR,2026-04-11,74.66
