lat,lon,sst_c,source,date,sst_f
33.525,-77.475,23.03,VIIRS,2026-04-13,73.45
33.525,-77.425,23.44,VIIRS,2026-04-13,74.19
33.525,-77.375,23.85,VIIRS,2026-04-13,74.93
33.525,-77.325,24.2,VIIRS,2026-04-13,75.56
33.525,-77.275,24.38,VIIRS,2026-04-13,75.88
33.525,-77.225,24.47,VIIRS,2026-04-13,76.05
33.525,-77.175,24.51,VIIRS,2026-04-13,76.12
33.525,-77.125,24.55,VIIRS,2026-04-13,76.19
33.525,-77.075,24.59,VIIRS,2026-04-13,76.26
33.525,-77.025,24.62,VIIRS,2026-04-13,76.32
33.525,-76.975,24.65,VIIRS,2026-04-13,76.37
33.525,-76.925,24.62,VIIRS,2026-04-13,76.32
33.525,-76.875,24.56,VIIRS,2026-04-13,76.21
33.525,-76.825,24.45,VIIRS,2026-04-13,76.01
33.525,-76.775,24.35,VIIRS,2026-04-13,75.83
33.525,-76.725,24.28,VIIRS,2026-04-13,75.7
33.525,-76.675,24.27,VIIRS,2026-04-13,75.69
33.525,-76.625,24.31,VIIRS,2026-04-13,75.76
33.525,-76.575,24.41,VIIRS,2026-04-13,75.94
33.525,-76.525,24.54,VIIRS,2026-04-13,76.17
33.525,-76.475,24.67,VIIRS,2026-04-13,76.41
33.525,-76.425,24.78,VIIRS,2026-04-13,76.6
33.525,-76.375,24.85,VIIRS,2026-04-13,76.73
33.525,-76.325,24.87,VIIRS,2026-04-13,76.77
33.525,-76.275,24.84,VIIRS,2026-04-13,76.71
33.525,-76.225,24.81,VIIRS,2026-04-13,76.66
33.525,-76.175,24.75,VIIRS,2026-04-13,76.55
33.525,-76.125,24.69,VIIRS,2026-04-13,76.44
33.525,-76.075,24.65,VIIRS,2026-04-13,76.37
33.525,-76.025,24.6,VIIRS,2026-04-13,76.28
33.525,-75.975,24.56,VIIRS,2026-04-13,76.21
33.525,-75.925,24.5,VIIRS,2026-04-13,76.1
33.525,-75.875,24.44,VIIRS,2026-04-13,75.99
33.525,-75.825,24.4,VIIRS,2026-04-13,75.92
33.525,-75.775,24.39,VIIRS,2026-04-13,75.9
33.525,-75.725,24.38,VIIRS,2026-04-13,75.88
33.525,-75.675,24.38,VIIRS,2026-04-13,75.88
33.525,-75.625,24.34,VIIRS,2026-04-13,75.81
33.525,-75.575,24.25,VIIRS,2026-04-13,75.65
33.525,-75.525,24.09,VIIRS,2026-04-13,75.36
33.525,-75.475,23.85,VIIRS,2026-04-13,74.93
33.525,-75.425,23.6,VIIRS,2026-04-13,74.48
33.525,-75.375,23.25,VIIRS,2026-04-13,73.85
33.525,-75.325,22.99,VIIRS,2026-04-13,73.38
33.525,-75.275,22.51,VIIRS,2026-04-13,72.52
33.525,-75.225,22.03,VIIRS,2026-04-13,71.65
33.525,-75.175,21.66,VIIRS,2026-04-13,70.99
33.525,-75.125,21.32,VIIRS,2026-04-13,70.38
33.525,-75.075,21.27,VIIRS,2026-04-13,70.29
33.525,-75.025,21.24,VIIRS,2026-04-13,70.23
33.525,-74.975,21.19,VIIRS,2026-04-13,70.14
33.525,-74.925,21.09,VIIRS,2026-04-13,69.96
33.525,-74.875,20.99,VIIRS,2026-04-13,69.78
33.525,-74.825,20.91,VIIRS,2026-04-13,69.64
33.525,-74.775,20.88,VIIRS,2026-04-13,69.58
33.525,-74.725,20.86,VIIRS,2026-04-13,69.55
33.525,-74.675,20.86,VIIRS,2026-04-13,69.55
33.525,-74.625,20.83,VIIRS,2026-04-13,69.49
33.525,-74.575,20.74,VIIRS,2026-04-13,69.33
33.525,-74.525,20.6,VIIRS,2026-04-13,69.08
33.525,-74.475,20.45,VIIRS,2026-04-13,68.81
33.525,-74.425,20.3,VIIRS,2026-04-13,68.54
33.525,-74.375,20.18,VIIRS,2026-04-13,68.32
33.525,-74.325,20.15,VIIRS,2026-04-13,68.27
33.525,-74.275,20.15,VIIRS,2026-04-13,68.27
33.525,-74.225,20.18,VIIRS,2026-04-13,68.32
33.525,-74.175,20.23,VIIRS,2026-04-13,68.41
33.525,-74.125,20.27,VIIRS,2026-04-13,68.49
33.525,-74.075,20.29,VIIRS,2026-04-13,68.52
33.525,-74.025,20.3,VIIRS,2026-04-13,68.54
33.525,-73.975,20.26,VIIRS,2026-04-13,68.47
33.575,-77.475,22.35,VIIRS,2026-04-13,72.23
33.575,-77.425,22.83,VIIRS,2026-04-13,73.09
33.575,-77.375,23.36,VIIRS,2026-04-13,74.05
33.575,-77.325,23.84,VIIRS,2026-04-13,74.91
33.575,-77.275,24.14,VIIRS,2026-04-13,75.45
33.575,-77.225,24.32,VIIRS,2026-04-13,75.78
33.575,-77.175,24.38,VIIRS,2026-04-13,75.88
33.575,-77.125,24.44,VIIRS,2026-04-13,75.99
33.575,-77.075,24.49,VIIRS,2026-04-13,76.08
33.575,-77.025,24.55,VIIRS,2026-04-13,76.19
33.575,-76.975,24.59,VIIRS,2026-04-13,76.26
33.575,-76.925,24.61,VIIRS,2026-04-13,76.3
33.575,-76.875,24.61,VIIRS,2026-04-13,76.3
33.575,-76.825,24.55,VIIRS,2026-04-13,76.19
33.575,-76.775,24.48,VIIRS,2026-04-13,76.06
33.575,-76.725,24.42,VIIRS,2026-04-13,75.96
