lat,lon,sst
29.775,-81.175,27.69
29.775,-81.075,27.69
29.775,-80.975,27.9
29.775,-80.875,28.2
29.775,-80.775,28.44
29.775,-80.675,28.73
29.775,-80.575,29.23
29.775,-80.475,29.75
29.775,-80.375,30.03
29.775,-80.275,30.23
29.775,-80.175,30.49
29.775,-80.075,30.65
29.775,-79.975,30.64
29.775,-79.875,30.6
29.775,-79.775,30.56
29.775,-79.675,30.49
29.775,-79.575,30.4
29.775,-79.475,30.31
29.775,-79.375,30.22
29.775,-79.275,30.17
29.775,-79.175,30.13
29.775,-79.075,30.09
29.775,-78.975,30.06
29.775,-78.875,30.05
29.775,-78.775,30.0
29.775,-78.675,29.84
29.775,-78.575,29.71
29.775,-78.475,29.67
29.775,-78.375,29.64
29.775,-78.275,29.58
29.775,-78.175,29.52
29.775,-78.075,29.49
29.775,-77.975,29.48
29.775,-77.875,29.49
29.775,-77.775,29.5
29.775,-77.675,29.52
29.775,-77.575,29.52
29.775,-77.475,29.53
29.775,-77.375,29.54
29.775,-77.275,29.54
29.775,-77.175,29.53
29.775,-77.075,29.52
29.775,-76.975,29.49
29.775,-76.875,29.44
29.775,-76.775,29.35
29.775,-76.675,29.26
29.775,-76.575,29.21
29.775,-76.475,29.22
29.775,-76.375,29.29
29.775,-76.275,29.36
29.775,-76.175,29.41
29.775,-76.075,29.43
29.775,-75.975,29.46
29.775,-75.875,29.49
29.775,-75.775,29.51
29.775,-75.675,29.53
29.775,-75.575,29.56
29.775,-75.475,29.58
29.775,-75.375,29.64
29.775,-75.275,29.67
29.775,-75.175,29.63
29.875,-81.175,27.62
29.875,-81.075,27.65
29.875,-80.975,27.95
29.875,-80.875,28.3
29.875,-80.775,28.51
29.875,-80.675,28.76
29.875,-80.575,29.28
29.875,-80.475,29.83
29.875,-80.375,30.08
29.875,-80.275,30.27
29.875,-80.175,30.54
29.875,-80.075,30.68
29.875,-79.975,30.68
29.875,-79.875,30.63
29.875,-79.775,30.54
29.875,-79.675,30.42
29.875,-79.575,30.33
29.875,-79.475,30.27
29.875,-79.375,30.24
29.875,-79.275,30.2
29.875,-79.175,30.15
29.875,-79.075,30.08
29.875,-78.975,30.02
29.875,-78.875,29.99
29.875,-78.775,29.96
29.875,-78.675,29.84
29.875,-78.575,29.71
29.875,-78.475,29.65
29.875,-78.375,29.59
29.875,-78.275,29.5
29.875,-78.175,29.42
29.875,-78.075,29.38
29.875,-77.975,29.39
29.875,-77.875,29.44
29.875,-77.775,29.49
29.875,-77.675,29.52
29.875,-77.575,29.55
29.875,-77.475,29.58
29.875,-77.375,29.59
29.875,-77.275,29.57
29.875,-77.175,29.54
29.875,-77.075,29.53
29.875,-76.975,29.54
29.875,-76.875,29.53
29.875,-76.775,29.46
29.875,-76.675,29.34
29.875,-76.575,29.22
29.875,-76.475,29.15
29.875,-76.375,29.16
29.875,-76.275,29.2
29.875,-76.175,29.25
29.875,-76.075,29.31
29.875,-75.975,29.39
29.875,-75.875,29.45
29.875,-75.775,29.49
29.875,-75.675,29.54
29.875,-75.575,29.57
29.875,-75.475,29.6
29.875,-75.375,29.65
29.875,-75.275,29.67
29.875,-75.175,29.66
29.975,-81.275,27.74
29.975,-81.175,27.6
29.975,-81.075,27.71
29.975,-80.975,28.1
29.975,-80.875,28.45
29.975,-80.775,28.61
29.975,-80.675,28.79
29.975,-80.575,29.3
29.975,-80.475,29.9
29.975,-80.375,30.22
29.975,-80.275,30.43
29.975,-80.175,30.63
29.975,-80.075,30.69
29.975,-79.975,30.67
29.975,-79.875,30.58
29.975,-79.775,30.46
29.975,-79.675,30.33
29.975,-79.575,30.26
29.975,-79.475,30.27
29.975,-79.375,30.29
29.975,-79.275,30.25
29.975,-79.175,30.19
29.975,-79.075,30.1
29.975,-78.975,30.01
29.975,-78.875,29.98
29.975,-78.775,29.96
29.975,-78.675,29.85
29.975,-78.575,29.71
29.975,-78.475,29.61
29.975,-78.375,29.53
29.975,-78.275,29.43
29.975,-78.175,29.36
29.975,-78.075,29.33
29.975,-77.975,29.33
29.975,-77.875,29.37
29.975,-77.775,29.44
29.975,-77.675,29.49
29.975,-77.575,29.53
29.975,-77.475,29.57
29.975,-77.375,29.58
29.975,-77.275,29.56
29.975,-77.175,29.54
29.975,-77.075,29.55
29.975,-76.975,29.59
29.975,-76.875,29.6
29.975,-76.775,29.56
29.975,-76.675,29.43
29.975,-76.575,29.26
29.975,-76.475,29.13
