lat,lon,sst
33.725,-78.775,29.39
33.725,-78.675,29.3
33.725,-78.575,29.21
33.725,-78.475,29.15
33.725,-78.375,29.14
33.725,-78.275,29.2
33.725,-78.175,29.28
33.725,-78.075,29.32
33.725,-77.975,29.24
33.725,-77.875,28.99
33.725,-77.775,28.68
33.725,-77.675,28.47
33.725,-77.575,28.4
33.725,-77.475,28.43
33.725,-77.375,28.46
33.725,-77.275,28.46
33.725,-77.175,28.55
33.725,-77.075,28.73
33.725,-76.975,28.87
33.725,-76.875,28.99
33.725,-76.775,29.1
33.725,-76.675,29.2
33.725,-76.575,29.28
33.725,-76.475,29.41
33.725,-76.375,29.63
33.725,-76.275,29.79
33.725,-76.175,29.84
33.725,-76.075,29.82
33.725,-75.975,29.78
33.725,-75.875,29.78
33.725,-75.775,29.76
33.725,-75.675,29.72
33.725,-75.575,29.69
33.725,-75.475,29.7
33.725,-75.375,29.64
33.725,-75.275,29.52
33.725,-75.175,29.45
33.725,-75.075,29.39
33.725,-74.975,29.34
33.725,-74.875,29.28
33.725,-74.775,29.2
33.725,-74.675,29.11
33.725,-74.575,28.94
33.725,-74.475,28.63
33.725,-74.375,28.29
33.725,-74.275,28.08
33.725,-74.175,27.99
33.725,-74.075,27.95
33.725,-73.975,27.89
33.725,-73.875,27.81
33.725,-73.775,27.64
33.725,-73.675,27.44
33.725,-73.575,27.35
33.725,-73.475,27.34
33.725,-73.375,27.33
33.725,-73.275,27.28
33.725,-73.175,27.21
33.725,-73.075,27.17
33.725,-72.975,27.16
33.725,-72.875,27.17
33.725,-72.775,27.21
33.725,-72.675,27.25
33.725,-72.575,27.28
33.725,-72.475,27.32
33.725,-72.375,27.34
33.725,-72.275,27.33
33.825,-78.575,29.29
33.825,-78.475,29.31
33.825,-78.375,29.35
33.825,-78.275,29.38
33.825,-78.175,29.43
33.825,-78.075,29.36
33.825,-77.975,29.17
33.825,-77.875,28.91
33.825,-77.775,28.69
33.825,-77.675,28.54
33.825,-77.575,28.45
33.825,-77.475,28.48
33.825,-77.375,28.55
33.825,-77.275,28.55
33.825,-77.175,28.55
33.825,-77.075,28.65
33.825,-76.975,28.77
33.825,-76.875,28.86
33.825,-76.775,28.96
33.825,-76.675,29.07
33.825,-76.575,29.2
33.825,-76.475,29.27
33.825,-76.375,29.36
33.825,-76.275,29.52
33.825,-76.175,29.7
33.825,-76.075,29.77
33.825,-75.975,29.73
33.825,-75.875,29.72
33.825,-75.775,29.71
33.825,-75.675,29.69
33.825,-75.575,29.66
33.825,-75.475,29.65
33.825,-75.375,29.62
33.825,-75.275,29.56
33.825,-75.175,29.51
33.825,-75.075,29.47
33.825,-74.975,29.41
33.825,-74.875,29.37
33.825,-74.775,29.35
33.825,-74.675,29.23
33.825,-74.575,29.03
33.825,-74.475,28.77
33.825,-74.375,28.42
33.825,-74.275,28.15
33.825,-74.175,28.03
33.825,-74.075,27.99
33.825,-73.975,27.96
33.825,-73.875,27.91
33.825,-73.775,27.73
33.825,-73.675,27.46
33.825,-73.575,27.33
33.825,-73.475,27.3
33.825,-73.375,27.26
33.825,-73.275,27.21
33.825,-73.175,27.19
33.825,-73.075,27.19
33.825,-72.975,27.17
33.825,-72.875,27.15
33.825,-72.775,27.2
33.825,-72.675,27.28
33.825,-72.575,27.32
33.825,-72.475,27.34
33.825,-72.375,27.33
33.825,-72.275,27.27
33.925,-77.975,28.81
33.925,-77.875,28.58
33.925,-77.775,28.47
33.925,-77.675,28.41
33.925,-77.575,28.41
33.925,-77.475,28.51
33.925,-77.375,28.62
33.925,-77.275,28.62
33.925,-77.175,28.56
33.925,-77.075,28.53
33.925,-76.975,28.58
33.925,-76.875,28.64
33.925,-76.775,28.76
33.925,-76.675,28.93
33.925,-76.575,29.09
33.925,-76.475,29.18
33.925,-76.375,29.24
33.925,-76.275,29.32
33.925,-76.175,29.47
33.925,-76.075,29.63
33.925,-75.975,29.67
33.925,-75.875,29.64
33.925,-75.775,29.63
33.925,-75.675,29.63
33.925,-75.575,29.62
33.925,-75.475,29.62
33.925,-75.375,29.59
33.925,-75.275,29.54
33.925,-75.175,29.51
33.925,-75.075,29.49
33.925,-74.975,29.44
33.925,-74.875,29.38
33.925,-74.775,29.34
33.925,-74.675,29.28
33.925,-74.575,29.15
33.925,-74.475,28.91
33.925,-74.375,28.57
33.925,-74.275,28.25
33.925,-74.175,28.07
33.925,-74.075,28.01
33.925,-73.975,28.01
33.925,-73.875,28.0
33.925,-73.775,27.77
33.925,-73.675,27.45
33.925,-73.575,27.32
33.925,-73.475,27.29
33.925,-73.375,27.24
33.925,-73.275,27.19
33.925,-73.175,27.2
33.925,-73.075,27.24
33.925,-72.975,27.24
33.925,-72.875,27.25
33.925,-72.775,27.27
33.925,-72.675,27.3
33.925,-72.575,27.29
33.925,-72.475,27.27
33.925,-72.375,27.24
33.925,-72.275,27.18
34.025,-77.875,28.28
34.025,-77.775,28.18
34.025,-77.675,28.17
34.025,-77.575,28.23
34.025,-77.475,28.4
34.025,-77.375,28.53
34.025,-77.275,28.55
34.025,-77.175,28.51
34.025,-77.075,28.44
34.025,-76.975,28.39
34.025,-76.875,28.4
34.025,-76.775,28.53
34.025,-76.675,28.72
34.025,-76.575,28.9
34.025,-76.475,29.01
34.025,-76.375,29.11
34.025,-76.275,29.22
34.025,-76.175,29.33
34.025,-76.075,29.47
34.025,-75.975,29.59
34.025,-75.875,29.62
34.025,-75.775,29.64
34.025,-75.675,29.63
34.025,-75.575,29.59
34.025,-75.475,29.58
34.025,-75.375,29.57
34.025,-75.275,29.53
34.025,-75.175,29.5
34.025,-75.075,29.49
34.025,-74.975,29.47
34.025,-74.875,29.42
34.025,-74.775,29.34
34.025,-74.675,29.31
34.025,-74.575,29.22
34.025,-74.475,29.02
34.025,-74.375,28.77
34.025,-74.275,28.41
34.025,-74.175,28.13
34.025,-74.075,28.02
34.025,-73.975,28.05
34.025,-73.875,27.99
34.025,-73.775,27.7
34.025,-73.675,27.41
34.025,-73.575,27.31
34.025,-73.475,27.28
34.025,-73.375,27.22
34.025,-73.275,27.18
34.025,-73.175,27.2
34.025,-73.075,27.27
34.025,-72.975,27.3
34.025,-72.875,27.33
34.025,-72.775,27.32
34.025,-72.675,27.29
34.025,-72.575,27.28
34.025,-72.475,27.26
34.025,-72.375,27.23
34.025,-72.275,27.23
34.125,-77.775,28.04
34.125,-77.675,28.06
34.125,-77.575,28.12
34.125,-77.475,28.25
34.125,-77.375,28.37
34.125,-77.275,28.4
34.125,-77.175,28.39
34.125,-77.075,28.37
34.125,-76.975,28.32
34.125,-76.875,28.29
34.125,-76.775,28.38
34.125,-76.675,28.53
34.125,-76.575,28.64
34.125,-76.475,28.73
34.125,-76.375,28.83
34.125,-76.275,28.99
34.125,-76.175,29.14
34.125,-76.075,29.27
34.125,-75.975,29.39
34.125,-75.875,29.47
34.125,-75.775,29.54
34.125,-75.675,29.57
34.125,-75.575,29.55
34.125,-75.475,29.52
34.125,-75.375,29.5
