lat,lon,sst
26.025,-81.975,31.21
26.025,-81.875,31.04
26.025,-81.775,30.93
26.025,-80.075,30.36
26.025,-79.975,30.39
26.025,-79.875,30.35
26.025,-79.775,30.3
26.025,-79.675,30.24
26.025,-79.575,30.2
26.025,-79.475,30.21
26.025,-79.375,30.25
26.025,-79.275,30.33
26.025,-79.175,30.4
26.025,-79.075,30.39
26.025,-78.975,30.34
26.025,-78.875,30.32
26.025,-78.775,30.32
26.025,-78.675,30.3
26.025,-78.575,30.25
26.025,-78.475,30.19
26.025,-78.375,30.18
26.025,-78.275,30.2
26.025,-78.175,30.25
26.025,-78.075,30.28
26.025,-77.975,30.29
26.025,-77.875,30.3
26.025,-77.775,30.32
26.025,-77.675,30.35
26.025,-77.575,30.37
26.025,-77.475,30.39
26.025,-77.175,30.18
26.025,-77.075,30.15
26.025,-76.975,30.2
26.025,-76.875,30.26
26.025,-76.775,30.29
26.025,-76.675,30.31
26.025,-76.575,30.31
26.025,-76.475,30.3
26.025,-76.375,30.3
26.025,-76.275,30.3
26.025,-76.175,30.33
26.125,-81.975,31.13
26.125,-81.875,30.98
26.125,-80.075,30.34
26.125,-79.975,30.43
26.125,-79.875,30.41
26.125,-79.775,30.31
26.125,-79.675,30.23
26.125,-79.575,30.18
26.125,-79.475,30.16
26.125,-79.375,30.15
26.125,-79.275,30.16
26.125,-79.175,30.14
26.125,-79.075,30.1
26.125,-78.975,30.1
26.125,-78.875,30.13
26.125,-78.775,30.16
26.125,-78.675,30.19
26.125,-78.575,30.17
26.125,-78.475,30.15
26.125,-78.375,30.16
26.125,-78.275,30.2
26.125,-78.175,30.23
26.125,-78.075,30.25
26.125,-77.975,30.26
26.125,-77.875,30.29
26.125,-77.775,30.34
26.125,-77.675,30.4
26.125,-77.575,30.47
26.125,-77.475,30.54
26.125,-77.375,30.55
26.125,-77.275,30.44
26.125,-77.175,30.23
26.125,-77.075,30.19
26.125,-76.975,30.24
26.125,-76.875,30.31
26.125,-76.775,30.34
26.125,-76.675,30.38
26.125,-76.575,30.38
26.125,-76.475,30.36
26.125,-76.375,30.34
26.125,-76.275,30.28
26.125,-76.175,30.28
26.225,-81.975,31.05
26.225,-81.875,30.94
26.225,-80.075,30.31
26.225,-79.975,30.4
26.225,-79.875,30.41
26.225,-79.775,30.33
26.225,-79.675,30.25
26.225,-79.575,30.18
26.225,-79.475,30.14
26.225,-79.375,30.1
26.225,-79.275,30.02
26.225,-79.175,29.95
26.225,-79.075,29.91
26.225,-78.975,29.92
26.225,-78.875,29.99
26.225,-78.775,30.07
26.225,-78.675,30.11
26.225,-78.575,30.12
26.225,-78.475,30.13
26.225,-78.375,30.16
26.225,-78.275,30.18
26.225,-78.175,30.19
26.225,-78.075,30.2
26.225,-77.975,30.22
26.225,-77.875,30.29
26.225,-77.775,30.39
26.225,-77.675,30.51
26.225,-77.575,30.61
26.225,-77.475,30.69
26.225,-77.375,30.72
26.225,-77.275,30.66
26.225,-77.075,30.25
26.225,-76.975,30.29
26.225,-76.875,30.32
26.225,-76.775,30.33
26.225,-76.675,30.35
26.225,-76.575,30.36
26.225,-76.475,30.34
26.225,-76.375,30.31
26.225,-76.275,30.27
26.225,-76.175,30.25
26.325,-81.975,30.93
26.325,-81.875,30.85
26.325,-79.975,30.37
26.325,-79.875,30.42
26.325,-79.775,30.37
26.325,-79.675,30.28
26.325,-79.575,30.21
26.325,-79.475,30.16
26.325,-79.375,30.07
