lat,lon,sst
22.175,-83.175,31.51
22.175,-83.075,31.42
22.175,-82.975,31.33
22.175,-82.875,31.31
22.175,-82.775,31.35
22.175,-82.675,31.43
22.175,-82.575,31.48
22.175,-82.475,31.47
22.175,-82.375,31.43
22.175,-82.275,31.4
22.175,-82.175,31.38
22.175,-82.075,31.37
22.175,-81.975,31.37
22.175,-81.875,31.39
22.175,-81.775,31.53
22.175,-81.675,31.54
22.175,-81.575,31.43
22.175,-81.475,31.59
22.175,-81.175,31.02
22.175,-78.275,30.32
22.175,-78.175,30.26
22.175,-77.775,29.35
22.175,-77.675,29.15
22.175,-77.575,29.14
22.175,-77.475,29.17
22.175,-77.375,29.16
22.175,-77.275,29.11
22.175,-77.175,29.05
22.175,-77.075,29.04
22.175,-76.975,29.06
22.175,-76.875,29.07
22.175,-76.775,29.11
22.175,-76.675,29.21
22.175,-76.575,29.33
22.175,-76.475,29.33
22.175,-76.375,29.27
22.175,-76.275,29.21
22.175,-76.175,29.23
22.275,-83.175,31.49
22.275,-83.075,31.41
22.275,-82.975,31.36
22.275,-82.875,31.32
22.275,-82.775,31.32
22.275,-82.675,31.37
22.275,-82.575,31.42
22.275,-82.475,31.43
22.275,-82.375,31.42
22.275,-82.275,31.4
22.275,-82.175,31.38
22.275,-82.075,31.35
22.275,-81.975,31.35
22.275,-81.175,30.9
22.275,-78.475,30.52
22.275,-78.375,30.4
22.275,-78.275,30.3
22.275,-78.175,30.16
22.275,-78.075,29.94
22.275,-77.975,29.72
22.275,-77.875,29.47
22.275,-77.775,29.19
22.275,-77.675,29.1
22.275,-77.575,29.19
22.275,-77.475,29.27
22.275,-77.375,29.3
22.275,-77.275,29.25
22.275,-77.175,29.19
22.275,-77.075,29.17
22.275,-76.975,29.19
22.275,-76.875,29.24
22.275,-76.775,29.34
22.275,-76.675,29.46
22.275,-76.575,29.52
22.275,-76.475,29.48
22.275,-76.375,29.41
22.275,-76.275,29.39
22.275,-76.175,29.44
22.375,-83.075,31.37
22.375,-82.975,31.33
22.375,-82.875,31.31
22.375,-82.775,31.3
22.375,-82.675,31.32
22.375,-82.575,31.36
22.375,-82.475,31.38
22.375,-82.375,31.4
22.375,-82.275,31.38
22.375,-82.175,31.33
22.375,-78.675,30.63
22.375,-78.575,30.5
22.375,-78.475,30.41
22.375,-78.375,30.3
22.375,-78.275,30.17
22.375,-78.075,29.56
22.375,-77.975,29.41
22.375,-77.875,29.29
22.375,-77.775,29.2
22.375,-77.675,29.26
22.375,-77.575,29.39
22.375,-77.475,29.49
22.375,-77.375,29.52
22.375,-77.275,29.49
22.375,-77.175,29.43
22.375,-77.075,29.4
22.375,-76.975,29.42
22.375,-76.875,29.48
22.375,-76.775,29.55
22.375,-76.675,29.62
22.375,-76.575,29.65
22.375,-76.475,29.6
22.375,-76.375,29.56
22.375,-76.275,29.6
22.375,-76.175,29.69
22.475,-82.975,31.28
22.475,-82.875,31.28
22.475,-82.775,31.27
22.475,-82.675,31.29
22.475,-82.575,31.32
22.475,-82.475,31.32
22.475,-82.275,31.3
22.475,-82.175,31.24
22.475,-82.075,31.18
22.475,-81.975,31.12
22.475,-81.875,31.08
22.475,-81.775,31.14
22.475,-81.675,31.22
22.475,-79.375,30.81
22.475,-79.275,30.76
22.475,-79.175,30.71
22.475,-79.075,30.68
22.475,-78.975,30.58
22.475,-78.875,30.51
22.475,-78.775,30.48
22.475,-78.675,30.4
22.475,-78.575,30.18
