lat,lon,sst
37.275,-76.375,26.61
37.275,-76.275,26.49
37.275,-76.175,26.4
37.275,-76.075,26.29
37.275,-75.775,25.38
37.275,-75.675,25.01
37.275,-75.575,24.48
37.275,-75.475,24.18
37.275,-75.375,24.16
37.275,-75.275,24.27
37.275,-75.175,24.53
37.275,-75.075,24.73
37.275,-74.975,24.83
37.275,-74.875,24.91
37.275,-74.775,24.92
37.275,-74.675,24.83
37.275,-74.575,24.74
37.275,-74.475,24.74
37.275,-74.375,24.8
37.275,-74.275,24.87
37.275,-74.175,24.89
37.275,-74.075,24.93
37.275,-73.975,25.09
37.275,-73.875,25.34
37.275,-73.775,25.65
37.275,-73.675,26.24
37.275,-73.575,27.02
37.275,-73.475,27.49
37.275,-73.375,27.41
37.275,-73.275,27.14
37.275,-73.175,27.1
37.275,-73.075,27.2
37.275,-72.975,27.16
37.275,-72.875,27.18
37.275,-72.775,27.55
37.275,-72.675,28.03
37.275,-72.575,28.31
37.275,-72.475,28.42
37.275,-72.375,28.46
37.275,-72.275,28.43
37.275,-72.175,28.35
37.275,-72.075,28.3
37.275,-71.975,28.24
37.275,-71.875,28.21
37.275,-71.775,28.28
37.275,-71.675,28.38
37.275,-71.575,28.45
37.275,-71.475,28.4
37.275,-71.375,28.18
37.275,-71.275,27.9
37.275,-71.175,27.71
37.275,-71.075,27.72
37.275,-70.975,27.91
37.275,-70.875,28.12
37.275,-70.775,28.29
37.275,-70.675,28.4
37.275,-70.575,28.45
37.275,-70.475,28.44
37.275,-70.375,28.43
37.275,-70.275,28.46
37.275,-70.175,28.49
37.275,-70.075,28.51
37.275,-69.975,28.54
37.275,-69.875,28.56
37.275,-69.775,28.57
37.275,-69.675,28.57
37.275,-69.575,28.54
37.275,-69.475,28.5
37.275,-69.375,28.5
37.275,-69.275,28.51
37.275,-69.175,28.51
37.275,-69.075,28.5
37.275,-68.975,28.49
37.375,-76.375,26.63
37.375,-76.175,26.39
37.375,-76.075,26.31
37.375,-75.775,25.32
37.375,-75.675,24.99
37.375,-75.575,24.37
37.375,-75.475,23.95
37.375,-75.375,23.94
37.375,-75.275,24.01
37.375,-75.175,24.15
37.375,-75.075,24.32
37.375,-74.975,24.52
37.375,-74.875,24.77
37.375,-74.775,24.88
37.375,-74.675,24.77
37.375,-74.575,24.66
37.375,-74.475,24.64
37.375,-74.375,24.66
37.375,-74.275,24.71
37.375,-74.175,24.77
37.375,-74.075,24.91
37.375,-73.975,25.08
37.375,-73.875,25.2
37.375,-73.775,25.36
37.375,-73.675,25.57
37.375,-73.575,25.94
37.375,-73.475,26.54
37.375,-73.375,27.04
37.375,-73.275,27.24
37.375,-73.175,27.24
37.375,-73.075,27.18
37.375,-72.975,27.09
37.375,-72.875,27.06
37.375,-72.775,27.21
37.375,-72.675,27.5
37.375,-72.575,27.87
37.375,-72.475,28.1
37.375,-72.375,28.13
37.375,-72.275,28.05
37.375,-72.175,27.99
37.375,-72.075,27.97
37.375,-71.975,27.95
37.375,-71.875,27.98
37.375,-71.775,27.96
37.375,-71.675,27.82
37.375,-71.575,27.61
37.375,-71.475,27.32
37.375,-71.375,27.01
37.375,-71.275,26.75
37.375,-71.175,26.57
37.375,-71.075,26.62
37.375,-70.975,26.87
37.375,-70.875,27.05
37.375,-70.775,27.25
37.375,-70.675,27.62
37.375,-70.575,28.04
37.375,-70.475,28.27
37.375,-70.375,28.31
37.375,-70.275,28.31
37.375,-70.175,28.35
37.375,-70.075,28.38
37.375,-69.975,28.4
37.375,-69.875,28.41
37.375,-69.775,28.44
37.375,-69.675,28.46
37.375,-69.575,28.43
37.375,-69.475,28.4
37.375,-69.375,28.4
37.375,-69.275,28.41
37.375,-69.175,28.41
37.375,-69.075,28.44
37.375,-68.975,28.46
37.475,-76.175,26.39
37.475,-76.075,26.31
37.475,-75.975,26.23
37.475,-75.775,25.2
37.475,-75.675,24.88
37.475,-75.575,24.36
37.475,-75.475,23.85
37.475,-75.375,23.74
37.475,-75.275,23.88
37.475,-75.175,23.99
37.475,-75.075,24.1
37.475,-74.975,24.34
37.475,-74.875,24.66
37.475,-74.775,24.77
37.475,-74.675,24.64
37.475,-74.575,24.54
37.475,-74.475,24.52
37.475,-74.375,24.55
37.475,-74.275,24.6
37.475,-74.175,24.68
37.475,-74.075,24.91
37.475,-73.975,25.03
37.475,-73.875,24.97
37.475,-73.775,25.03
37.475,-73.675,25.22
37.475,-73.575,25.32
37.475,-73.475,25.52
37.475,-73.375,26.0
37.475,-73.275,26.51
37.475,-73.175,26.95
37.475,-73.075,27.14
37.475,-72.975,27.1
37.475,-72.875,27.04
37.475,-72.775,26.95
37.475,-72.675,27.0
37.475,-72.575,27.22
37.475,-72.475,27.29
37.475,-72.375,27.35
37.475,-72.275,27.47
37.475,-72.175,27.51
37.475,-72.075,27.49
37.475,-71.975,27.41
37.475,-71.875,27.37
37.475,-71.775,27.14
37.475,-71.675,26.71
37.475,-71.575,26.38
37.475,-71.475,26.19
37.475,-71.375,26.15
37.475,-71.275,26.18
37.475,-71.175,26.15
37.475,-71.075,26.13
37.475,-70.975,26.14
37.475,-70.875,26.13
37.475,-70.775,26.18
37.475,-70.675,26.54
37.475,-70.575,27.13
37.475,-70.475,27.61
37.475,-70.375,27.92
37.475,-70.275,28.09
37.475,-70.175,28.15
37.475,-70.075,28.17
37.475,-69.975,28.2
37.475,-69.875,28.24
37.475,-69.775,28.27
37.475,-69.675,28.27
37.475,-69.575,28.27
37.475,-69.475,28.25
37.475,-69.375,28.21
37.475,-69.275,28.17
37.475,-69.175,28.19
37.475,-69.075,28.23
37.475,-68.975,28.23
37.575,-76.275,26.45
37.575,-76.175,26.38
37.575,-76.075,26.28
37.575,-75.975,26.11
37.575,-75.675,24.69
37.575,-75.575,24.38
37.575,-75.475,23.95
37.575,-75.375,23.69
37.575,-75.275,23.78
37.575,-75.175,24.01
37.575,-75.075,24.19
37.575,-74.975,24.4
37.575,-74.875,24.62
37.575,-74.775,24.64
37.575,-74.675,24.51
37.575,-74.575,24.44
37.575,-74.475,24.44
37.575,-74.375,24.46
37.575,-74.275,24.51
37.575,-74.175,24.63
37.575,-74.075,24.84
37.575,-73.975,24.83
37.575,-73.875,24.67
37.575,-73.775,24.71
37.575,-73.675,24.9
37.575,-73.575,25.04
37.575,-73.475,25.14
37.575,-73.375,25.38
37.575,-73.275,25.7
37.575,-73.175,26.09
37.575,-73.075,26.47
37.575,-72.975,26.71
37.575,-72.875,26.9
37.575,-72.775,26.93
37.575,-72.675,26.8
37.575,-72.575,26.6
37.575,-72.475,26.43
37.575,-72.375,26.57
37.575,-72.275,26.94
37.575,-72.175,27.06
37.575,-72.075,26.97
37.575,-71.975,26.8
37.575,-71.875,26.58
37.575,-71.775,26.2
37.575,-71.675,25.85
37.575,-71.575,25.82
37.575,-71.475,25.89
37.575,-71.375,25.98
37.575,-71.275,26.01
37.575,-71.175,25.98
37.575,-71.075,25.93
37.575,-70.975,25.81
37.575,-70.875,25.68
37.575,-70.775,25.63
37.575,-70.675,25.77
37.575,-70.575,26.15
37.575,-70.475,26.63
37.575,-70.375,27.11
37.575,-70.275,27.51
37.575,-70.175,27.76
37.575,-70.075,27.88
37.575,-69.975,27.94
37.575,-69.875,28.01
37.575,-69.775,28.02
37.575,-69.675,28.03
37.575,-69.575,28.07
37.575,-69.475,28.04
37.575,-69.375,27.97
37.575,-69.275,27.91
37.575,-69.175,27.87
37.575,-69.075,27.81
37.575,-68.975,27.68
37.675,-76.275,26.31
37.675,-76.175,26.29
37.675,-76.075,26.2
37.675,-75.975,26.03
37.675,-75.875,25.79
37.675,-75.575,24.38
37.675,-75.475,24.15
37.675,-75.375,23.79
37.675,-75.275,23.69
37.675,-75.175,23.91
37.675,-75.075,24.18
37.675,-74.975,24.45
37.675,-74.875,24.6
37.675,-74.775,24.59
37.675,-74.675,24.48
37.675,-74.575,24.42
37.675,-74.475,24.45
37.675,-74.375,24.45
37.675,-74.275,24.44
37.675,-74.175,24.51
37.675,-74.075,24.59
37.675,-73.975,24.55
37.675,-73.875,24.49
37.675,-73.775,24.6
37.675,-73.675,24.76
37.675,-73.575,24.91
37.675,-73.475,25.04
37.675,-73.375,25.24
37.675,-73.275,25.51
37.675,-73.175,25.7
37.675,-73.075,25.81
37.675,-72.975,25.94
37.675,-72.875,26.13
37.675,-72.775,26.28
37.675,-72.675,26.32
37.675,-72.575,26.31
37.675,-72.475,26.21
37.675,-72.375,26.23
37.675,-72.275,26.53
37.675,-72.175,26.61
37.675,-72.075,26.46
37.675,-71.975,26.23
37.675,-71.875,25.99
37.675,-71.775,25.79
37.675,-71.675,25.7
37.675,-71.575,25.77
37.675,-71.475,25.86
37.675,-71.375,25.93
37.675,-71.275,25.89
37.675,-71.175,25.82
37.675,-71.075,25.8
37.675,-70.975,25.68
37.675,-70.875,25.52
37.675,-70.775,25.42
37.675,-70.675,25.43
37.675,-70.575,25.61
37.675,-70.475,25.92
37.675,-70.375,26.27
37.675,-70.275,26.71
37.675,-70.175,27.11
37.675,-70.075,27.32
37.675,-69.975,27.53
37.675,-69.875,27.77
37.675,-69.775,27.84
37.675,-69.675,27.82
37.675,-69.575,27.85
37.675,-69.475,27.83
37.675,-69.375,27.69
37.675,-69.275,27.53
37.675,-69.175,27.35
37.675,-69.075,27.17
37.675,-68.975,26.94
37.775,-76.675,26.25
37.775,-76.275,26.19
37.775,-76.175,26.18
37.775,-76.075,26.08
37.775,-75.975,25.96
37.775,-75.875,25.72
37.775,-75.475,24.28
37.775,-75.375,23.98
37.775,-75.275,23.73
37.775,-75.175,23.78
37.775,-75.075,24.01
37.775,-74.975,24.3
37.775,-74.875,24.51
37.775,-74.775,24.54
37.775,-74.675,24.46
37.775,-74.575,24.4
37.775,-74.475,24.42
37.775,-74.375,24.43
37.775,-74.275,24.4
37.775,-74.175,24.35
37.775,-74.075,24.33
37.775,-73.975,24.37
37.775,-73.875,24.45
37.775,-73.775,24.57
37.775,-73.675,24.72
37.775,-73.575,24.92
37.775,-73.475,25.13
37.775,-73.375,25.3
37.775,-73.275,25.46
37.775,-73.175,25.62
37.775,-73.075,25.68
37.775,-72.975,25.68
37.775,-72.875,25.7
37.775,-72.775,25.7
37.775,-72.675,25.79
37.775,-72.575,25.95
37.775,-72.475,25.93
37.775,-72.375,25.89
37.775,-72.275,26.02
37.775,-72.175,26.04
37.775,-72.075,25.92
37.775,-71.975,25.81
37.775,-71.875,25.73
37.775,-71.775,25.74
37.775,-71.675,25.76
37.775,-71.575,25.79
37.775,-71.475,25.84
37.775,-71.375,25.87
37.775,-71.275,25.81
37.775,-71.175,25.77
37.775,-71.075,25.77
37.775,-70.975,25.7
37.775,-70.875,25.6
37.775,-70.775,25.49
37.775,-70.675,25.41
37.775,-70.575,25.44
37.775,-70.475,25.57
37.775,-70.375,25.78
37.775,-70.275,26.09
37.775,-70.175,26.33
37.775,-70.075,26.44
37.775,-69.975,26.73
37.775,-69.875,27.21
37.775,-69.775,27.51
37.775,-69.675,27.58
37.775,-69.575,27.59
37.775,-69.475,27.52
37.775,-69.375,27.29
37.775,-69.275,27.04
37.775,-69.175,26.77
37.775,-69.075,26.37
37.775,-68.975,25.76
37.875,-76.775,26.11
37.875,-76.175,26.06
37.875,-76.075,25.93
37.875,-75.975,25.82
37.875,-75.875,25.64
37.875,-75.775,25.3
37.875,-75.675,25.17
37.875,-75.375,24.18
37.875,-75.275,23.93
37.875,-75.175,23.82
37.875,-75.075,23.9
37.875,-74.975,24.11
37.875,-74.875,24.32
37.875,-74.775,24.41
37.875,-74.675,24.41
37.875,-74.575,24.36
37.875,-74.475,24.32
37.875,-74.375,24.31
37.875,-74.275,24.33
37.875,-74.175,24.32
37.875,-74.075,24.26
37.875,-73.975,24.29
37.875,-73.875,24.4
37.875,-73.775,24.49
37.875,-73.675,24.63
37.875,-73.575,24.91
37.875,-73.475,25.19
37.875,-73.375,25.34
37.875,-73.275,25.39
37.875,-73.175,25.45
37.875,-73.075,25.55
37.875,-72.975,25.62
37.875,-72.875,25.68
37.875,-72.775,25.7
37.875,-72.675,25.73
37.875,-72.575,25.75
37.875,-72.475,25.71
37.875,-72.375,25.66
37.875,-72.275,25.66
37.875,-72.175,25.64
37.875,-72.075,25.62
37.875,-71.975,25.69
37.875,-71.875,25.77
37.875,-71.775,25.81
37.875,-71.675,25.83
37.875,-71.575,25.8
37.875,-71.475,25.8
37.875,-71.375,25.81
37.875,-71.275,25.79
37.875,-71.175,25.77
37.875,-71.075,25.78
37.875,-70.975,25.8
37.875,-70.875,25.78
37.875,-70.775,25.71
37.875,-70.675,25.56
37.875,-70.575,25.47
37.875,-70.475,25.48
37.875,-70.375,25.53
37.875,-70.275,25.69
37.875,-70.175,25.79
37.875,-70.075,25.83
37.875,-69.975,26.04
37.875,-69.875,26.53
37.875,-69.775,27.01
37.875,-69.675,27.15
37.875,-69.575,27.1
37.875,-69.475,27.02
37.875,-69.375,26.86
37.875,-69.275,26.64
37.875,-69.175,26.36
37.875,-69.075,25.78
37.875,-68.975,24.8
37.975,-76.875,26.25
37.975,-76.375,26.1
37.975,-76.275,26.02
37.975,-76.175,25.88
37.975,-76.075,25.72
37.975,-75.975,25.66
37.975,-75.875,25.51
37.975,-75.775,25.28
37.975,-75.375,24.36
37.975,-75.275,24.2
37.975,-75.175,23.94
37.975,-75.075,23.87
37.975,-74.975,24.0
37.975,-74.875,24.15
37.975,-74.775,24.24
37.975,-74.675,24.3
37.975,-74.575,24.29
37.975,-74.475,24.23
37.975,-74.375,24.19
37.975,-74.275,24.24
37.975,-74.175,24.3
37.975,-74.075,24.24
37.975,-73.975,24.22
37.975,-73.875,24.31
37.975,-73.775,24.39
37.975,-73.675,24.51
37.975,-73.575,24.78
37.975,-73.475,25.07
37.975,-73.375,25.26
37.975,-73.275,25.35
37.975,-73.175,25.35
37.975,-73.075,25.42
37.975,-72.975,25.54
37.975,-72.875,25.61
