lat,lon,sst
29.8,-81.25,29.451
29.8,-81.2,29.475
29.8,-81.15,29.453
29.8,-81.1,29.372
29.8,-81.05,29.281
29.8,-81.0,29.212
29.8,-80.95,29.191
29.8,-80.9,29.18
29.8,-80.85,29.186
29.8,-80.8,29.144
29.8,-80.75,29.092
29.8,-80.7,29.097
29.8,-80.65,29.087
29.8,-80.6,29.008
29.8,-80.55,28.938
29.8,-80.5,28.996
29.8,-80.45,28.962
29.8,-80.4,28.799
29.8,-80.35,29.035
29.8,-80.3,29.072
29.8,-80.25,29.017
29.8,-80.2,29.048
29.8,-80.15,29.184
29.8,-80.1,29.312
29.8,-80.05,29.564
29.8,-80.0,29.978
29.8,-79.95,30.016
29.8,-79.9,29.857
29.8,-79.85,29.767
29.8,-79.8,30.052
29.8,-79.75,30.064
29.8,-79.7,30.095
29.8,-79.65,30.043
29.8,-79.6,30.042
29.8,-79.55,30.014
29.8,-79.5,29.904
29.8,-79.45,29.903
29.8,-79.4,29.92
29.8,-79.35,29.837
29.8,-79.3,29.69
29.8,-79.25,29.479
29.8,-79.2,29.445
29.8,-79.15,29.399
29.8,-79.1,29.31
29.8,-79.05,29.221
29.8,-79.0,29.081
29.8,-78.95,28.887
29.8,-78.9,28.701
29.8,-78.85,28.626
29.8,-78.8,28.413
29.8,-78.75,28.549
29.8,-78.7,28.643
29.8,-78.65,28.711
29.8,-78.6,28.711
29.8,-78.55,28.657
29.8,-78.5,28.566
29.8,-78.45,28.561
29.8,-78.4,28.567
29.8,-78.35,28.442
29.8,-78.3,28.382
29.8,-78.25,28.326
29.8,-78.2,28.213
29.8,-78.15,28.156
29.8,-78.1,28.296
29.8,-78.05,28.411
29.8,-78.0,28.511
29.8,-77.95,28.514
29.8,-77.9,28.437
29.8,-77.85,28.39
29.8,-77.8,28.386
29.8,-77.75,28.442
29.8,-77.7,28.477
29.8,-77.65,28.552
29.8,-77.6,28.548
29.8,-77.55,28.502
29.8,-77.5,28.518
29.8,-77.45,28.571
29.8,-77.4,28.55
29.8,-77.35,28.497
29.8,-77.3,28.427
29.8,-77.25,28.467
29.8,-77.2,28.372
29.8,-77.15,28.363
29.8,-77.1,28.422
29.8,-77.05,28.416
29.8,-77.0,28.388
29.8,-76.95,28.346
29.8,-76.9,28.311
29.8,-76.85,28.25
29.8,-76.8,28.174
29.8,-76.75,28.122
29.8,-76.7,28.072
29.8,-76.65,27.967
29.8,-76.6,28.057
29.8,-76.55,28.155
29.8,-76.5,28.139
29.8,-76.45,28.017
29.8,-76.4,28.027
