lat,lon,sst
33.7,-78.84,27.384
33.7,-78.79,27.385
33.7,-78.74,27.39
33.7,-78.69,27.398
33.7,-78.64,27.409
33.7,-78.59,27.422
33.7,-78.54,27.437
33.7,-78.49,27.455
33.7,-78.44,27.474
33.7,-78.39,27.496
33.7,-78.34,27.521
33.7,-78.29,27.548
33.7,-78.24,27.577
33.7,-78.19,27.606
33.7,-78.14,27.636
33.7,-78.09,27.666
33.7,-78.04,27.698
33.7,-77.99,27.731
33.7,-77.94,27.766
33.7,-77.89,27.803
33.7,-77.84,27.842
33.7,-77.79,27.885
33.7,-77.74,27.935
33.7,-77.69,27.994
33.7,-77.64,28.064
33.7,-77.59,28.148
33.7,-77.54,28.248
33.7,-77.49,28.364
33.7,-77.44,28.491
33.7,-77.39,28.622
33.7,-77.34,28.751
33.7,-77.29,28.876
33.7,-77.24,28.994
33.7,-77.19,29.107
33.7,-77.14,29.214
33.7,-77.09,29.318
33.7,-77.04,29.423
33.7,-76.99,29.533
33.7,-76.94,29.645
33.7,-76.89,29.749
33.7,-76.84,29.833
33.7,-76.79,29.882
33.7,-76.74,29.879
33.7,-76.69,29.834
33.7,-76.64,29.82
33.7,-76.59,29.828
33.7,-76.54,29.808
33.7,-76.49,29.747
33.7,-76.44,29.718
33.7,-76.39,29.716
33.7,-76.34,29.678
33.7,-76.29,29.639
33.7,-76.24,29.695
33.7,-76.19,29.785
33.7,-76.14,29.869
33.7,-76.09,29.935
33.7,-76.04,29.998
33.7,-75.99,30.059
33.7,-75.94,30.076
33.7,-75.89,30.013
33.7,-75.84,29.906
33.7,-75.79,29.829
33.7,-75.74,29.795
33.7,-75.69,29.762
33.7,-75.64,29.75
33.7,-75.59,29.761
33.7,-75.54,29.782
33.7,-75.49,29.801
33.7,-75.44,29.827
33.7,-75.39,29.874
33.7,-75.34,29.944
33.7,-75.29,29.991
33.7,-75.24,29.915
33.7,-75.19,29.78
33.7,-75.14,29.667
33.7,-75.09,29.586
33.7,-75.04,29.545
33.7,-74.99,29.515
33.7,-74.94,29.477
33.7,-74.89,29.423
33.7,-74.84,29.394
33.7,-74.79,29.255
33.7,-74.74,28.949
33.7,-74.69,28.756
33.7,-74.64,28.721
33.7,-74.59,28.763
33.7,-74.54,28.865
33.7,-74.49,29.027
33.7,-74.44,29.201
33.7,-74.39,29.433
33.7,-74.34,29.697
33.7,-74.29,29.855
33.7,-74.24,29.907
33.7,-74.19,29.922
33.7,-74.14,29.931
33.7,-74.09,29.919
33.7,-74.04,29.943
33.7,-73.99,29.981
33.7,-73.94,30.027
33.7,-73.89,30.076
33.7,-73.84,30.099
