lat,lon,sst
26.0,-81.97,31.287
26.0,-81.92,31.16
26.0,-81.87,31.26
26.0,-81.82,31.297
26.0,-81.77,31.021
26.0,-80.07,30.164
26.0,-80.02,30.406
26.0,-79.97,30.703
26.0,-79.92,30.857
26.0,-79.87,30.962
26.0,-79.82,30.992
26.0,-79.77,30.839
26.0,-79.72,30.752
26.0,-79.67,30.798
26.0,-79.62,30.817
26.0,-79.57,30.913
26.0,-79.52,30.863
26.0,-79.47,30.676
26.0,-79.42,30.574
26.0,-79.37,30.675
26.0,-79.32,30.815
26.0,-79.27,30.924
26.0,-79.22,30.966
26.0,-79.17,31.146
26.0,-79.12,31.142
26.0,-79.07,31.024
26.0,-79.02,30.88
26.0,-78.97,30.771
26.0,-78.92,30.606
26.0,-78.87,30.393
26.0,-78.82,30.418
26.0,-78.77,30.368
26.0,-78.72,30.32
26.0,-78.67,30.161
26.0,-78.62,30.098
26.0,-78.57,30.028
26.0,-78.52,30.073
26.0,-78.47,30.285
26.0,-78.42,30.356
26.0,-78.37,30.373
26.0,-78.32,30.414
26.0,-78.27,30.528
26.0,-78.22,30.557
26.0,-78.17,30.499
26.0,-78.12,30.5
26.0,-78.07,30.523
26.0,-78.02,30.576
26.0,-77.97,30.606
26.0,-77.92,30.654
26.0,-77.87,30.821
26.0,-77.82,30.421
26.0,-77.77,29.931
26.0,-77.72,30.101
26.0,-77.67,30.612
26.0,-77.62,30.641
26.0,-77.57,30.546
26.0,-77.52,30.875
26.0,-77.47,31.223
26.0,-77.42,31.21
26.0,-77.37,30.952
26.0,-77.17,30.607
26.0,-77.12,30.701
26.0,-77.07,30.866
26.0,-77.02,31.012
26.0,-76.97,31.074
26.0,-76.92,31.053
26.0,-76.87,30.901
26.0,-76.82,30.739
26.0,-76.77,30.625
26.0,-76.72,30.407
26.0,-76.67,30.286
26.0,-76.62,30.483
26.0,-76.57,30.684
26.0,-76.52,30.875
26.0,-76.47,30.972
26.0,-76.42,30.981
26.0,-76.37,30.901
26.0,-76.32,30.736
26.0,-76.27,30.602
26.0,-76.22,30.545
26.0,-76.17,30.551
26.05,-81.97,31.27
26.05,-81.92,31.227
26.05,-81.87,31.051
26.05,-81.82,30.997
26.05,-80.07,30.171
26.05,-80.02,30.225
26.05,-79.97,30.374
