lat,lon,sst
22.15,-83.16,30.46
22.15,-83.11,30.367
22.15,-83.06,30.181
22.15,-83.01,30.001
22.15,-82.96,29.996
22.15,-82.91,30.168
22.15,-82.86,30.251
22.15,-82.81,30.296
22.15,-82.76,30.226
22.15,-82.71,30.239
22.15,-82.66,30.42
22.15,-82.61,30.384
22.15,-82.56,30.428
22.15,-82.51,30.311
22.15,-82.46,30.196
22.15,-82.41,30.263
22.15,-82.36,30.254
22.15,-82.31,30.17
22.15,-82.26,29.999
22.15,-82.21,29.867
22.15,-82.16,29.789
22.15,-82.11,29.742
22.15,-82.06,29.712
22.15,-82.01,29.69
22.15,-81.96,29.677
22.15,-81.91,29.654
22.15,-81.86,29.611
22.15,-81.81,29.582
22.15,-81.76,29.564
22.15,-81.71,29.551
22.15,-81.66,29.553
22.15,-81.61,29.565
22.15,-81.56,29.58
22.15,-81.51,29.588
22.15,-81.46,29.587
22.15,-81.41,29.606
22.15,-81.16,29.942
22.15,-78.21,30.077
22.15,-78.16,30.14
22.15,-78.11,30.151
22.15,-78.06,30.09
22.15,-78.01,30.107
22.15,-77.81,30.227
22.15,-77.76,30.253
22.15,-77.71,30.281
22.15,-77.66,30.311
22.15,-77.61,30.342
22.15,-77.56,30.37
22.15,-77.51,30.398
22.15,-77.46,30.425
22.15,-77.41,30.452
22.15,-77.36,30.479
22.15,-77.31,30.507
22.15,-77.26,30.535
22.15,-77.21,30.561
22.15,-77.16,30.583
22.15,-77.11,30.602
22.15,-77.06,30.619
22.15,-77.01,30.633
22.15,-76.96,30.644
22.15,-76.91,30.653
22.15,-76.86,30.661
22.15,-76.81,30.669
22.15,-76.76,30.676
22.15,-76.71,30.683
22.15,-76.66,30.689
22.15,-76.61,30.695
22.15,-76.56,30.702
22.15,-76.51,30.71
22.15,-76.46,30.722
22.15,-76.41,30.735
22.15,-76.36,30.748
22.15,-76.31,30.757
22.15,-76.26,30.758
22.15,-76.21,30.748
22.15,-76.16,30.72
22.2,-83.16,30.56
22.2,-83.11,30.477
22.2,-83.06,30.316
22.2,-83.01,30.109
22.2,-82.96,30.028
22.2,-82.91,30.074
22.2,-82.86,30.231
22.2,-82.81,30.276
22.2,-82.76,30.151
22.2,-82.71,30.102
22.2,-82.66,30.069
22.2,-82.61,30.27
22.2,-82.56,30.45
22.2,-82.51,30.288
22.2,-82.46,30.266
22.2,-82.41,30.204
22.2,-82.36,30.171
22.2,-82.31,30.039
22.2,-82.26,29.905
22.2,-82.21,29.807
22.2,-82.16,29.759
22.2,-82.11,29.721
22.2,-82.06,29.694
22.2,-82.01,29.668
22.2,-81.96,29.634
22.2,-81.91,29.593
22.2,-81.86,29.561
22.2,-81.16,29.852
22.2,-78.31,30.053
22.2,-78.26,30.078
22.2,-78.21,30.056
22.2,-78.16,30.11
22.2,-78.11,30.144
22.2,-78.06,30.132
22.2,-77.86,30.217
22.2,-77.81,30.243
22.2,-77.76,30.271
22.2,-77.71,30.301
22.2,-77.66,30.331
22.2,-77.61,30.363
22.2,-77.56,30.394
22.2,-77.51,30.421
22.2,-77.46,30.445
22.2,-77.41,30.472
22.2,-77.36,30.503
22.2,-77.31,30.535
22.2,-77.26,30.568
22.2,-77.21,30.598
22.2,-77.16,30.623
22.2,-77.11,30.642
22.2,-77.06,30.658
22.2,-77.01,30.67
22.2,-76.96,30.679
22.2,-76.91,30.687
22.2,-76.86,30.693
22.2,-76.81,30.699
22.2,-76.76,30.704
22.2,-76.71,30.709
22.2,-76.66,30.712
22.2,-76.61,30.715
22.2,-76.56,30.718
22.2,-76.51,30.724
22.2,-76.46,30.732
22.2,-76.41,30.742
22.2,-76.36,30.752
22.2,-76.31,30.76
22.2,-76.26,30.761
22.2,-76.21,30.751
22.2,-76.16,30.722
22.25,-83.16,30.589
22.25,-83.11,30.521
22.25,-83.06,30.399
22.25,-83.01,30.257
22.25,-82.96,30.187
22.25,-82.91,30.321
22.25,-82.86,30.392
22.25,-82.81,30.305
22.25,-82.76,30.21
22.25,-82.71,30.124
22.25,-82.66,30.12
22.25,-82.61,30.263
22.25,-82.56,30.26
22.25,-82.51,30.127
22.25,-82.46,30.038
22.25,-82.41,30.029
22.25,-82.36,30.025
22.25,-82.31,29.873
22.25,-82.26,29.773
22.25,-82.21,29.777
22.25,-82.16,29.732
22.25,-82.11,29.681
22.25,-82.06,29.684
22.25,-82.01,29.671
22.25,-81.96,29.616
22.25,-81.91,29.589
22.25,-78.41,30.016
22.25,-78.36,30.05
22.25,-78.31,30.096
22.25,-78.26,30.109
22.25,-78.21,30.053
22.25,-78.16,30.064
22.25,-78.11,30.239
22.25,-78.06,30.159
22.25,-78.01,30.142
22.25,-77.96,30.179
22.25,-77.91,30.22
22.25,-77.86,30.251
22.25,-77.81,30.271
22.25,-77.76,30.29
22.25,-77.71,30.317
22.25,-77.66,30.354
22.25,-77.61,30.395
22.25,-77.56,30.43
22.25,-77.51,30.455
22.25,-77.46,30.474
22.25,-77.41,30.498
22.25,-77.36,30.53
22.25,-77.31,30.567
22.25,-77.26,30.605
22.25,-77.21,30.64
22.25,-77.16,30.668
22.25,-77.11,30.687
22.25,-77.06,30.7
22.25,-77.01,30.709
22.25,-76.96,30.716
22.25,-76.91,30.721
22.25,-76.86,30.726
22.25,-76.81,30.729
22.25,-76.76,30.732
22.25,-76.71,30.734
22.25,-76.66,30.734
22.25,-76.61,30.733
22.25,-76.56,30.732
22.25,-76.51,30.734
22.25,-76.46,30.738
22.25,-76.41,30.746
22.25,-76.36,30.754
22.25,-76.31,30.759
22.25,-76.26,30.759
22.25,-76.21,30.745
22.25,-76.16,30.711
22.3,-83.16,30.521
22.3,-83.11,30.45
22.3,-83.06,30.347
22.3,-83.01,30.222
22.3,-82.96,30.113
22.3,-82.91,30.227
22.3,-82.86,30.329
22.3,-82.81,30.296
22.3,-82.76,30.218
22.3,-82.71,30.127
22.3,-82.66,30.053
22.3,-82.61,29.82
22.3,-82.56,29.955
22.3,-82.51,29.894
22.3,-82.46,29.827
22.3,-82.41,29.916
22.3,-82.36,29.849
22.3,-82.31,29.758
22.3,-82.26,29.624
22.3,-82.21,29.674
22.3,-82.16,29.618
22.3,-82.11,29.614
22.3,-82.06,29.775
22.3,-82.01,29.746
22.3,-78.51,29.968
22.3,-78.46,29.991
22.3,-78.41,30.021
22.3,-78.36,30.052
22.3,-78.31,30.071
22.3,-78.26,30.059
22.3,-78.21,30.065
22.3,-78.16,30.109
22.3,-78.11,30.217
22.3,-78.01,30.173
22.3,-77.96,30.236
22.3,-77.91,30.282
22.3,-77.81,30.312
22.3,-77.76,30.321
22.3,-77.71,30.342
22.3,-77.66,30.391
22.3,-77.61,30.456
22.3,-77.56,30.494
22.3,-77.51,30.505
22.3,-77.46,30.509
22.3,-77.41,30.528
22.3,-77.36,30.562
22.3,-77.31,30.606
22.3,-77.26,30.651
22.3,-77.21,30.689
22.3,-77.16,30.717
22.3,-77.11,30.735
22.3,-77.06,30.745
22.3,-77.01,30.751
22.3,-76.96,30.754
22.3,-76.91,30.756
22.3,-76.86,30.758
22.3,-76.81,30.759
22.3,-76.76,30.759
22.3,-76.71,30.757
22.3,-76.66,30.754
22.3,-76.61,30.75
22.3,-76.56,30.746
22.3,-76.51,30.743
22.3,-76.46,30.745
22.3,-76.41,30.75
22.3,-76.36,30.755
22.3,-76.31,30.76
22.3,-76.26,30.758
22.3,-76.21,30.741
22.3,-76.16,30.699
22.35,-83.11,30.304
22.35,-83.06,30.18
22.35,-83.01,30.146
22.35,-82.96,30.01
22.35,-82.91,30.116
22.35,-82.86,30.225
22.35,-82.81,30.238
22.35,-82.76,30.184
22.35,-82.71,30.095
22.35,-82.66,29.986
22.35,-82.61,29.876
22.35,-82.56,29.836
22.35,-82.51,29.77
22.35,-82.46,29.716
22.35,-82.41,29.738
22.35,-82.36,29.826
22.35,-82.31,29.85
22.35,-82.26,29.665
22.35,-82.21,29.586
22.35,-82.16,29.537
22.35,-82.11,29.699
22.35,-78.76,29.873
22.35,-78.61,29.935
22.35,-78.56,29.956
22.35,-78.51,29.973
22.35,-78.46,29.996
22.35,-78.41,30.048
22.35,-78.36,30.072
22.35,-78.31,30.064
22.35,-78.26,30.047
22.35,-78.21,30.107
22.35,-78.06,30.361
22.35,-78.01,30.284
22.35,-77.96,30.382
22.35,-77.91,30.386
22.35,-77.86,30.369
22.35,-77.81,30.384
22.35,-77.76,30.381
22.35,-77.71,30.372
22.35,-77.66,30.484
22.35,-77.61,30.58
22.35,-77.56,30.603
22.35,-77.51,30.564
22.35,-77.46,30.526
22.35,-77.41,30.553
22.35,-77.36,30.603
22.35,-77.31,30.66
22.35,-77.26,30.71
22.35,-77.21,30.748
22.35,-77.16,30.773
22.35,-77.11,30.787
22.35,-77.06,30.792
22.35,-77.01,30.793
22.35,-76.96,30.793
22.35,-76.91,30.792
22.35,-76.86,30.79
22.35,-76.81,30.788
22.35,-76.76,30.785
22.35,-76.71,30.78
22.35,-76.66,30.774
22.35,-76.61,30.767
22.35,-76.56,30.761
22.35,-76.51,30.756
22.35,-76.46,30.755
22.35,-76.41,30.757
22.35,-76.36,30.76
22.35,-76.31,30.764
22.35,-76.26,30.764
22.35,-76.21,30.745
22.35,-76.16,30.693
22.4,-83.11,30.177
22.4,-83.06,30.072
22.4,-83.01,30.094
22.4,-82.96,30.183
22.4,-82.91,30.168
22.4,-82.86,30.169
22.4,-82.81,30.164
22.4,-82.76,30.127
22.4,-82.71,30.064
22.4,-82.66,29.984
22.4,-82.61,29.905
22.4,-82.56,29.838
22.4,-82.51,29.778
22.4,-82.46,29.739
22.4,-82.41,29.741
22.4,-82.36,29.809
22.4,-82.31,29.688
22.4,-82.26,29.641
22.4,-82.21,29.604
22.4,-79.26,29.784
22.4,-79.21,29.782
22.4,-79.16,29.784
22.4,-79.11,29.789
22.4,-79.06,29.796
22.4,-78.91,29.822
22.4,-78.86,29.832
22.4,-78.81,29.843
22.4,-78.76,29.857
22.4,-78.71,29.876
22.4,-78.66,29.902
22.4,-78.61,29.934
22.4,-78.56,29.971
22.4,-78.51,30.007
22.4,-78.46,30.069
22.4,-78.41,30.131
22.4,-78.36,30.129
22.4,-78.31,30.12
22.4,-78.26,30.128
22.4,-78.06,30.599
22.4,-78.01,30.683
22.4,-77.96,30.649
22.4,-77.91,30.481
22.4,-77.86,30.418
22.4,-77.81,30.46
22.4,-77.76,30.514
22.4,-77.71,30.671
22.4,-77.66,30.702
22.4,-77.61,30.781
22.4,-77.56,30.783
22.4,-77.51,30.671
22.4,-77.46,30.524
22.4,-77.41,30.6
22.4,-77.36,30.681
22.4,-77.31,30.734
22.4,-77.26,30.786
22.4,-77.21,30.816
22.4,-77.16,30.833
22.4,-77.11,30.841
22.4,-77.06,30.84
22.4,-77.01,30.836
22.4,-76.96,30.832
22.4,-76.91,30.827
22.4,-76.86,30.822
22.4,-76.81,30.816
22.4,-76.76,30.81
22.4,-76.71,30.802
22.4,-76.66,30.794
22.4,-76.61,30.785
22.4,-76.56,30.778
22.4,-76.51,30.772
22.4,-76.46,30.768
22.4,-76.41,30.767
22.4,-76.36,30.769
22.4,-76.31,30.775
22.4,-76.26,30.778
22.4,-76.21,30.761
22.4,-76.16,30.7
22.45,-83.06,29.926
22.45,-83.01,29.831
22.45,-82.96,29.912
22.45,-82.91,30.076
22.45,-82.86,30.1
22.45,-82.81,30.1
22.45,-82.76,30.077
22.45,-82.71,30.036
22.45,-82.66,29.979
22.45,-82.61,29.917
22.45,-82.56,29.859
22.45,-82.51,29.809
22.45,-82.46,29.773
22.45,-82.41,29.76
22.45,-82.36,29.747
22.45,-82.31,29.704
22.45,-82.26,29.663
22.45,-82.21,29.637
22.45,-82.16,29.63
22.45,-82.11,29.645
22.45,-82.06,29.661
22.45,-82.01,29.663
22.45,-81.96,29.655
22.45,-81.91,29.643
22.45,-81.86,29.628
22.45,-81.81,29.615
22.45,-79.36,29.769
22.45,-79.31,29.759
22.45,-79.26,29.754
22.45,-79.21,29.754
22.45,-79.16,29.759
22.45,-79.11,29.767
22.45,-79.06,29.777
22.45,-79.01,29.788
22.45,-78.96,29.799
22.45,-78.91,29.81
22.45,-78.86,29.823
22.45,-78.81,29.838
22.45,-78.76,29.85
22.45,-78.71,29.863
22.45,-78.66,29.886
22.45,-78.61,29.926
22.45,-78.56,29.992
22.45,-78.51,30.069
22.45,-78.46,30.201
