lat,lon,sst
37.26,-76.51,25.994
37.26,-76.41,26.143
37.26,-76.36,26.208
37.26,-76.31,26.269
37.26,-76.26,26.323
37.26,-76.21,26.368
37.26,-76.16,26.401
37.26,-76.11,26.42
37.26,-76.06,26.426
37.26,-75.91,26.411
37.26,-75.81,26.412
37.26,-75.76,26.301
37.26,-75.71,26.039
37.26,-75.66,25.754
37.26,-75.61,25.393
37.26,-75.56,25.323
37.26,-75.51,25.293
37.26,-75.46,25.291
37.26,-75.41,25.232
37.26,-75.36,25.139
37.26,-75.31,25.104
37.26,-75.26,25.154
37.26,-75.21,25.22
37.26,-75.16,25.268
37.26,-75.11,25.323
37.26,-75.06,25.424
37.26,-75.01,25.445
37.26,-74.96,25.705
37.26,-74.91,26.013
37.26,-74.86,26.056
37.26,-74.81,25.943
37.26,-74.76,25.852
37.26,-74.71,25.753
37.26,-74.66,25.671
37.26,-74.61,25.555
37.26,-74.56,25.473
37.26,-74.51,25.402
37.26,-74.46,25.329
37.26,-74.41,25.263
37.26,-74.36,25.214
37.26,-74.31,25.223
37.26,-74.26,25.26
37.26,-74.21,25.373
37.26,-74.16,25.555
37.26,-74.11,25.685
37.26,-74.06,25.689
37.26,-74.01,25.655
37.26,-73.96,25.615
37.26,-73.91,25.557
37.26,-73.86,25.525
37.26,-73.81,25.503
37.26,-73.76,25.51
37.26,-73.71,25.52
37.26,-73.66,25.588
37.26,-73.61,25.759
37.26,-73.56,25.847
37.26,-73.51,25.885
37.26,-73.46,25.845
37.26,-73.41,25.81
37.26,-73.36,25.76
37.26,-73.31,25.76
37.26,-73.26,25.803
37.26,-73.21,25.811
37.26,-73.16,25.846
37.26,-73.11,25.861
37.26,-73.06,25.859
37.26,-73.01,25.891
37.26,-72.96,26.018
37.26,-72.91,26.224
37.26,-72.86,26.413
37.26,-72.81,26.588
37.26,-72.76,26.718
37.26,-72.71,26.805
37.26,-72.66,26.851
37.26,-72.61,26.815
37.26,-72.56,26.718
37.26,-72.51,26.692
37.26,-72.46,26.717
37.26,-72.41,26.754
37.26,-72.36,26.68
37.26,-72.31,26.663
37.26,-72.26,26.707
37.26,-72.21,26.803
37.26,-72.16,26.924
37.26,-72.11,27.125
37.26,-72.06,27.496
37.26,-72.01,28.024
37.26,-71.96,28.158
37.26,-71.91,28.206
37.26,-71.86,28.187
37.26,-71.81,28.165
37.26,-71.76,28.176
37.26,-71.71,28.293
37.26,-71.66,28.269
37.26,-71.61,28.286
37.26,-71.56,28.323
37.26,-71.51,28.476
37.26,-71.46,28.587
37.26,-71.41,28.571
37.26,-71.36,28.451
37.26,-71.31,28.246
