lat,lon,sst
30.25,-77.37,29.19
30.23,-77.37,29.19
30.19,-77.49,29.22
30.17,-77.43,29.21
30.15,-77.49,29.24
30.15,-77.43,29.31
30.15,-77.41,29.33
30.15,-77.17,29.31
30.15,-77.15,29.26
30.15,-77.13,29.19
30.15,-77.11,29.19
30.13,-77.45,29.35
30.13,-77.43,29.36
30.13,-77.41,29.33
30.13,-77.25,29.47
30.13,-77.19,29.29
30.13,-77.17,29.34
30.13,-77.15,29.35
30.13,-77.13,29.26
30.13,-77.11,29.19
30.13,-75.25,28.68
30.13,-75.23,28.7
30.13,-75.21,28.69
30.11,-77.25,29.49
30.11,-77.19,29.28
30.11,-77.17,29.3
30.11,-77.15,29.26
30.11,-77.13,29.26
30.11,-75.25,28.68
30.11,-75.23,28.69
30.11,-75.21,28.68
30.09,-77.39,29.47
30.09,-77.37,29.47
30.09,-75.63,29.05
30.09,-75.61,29.0
30.09,-75.59,28.91
30.09,-75.25,28.7
30.09,-75.23,28.69
30.09,-75.21,28.67
30.07,-75.69,29.22
30.07,-75.67,29.2
30.07,-75.65,28.99
30.07,-75.63,29.02
30.07,-75.61,28.91
30.07,-75.59,28.92
30.07,-75.57,28.9
30.07,-75.45,28.88
30.07,-75.43,28.88
30.07,-75.41,28.89
30.07,-75.39,28.87
30.05,-77.31,29.42
30.05,-77.29,29.4
30.05,-77.27,29.38
30.05,-77.25,29.34
30.05,-77.23,29.3
30.05,-77.21,29.3
30.05,-75.77,28.94
30.05,-75.69,29.17
30.05,-75.67,29.17
30.05,-75.65,28.93
30.05,-75.63,28.99
30.05,-75.61,28.95
30.05,-75.59,28.93
30.05,-75.55,28.99
30.05,-75.53,28.96
30.05,-75.51,28.9
30.05,-75.49,28.92
30.05,-75.45,28.83
30.05,-75.43,28.84
30.05,-75.41,28.84
30.05,-75.39,28.85
30.05,-75.37,28.84
30.05,-75.35,28.86
30.03,-77.31,29.39
30.03,-77.29,29.35
30.03,-77.27,29.35
30.03,-75.67,28.91
30.03,-75.63,28.92
30.03,-75.61,28.95
30.03,-75.57,29.06
30.03,-75.55,29.02
30.03,-75.53,28.99
30.03,-75.51,28.94
30.03,-75.49,28.91
30.03,-75.47,28.89
30.03,-75.45,28.82
30.03,-75.43,28.76
30.03,-75.41,28.79
30.03,-75.39,28.81
30.03,-75.37,28.78
30.03,-75.35,28.74
30.03,-75.33,28.73
30.03,-75.31,28.75
30.03,-75.29,28.71
30.03,-75.27,28.68
30.01,-77.37,29.21
30.01,-77.31,29.41
30.01,-77.29,29.4
30.01,-75.57,29.08
30.01,-75.55,29.09
30.01,-75.53,29.07
30.01,-75.51,28.98
30.01,-75.49,28.92
30.01,-75.37,28.76
30.01,-75.35,28.76
30.01,-75.33,28.75
30.01,-75.31,28.77
30.01,-75.29,28.73
30.01,-75.27,28.73
29.99,-77.03,29.29
29.99,-76.99,29.2
29.99,-75.55,29.01
29.99,-75.53,28.98
29.99,-75.51,28.96
29.99,-75.49,28.96
29.99,-75.35,28.84
29.99,-75.33,28.81
29.99,-75.31,28.78
29.99,-75.29,28.74
29.97,-76.99,29.2
29.97,-76.19,29.0
29.97,-75.43,29.06
29.97,-75.41,29.05
29.97,-75.35,28.83
29.97,-75.33,28.77
29.97,-75.31,28.78
29.97,-75.29,28.79
29.97,-75.21,28.8
29.95,-76.21,28.83
29.95,-76.19,28.88
29.95,-76.17,28.91
29.95,-75.93,29.13
29.95,-75.37,28.81
29.95,-75.35,28.86
29.95,-75.25,28.79
29.95,-75.23,28.81
29.95,-75.21,28.8
29.93,-76.23,28.8
29.93,-76.21,28.8
29.93,-76.19,28.79
29.93,-76.17,28.87
29.93,-76.15,28.9
29.93,-75.93,29.15
29.93,-75.91,29.14
29.93,-75.37,28.89
29.93,-75.35,28.87
29.93,-75.33,28.8
