lat,lon,sst
30.49,-81.41,30.83
30.49,-81.39,30.73
30.49,-81.37,30.55
30.49,-81.35,30.59
30.49,-81.33,30.55
30.49,-81.31,30.53
30.49,-81.29,30.54
30.49,-81.27,30.46
30.49,-81.25,30.44
30.49,-81.23,30.4
30.49,-81.21,30.3
30.49,-81.19,30.32
30.49,-81.17,30.42
30.49,-81.15,30.45
30.49,-81.13,30.42
30.49,-81.11,30.4
30.49,-81.09,30.35
30.49,-81.07,30.27
30.49,-81.05,30.06
30.49,-81.03,29.94
30.49,-81.01,29.82
30.49,-80.99,29.59
30.49,-80.97,29.57
30.49,-80.95,29.49
30.49,-80.93,29.35
30.49,-80.91,29.35
30.49,-80.89,29.32
30.49,-80.87,29.3
30.49,-80.85,29.28
30.49,-80.83,29.24
30.49,-80.81,29.23
30.49,-80.79,29.24
30.49,-80.77,29.25
30.49,-80.75,29.21
30.49,-80.73,29.2
30.49,-80.71,29.2
30.49,-80.69,29.18
30.49,-80.67,29.19
30.49,-80.65,29.17
30.49,-80.63,29.19
30.49,-80.61,29.19
30.49,-80.59,29.19
30.49,-80.57,29.17
30.49,-80.55,29.17
30.49,-80.53,29.14
30.49,-80.51,29.1
30.49,-80.49,29.06
30.49,-80.47,29.03
30.49,-80.45,29.0
30.49,-80.43,28.97
30.49,-80.41,28.94
30.49,-80.39,28.89
30.49,-80.37,28.81
30.49,-80.35,28.81
30.49,-80.33,28.78
30.49,-80.31,28.77
30.49,-80.29,28.78
30.49,-80.27,29.01
30.49,-80.25,29.15
30.49,-80.23,29.25
30.49,-80.21,29.32
30.49,-80.19,29.23
30.49,-80.17,29.46
30.49,-80.15,29.67
30.49,-80.13,29.86
30.49,-80.11,29.97
30.49,-80.09,30.0
30.49,-80.07,30.05
30.49,-80.05,30.13
30.49,-80.03,30.19
30.49,-80.01,30.22
30.49,-79.99,30.27
30.49,-79.97,30.3
30.49,-79.95,30.32
30.49,-79.93,30.31
30.49,-79.91,30.31
30.49,-79.89,30.31
30.49,-79.87,30.27
30.49,-79.85,30.22
30.49,-79.83,30.2
30.49,-79.81,30.19
30.49,-79.79,30.17
30.49,-79.77,30.12
30.49,-79.75,30.08
30.49,-79.73,30.05
30.49,-79.71,30.06
30.49,-79.69,30.07
30.49,-79.67,30.06
30.49,-79.65,30.04
30.49,-79.63,29.99
30.49,-79.61,29.94
30.49,-79.59,29.87
30.49,-79.57,29.86
30.49,-79.55,29.87
30.49,-79.53,29.87
30.49,-79.51,29.88
30.49,-79.49,29.88
30.49,-79.47,29.89
30.49,-79.45,29.86
30.49,-79.43,29.88
30.49,-79.41,29.89
30.49,-79.39,29.88
30.49,-79.37,29.84
30.49,-79.35,29.85
30.49,-79.33,29.84
30.49,-79.31,29.84
30.49,-79.29,29.85
30.49,-79.27,29.83
30.49,-79.25,29.8
30.49,-79.23,29.79
30.49,-79.21,29.84
30.49,-79.19,29.84
30.49,-79.17,29.81
30.49,-79.15,29.76
30.49,-79.13,29.73
30.49,-79.11,29.71
30.49,-79.09,29.66
30.49,-79.07,29.63
30.49,-79.05,29.58
30.49,-79.03,29.49
30.49,-79.01,29.47
30.49,-78.99,29.45
30.49,-78.97,29.42
30.49,-78.95,29.41
30.49,-78.93,29.45
30.49,-78.91,29.45
30.49,-78.89,29.44
30.49,-78.87,29.4
30.49,-78.85,29.42
30.49,-78.83,29.43
30.49,-78.81,29.46
30.49,-78.79,29.41
30.49,-78.77,29.37
30.49,-78.75,29.37
30.49,-78.73,29.37
30.49,-78.71,29.39
30.49,-78.69,29.43
30.49,-78.67,29.45
30.49,-78.65,29.5
30.49,-78.63,29.54
30.49,-78.61,29.53
30.49,-78.59,29.53
30.49,-78.57,29.55
30.49,-78.55,29.55
30.49,-78.53,29.57
30.49,-78.51,29.63
30.49,-78.49,29.61
30.49,-78.47,29.58
30.49,-78.45,29.59
30.49,-78.43,29.59
30.49,-78.41,29.59
30.49,-78.39,29.63
30.49,-78.37,29.64
30.49,-78.35,29.61
30.49,-78.33,29.58
30.49,-78.31,29.56
30.49,-78.29,29.54
30.49,-78.27,29.48
30.49,-78.25,29.45
30.49,-78.23,29.39
30.49,-78.21,29.35
30.49,-78.19,29.33
30.49,-78.17,29.37
30.49,-78.15,29.48
30.49,-78.13,29.52
30.49,-78.11,29.51
30.49,-78.09,29.5
30.49,-78.07,29.47
30.49,-78.05,29.46
30.49,-78.03,29.49
30.49,-78.01,29.5
30.49,-77.99,29.48
30.49,-77.97,29.51
30.49,-77.95,29.53
30.49,-77.93,29.54
30.49,-77.91,29.49
30.49,-77.89,29.46
30.49,-77.87,29.45
30.49,-77.85,29.46
30.49,-77.83,29.45
30.49,-77.81,29.44
30.49,-77.79,29.38
30.49,-77.77,29.32
30.49,-77.75,29.28
30.49,-77.73,29.26
30.49,-77.71,29.27
30.49,-77.69,29.28
30.49,-77.67,29.29
30.49,-77.65,29.3
30.49,-77.63,29.3
30.49,-77.61,29.31
30.49,-77.59,29.34
30.49,-77.57,29.31
30.49,-77.55,29.28
30.49,-77.53,29.28
30.49,-77.51,29.28
30.49,-77.49,29.4
30.49,-77.47,29.4
30.49,-77.45,29.4
30.49,-77.43,29.43
30.49,-77.41,29.44
30.49,-77.39,29.41
30.49,-77.37,29.46
30.49,-77.35,29.48
30.49,-77.33,29.46
30.49,-77.31,29.46
30.49,-77.29,29.46
30.49,-77.27,29.43
30.47,-81.41,30.79
30.47,-81.39,30.65
30.47,-81.37,30.57
30.47,-81.35,30.6
30.47,-81.33,30.6
30.47,-81.31,30.59
30.47,-81.29,30.58
30.47,-81.27,30.49
30.47,-81.25,30.42
30.47,-81.23,30.35
30.47,-81.21,30.31
30.47,-81.19,30.29
30.47,-81.17,30.3
30.47,-81.15,30.35
30.47,-81.13,30.33
30.47,-81.11,30.23
30.47,-81.09,30.2
30.47,-81.07,30.1
30.47,-81.05,30.06
30.47,-81.03,30.0
30.47,-81.01,29.76
30.47,-80.99,29.61
30.47,-80.97,29.67
30.47,-80.95,29.62
30.47,-80.93,29.43
30.47,-80.91,29.38
30.47,-80.89,29.32
30.47,-80.87,29.28
30.47,-80.85,29.29
30.47,-80.83,29.3
30.47,-80.81,29.31
30.47,-80.79,29.33
30.47,-80.77,29.28
30.47,-80.75,29.22
30.47,-80.73,29.22
30.47,-80.71,29.22
30.47,-80.69,29.22
30.47,-80.67,29.23
30.47,-80.65,29.25
30.47,-80.63,29.25
30.47,-80.61,29.26
30.47,-80.59,29.24
30.47,-80.57,29.27
30.47,-80.55,29.27
30.47,-80.53,29.2
30.47,-80.51,29.17
30.47,-80.49,29.11
30.47,-80.47,29.07
30.47,-80.45,29.02
30.47,-80.43,28.98
30.47,-80.41,28.94
30.47,-80.39,28.87
30.47,-80.37,28.84
30.47,-80.35,28.88
30.47,-80.33,28.85
30.47,-80.31,28.78
30.47,-80.29,28.91
30.47,-80.27,29.07
30.47,-80.25,29.14
30.47,-80.23,29.22
30.47,-80.21,29.21
30.47,-80.19,29.14
30.47,-80.17,29.53
30.47,-80.15,29.8
30.47,-80.13,29.97
30.47,-80.11,30.01
30.47,-80.09,30.08
30.47,-80.07,30.2
30.47,-80.05,30.21
30.47,-80.03,30.23
30.47,-80.01,30.24
30.47,-79.99,30.27
30.47,-79.97,30.3
30.47,-79.95,30.28
30.47,-79.93,30.25
30.47,-79.91,30.26
30.47,-79.89,30.26
30.47,-79.87,30.24
30.47,-79.85,30.23
30.47,-79.83,30.23
30.47,-79.81,30.19
30.47,-79.79,30.16
30.47,-79.77,30.14
30.47,-79.75,30.11
30.47,-79.73,30.09
30.47,-79.71,30.11
30.47,-79.69,30.09
30.47,-79.67,30.07
30.47,-79.65,30.07
30.47,-79.63,30.0
30.47,-79.61,29.94
30.47,-79.59,29.91
30.47,-79.57,29.89
30.47,-79.55,29.86
30.47,-79.53,29.9
30.47,-79.51,29.9
30.47,-79.49,29.9
30.47,-79.47,29.9
30.47,-79.45,29.88
30.47,-79.43,29.88
30.47,-79.41,29.87
30.47,-79.39,29.83
30.47,-79.37,29.8
30.47,-79.35,29.77
30.47,-79.33,29.75
30.47,-79.31,29.79
30.47,-79.29,29.82
30.47,-79.27,29.81
30.47,-79.25,29.8
30.47,-79.23,29.83
30.47,-79.21,29.84
30.47,-79.19,29.83
30.47,-79.17,29.81
30.47,-79.15,29.8
30.47,-79.13,29.79
30.47,-79.11,29.78
30.47,-79.09,29.75
30.47,-79.07,29.69
30.47,-79.05,29.49
30.47,-79.03,29.43
30.47,-79.01,29.4
30.47,-78.99,29.4
30.47,-78.97,29.41
30.47,-78.95,29.43
30.47,-78.93,29.43
30.47,-78.91,29.42
30.47,-78.89,29.41
30.47,-78.87,29.4
30.47,-78.85,29.45
30.47,-78.83,29.45
30.47,-78.81,29.45
30.47,-78.79,29.41
30.47,-78.77,29.38
30.47,-78.75,29.34
30.47,-78.73,29.36
30.47,-78.71,29.38
30.47,-78.69,29.39
30.47,-78.67,29.39
30.47,-78.65,29.47
30.47,-78.63,29.54
30.47,-78.61,29.52
30.47,-78.59,29.52
30.47,-78.57,29.55
30.47,-78.55,29.57
30.47,-78.53,29.57
30.47,-78.51,29.6
30.47,-78.49,29.61
30.47,-78.47,29.61
30.47,-78.45,29.6
30.47,-78.43,29.61
30.47,-78.41,29.64
30.47,-78.39,29.64
30.47,-78.37,29.62
