lat,lon,sst
30.49,-81.41,28.74
30.49,-81.39,28.73
30.49,-81.19,28.74
30.49,-80.99,28.32
30.49,-80.97,28.3
30.49,-80.95,28.29
30.49,-80.93,28.25
30.49,-80.91,28.27
30.49,-80.89,28.28
30.49,-80.87,28.26
30.49,-79.91,30.3
30.49,-79.89,30.25
30.49,-79.87,30.13
30.49,-79.29,29.5
30.49,-79.27,29.45
30.49,-79.25,29.45
30.49,-79.23,29.45
30.49,-79.21,29.41
30.49,-79.19,29.36
30.49,-78.81,29.33
30.49,-78.79,29.33
30.49,-78.77,29.31
30.49,-78.75,29.28
30.49,-78.73,29.13
30.49,-78.71,29.2
30.49,-78.69,29.35
30.49,-78.67,29.43
30.49,-78.63,29.3
30.49,-78.61,29.32
30.49,-76.21,28.99
30.49,-76.19,29.03
30.49,-76.17,29.08
30.49,-76.15,29.18
30.47,-81.41,28.71
30.47,-81.39,28.72
30.47,-81.37,28.74
30.47,-81.35,28.78
30.47,-81.33,28.82
30.47,-81.29,28.83
30.47,-81.27,28.82
30.47,-81.23,28.74
30.47,-81.21,28.7
30.47,-81.19,28.64
30.47,-81.17,28.67
30.47,-81.15,28.66
30.47,-81.13,28.54
30.47,-81.11,28.56
30.47,-80.95,28.36
30.47,-80.93,28.32
30.47,-80.91,28.34
30.47,-80.89,28.3
30.47,-80.87,28.26
30.47,-79.95,30.33
30.47,-79.93,30.34
30.47,-79.91,30.31
30.47,-79.89,30.27
30.47,-79.87,30.2
30.47,-79.27,29.49
30.47,-79.25,29.48
30.47,-79.23,29.48
30.47,-79.21,29.43
30.47,-79.19,29.34
30.47,-79.17,29.33
30.47,-79.15,29.3
30.47,-78.89,29.39
30.47,-78.87,29.34
30.47,-78.75,29.25
30.47,-78.71,29.45
30.47,-78.69,29.58
30.47,-78.67,29.59
30.47,-78.49,29.36
30.47,-78.47,29.36
30.47,-78.45,29.44
30.47,-77.45,28.77
30.47,-77.43,28.76
30.47,-76.25,28.96
30.45,-81.41,28.73
30.45,-81.39,28.76
30.45,-81.35,28.83
30.45,-81.33,28.84
30.45,-81.23,28.74
30.45,-81.21,28.75
30.45,-81.19,28.66
30.45,-81.17,28.67
30.45,-81.15,28.64
30.45,-81.13,28.53
30.45,-81.11,28.53
30.45,-80.95,28.49
30.45,-80.93,28.44
30.45,-80.91,28.36
30.45,-80.89,28.29
30.45,-80.87,28.26
30.45,-80.85,28.39
30.45,-79.97,30.3
30.45,-79.95,30.31
30.45,-79.93,30.31
30.45,-79.91,30.3
30.45,-79.89,30.26
30.45,-79.87,30.25
30.45,-79.85,30.23
30.45,-79.27,29.49
30.45,-79.25,29.5
30.45,-79.23,29.45
30.45,-79.21,29.42
30.45,-79.17,29.38
30.45,-79.07,29.3
30.45,-79.05,29.34
30.45,-79.03,29.41
30.45,-78.73,29.61
30.45,-78.71,29.67
30.45,-78.69,29.71
30.45,-78.67,29.73
30.45,-78.65,29.7
30.45,-78.63,29.79
30.45,-78.61,29.81
30.45,-78.59,29.76
30.45,-78.49,29.89
30.45,-78.47,29.84
30.45,-78.45,29.69
30.45,-76.27,28.95
30.45,-76.25,29.03
30.45,-76.23,29.08
30.43,-81.29,28.82
30.43,-81.27,28.76
30.43,-81.25,28.72
30.43,-81.23,28.75
30.43,-81.21,28.69
30.43,-81.19,28.65
30.43,-81.17,28.65
30.43,-81.15,28.64
30.43,-80.95,28.42
30.43,-80.93,28.4
30.43,-80.91,28.33
30.43,-80.89,28.31
30.43,-80.87,28.33
30.43,-80.85,28.4
30.43,-80.83,28.43
30.43,-80.01,30.28
30.43,-79.99,30.27
30.43,-79.93,30.31
30.43,-79.91,30.27
30.43,-79.89,30.25
30.43,-79.87,30.22
30.43,-79.85,30.2
30.43,-79.27,29.5
30.43,-79.25,29.48
30.43,-79.23,29.45
30.43,-79.15,29.5
30.43,-79.13,29.45
30.43,-79.11,29.42
30.43,-79.05,29.48
30.43,-79.03,29.48
30.43,-78.99,29.42
30.43,-78.97,29.4
30.43,-78.95,29.39
30.43,-78.75,29.62
30.43,-78.73,29.53
30.43,-78.71,29.64
30.43,-78.69,29.84
30.43,-78.67,29.86
30.43,-78.65,29.82
30.43,-78.63,29.72
30.43,-78.61,29.75
30.43,-78.59,29.74
30.43,-78.55,29.61
30.43,-78.53,29.72
30.43,-78.51,29.9
30.43,-78.49,29.89
30.43,-78.47,29.86
30.43,-78.45,29.8
30.43,-76.27,28.93
30.43,-76.25,29.02
30.43,-76.23,29.08
30.43,-76.21,29.09
