lat,lon,sst
41.51,-70.57,21.3
41.51,-70.41,21.52
41.51,-70.39,21.92
41.51,-70.37,22.8
41.51,-70.35,23.1
41.51,-70.33,23.15
41.51,-70.31,23.2
41.51,-70.29,23.17
41.51,-70.27,23.08
41.51,-70.25,22.95
41.51,-70.23,22.45
41.51,-70.21,22.03
41.51,-69.81,16.29
41.51,-69.79,16.27
41.51,-69.53,17.46
41.51,-69.51,17.51
41.51,-69.49,17.99
41.51,-69.47,18.73
41.51,-69.45,18.89
41.51,-69.43,18.98
41.51,-69.41,19.18
41.51,-69.39,19.47
41.51,-69.37,19.58
41.51,-69.35,19.73
41.51,-69.33,19.88
41.51,-69.31,20.01
41.51,-69.29,20.13
41.51,-69.27,20.24
41.51,-69.25,20.35
41.51,-69.23,20.4
41.51,-69.21,20.31
41.51,-69.19,20.21
41.51,-69.17,20.41
41.51,-69.15,20.55
41.51,-69.13,20.47
41.51,-69.11,20.39
41.51,-69.09,20.34
41.51,-69.07,20.31
41.49,-70.45,20.9
41.49,-70.43,21.1
41.49,-70.41,21.51
41.49,-70.39,21.99
41.49,-70.37,22.08
41.49,-70.35,22.33
41.49,-70.33,22.95
41.49,-70.31,23.03
41.49,-70.29,22.84
41.49,-70.27,22.53
41.49,-70.25,22.03
41.49,-70.23,22.0
41.49,-69.53,17.45
41.49,-69.51,17.54
41.49,-69.49,18.24
41.49,-69.47,18.51
41.49,-69.45,18.69
41.49,-69.43,18.81
41.49,-69.41,18.93
41.49,-69.39,19.56
41.49,-69.37,19.64
41.49,-69.35,19.75
41.49,-69.33,19.82
41.49,-69.31,20.0
41.49,-69.29,20.1
41.49,-69.27,20.11
41.49,-69.25,20.22
41.49,-69.23,20.22
41.49,-69.21,19.97
41.49,-69.19,20.16
41.49,-69.17,20.44
41.49,-69.15,20.46
41.49,-69.13,20.36
41.49,-69.11,20.29
41.49,-69.09,20.28
41.49,-69.07,20.23
41.49,-69.05,20.16
41.47,-70.45,20.97
41.47,-70.43,21.13
41.47,-70.41,21.5
41.47,-70.39,22.09
41.47,-70.37,21.85
41.47,-70.35,21.87
41.47,-70.33,21.92
41.47,-70.31,22.11
41.47,-70.29,22.25
41.47,-70.27,22.05
41.47,-70.25,22.03
41.47,-69.51,17.68
41.47,-69.47,18.87
41.47,-69.45,18.96
41.47,-69.43,19.02
41.47,-69.41,19.05
41.47,-69.39,19.29
41.47,-69.37,19.41
41.47,-69.35,19.6
41.47,-69.33,19.69
41.47,-69.31,19.85
41.47,-69.29,19.77
41.47,-69.27,19.8
41.47,-69.25,19.92
41.47,-69.23,19.93
41.47,-69.21,19.79
41.47,-69.19,19.92
41.47,-69.17,20.18
41.47,-69.15,20.33
