lat,lon,sst
39.47,-71.11,25.15
39.45,-71.25,25.04
39.45,-71.23,25.09
39.45,-70.81,25.11
39.43,-71.23,25.03
39.43,-70.81,25.11
39.41,-71.41,24.91
39.41,-71.39,24.91
39.39,-71.43,24.47
39.39,-71.41,24.58
39.39,-71.15,24.98
39.39,-71.13,24.97
39.37,-71.33,24.99
39.37,-71.31,24.92
39.37,-71.29,24.89
39.35,-71.41,24.78
39.35,-71.39,24.79
39.33,-71.45,24.45
39.33,-71.43,24.47
39.33,-71.41,24.69
39.33,-69.69,26.86
39.33,-69.67,26.87
39.31,-69.71,27.12
39.31,-69.69,26.88
39.31,-69.67,26.53
39.29,-71.17,24.73
39.29,-69.67,26.32
39.27,-69.71,27.6
39.25,-70.03,27.91
39.25,-69.73,27.69
39.25,-69.71,27.62
39.23,-69.73,27.69
39.23,-69.69,26.83
39.21,-70.75,25.23
39.21,-69.69,26.84
39.19,-70.67,25.14
39.19,-70.65,25.15
39.17,-70.85,25.15
39.17,-70.83,25.16
39.17,-70.57,25.27
39.17,-69.73,27.07
39.17,-69.71,27.01
39.15,-70.97,25.02
39.15,-70.95,25.02
39.15,-70.93,25.12
39.15,-70.91,25.17
39.15,-70.89,25.15
39.15,-70.85,25.21
39.15,-70.83,25.23
39.15,-70.81,25.25
39.15,-70.79,25.22
39.15,-70.77,25.12
39.15,-69.73,27.07
39.13,-70.97,25.03
39.13,-70.95,25.12
39.13,-70.93,25.16
39.13,-70.91,25.19
39.13,-70.85,25.23
39.13,-70.83,25.18
39.13,-70.81,25.15
39.13,-70.79,25.12
39.13,-70.77,25.14
39.11,-71.89,24.26
39.11,-71.87,24.29
39.11,-70.97,25.16
39.11,-70.95,25.16
39.11,-70.93,25.19
39.11,-70.87,25.14
39.11,-70.85,25.14
39.11,-70.83,25.16
39.11,-70.81,25.12
39.09,-71.89,24.29
39.09,-71.87,24.37
39.09,-71.85,24.39
39.09,-71.59,24.83
39.09,-71.57,24.79
39.09,-71.11,25.12
39.09,-70.99,25.12
39.09,-70.97,25.11
39.09,-70.95,25.1
39.09,-70.93,25.05
39.09,-70.91,25.05
39.09,-70.87,25.14
39.09,-70.85,25.15
39.07,-71.89,24.28
39.07,-71.87,24.34
