lat,lon,sst
35.27,-76.15,24.5
35.27,-76.13,24.68
35.25,-76.21,24.27
35.25,-76.19,24.24
35.25,-76.15,24.46
35.25,-76.13,24.59
35.23,-76.21,24.23
35.23,-76.19,24.22
35.17,-73.99,24.69
35.17,-73.97,24.74
35.17,-73.95,24.7
35.17,-73.93,24.55
35.15,-73.97,24.73
35.15,-73.95,24.46
35.15,-73.93,24.47
35.13,-73.95,24.42
35.01,-73.91,22.88
35.01,-73.89,22.87
35.01,-73.87,22.87
34.99,-73.91,22.86
34.99,-73.89,22.89
34.99,-73.87,22.96
34.97,-73.93,23.0
34.97,-73.91,22.98
34.97,-73.89,22.96
34.97,-73.87,23.21
34.97,-73.85,23.46
34.95,-73.95,23.46
34.95,-73.93,23.47
34.95,-73.91,23.3
34.95,-73.89,23.29
34.95,-73.87,23.31
34.95,-73.85,23.47
34.93,-73.97,23.59
34.93,-73.95,23.63
34.93,-73.93,23.61
34.93,-73.91,23.47
34.93,-73.89,23.46
34.93,-73.87,23.46
34.93,-73.85,23.47
34.91,-73.99,23.6
34.91,-73.97,23.61
34.91,-73.95,23.64
34.91,-73.93,23.62
34.91,-73.91,23.57
34.91,-73.89,23.48
34.91,-73.87,23.43
34.91,-73.85,23.41
34.89,-73.99,23.7
34.89,-73.97,23.63
34.89,-73.95,23.65
34.89,-73.93,23.71
34.89,-73.91,23.78
34.89,-73.89,23.7
34.89,-73.87,23.36
34.89,-73.85,23.36
34.87,-73.99,23.7
34.87,-73.97,23.69
34.87,-73.95,23.72
34.87,-73.93,23.83
34.87,-73.91,23.87
34.87,-73.89,23.74
34.87,-73.87,23.66
34.87,-73.85,23.46
34.85,-73.95,23.77
34.85,-73.93,23.86
34.85,-73.91,23.86
34.85,-73.89,23.79
34.85,-73.87,23.73
34.85,-73.85,23.57
34.83,-73.95,23.84
34.83,-73.93,23.88
34.83,-73.91,23.82
34.83,-73.89,23.81
34.83,-73.87,23.65
34.83,-73.85,23.5
34.81,-73.93,23.75
34.81,-73.91,23.77
