lat,lon,sst
38.99,-76.43,25.91
38.99,-76.41,26.0
38.99,-76.39,25.85
38.99,-76.37,25.78
38.99,-76.35,25.58
38.99,-76.27,25.87
38.99,-76.25,25.88
38.99,-76.23,25.9
38.99,-76.21,25.87
38.99,-76.19,25.86
38.99,-75.31,25.12
38.99,-75.29,25.08
38.99,-75.27,24.95
38.99,-75.25,24.47
38.99,-75.23,24.43
38.99,-75.21,24.21
38.99,-75.19,24.22
38.99,-75.17,24.39
38.99,-75.15,24.19
38.99,-75.13,24.04
38.99,-75.11,24.16
38.99,-75.09,24.21
38.99,-75.07,24.23
38.99,-75.05,24.21
38.99,-75.03,24.21
38.99,-75.01,24.49
38.99,-74.99,24.5
38.99,-74.97,24.21
38.99,-74.79,21.15
38.99,-74.77,21.2
38.97,-76.47,25.83
38.97,-76.45,25.86
38.97,-76.43,25.96
38.97,-76.41,26.0
38.97,-76.39,25.87
38.97,-75.31,24.51
38.97,-75.29,25.12
38.97,-75.27,25.09
38.97,-75.25,24.69
38.97,-75.23,24.4
38.97,-75.21,24.24
38.97,-75.19,24.16
38.97,-75.17,24.2
38.97,-75.15,24.19
38.97,-75.13,24.04
38.97,-75.11,24.06
38.97,-75.09,23.97
38.97,-75.07,23.91
38.97,-75.05,23.83
38.97,-75.03,23.8
38.97,-75.01,23.68
38.97,-74.99,23.62
38.97,-74.97,23.62
38.97,-74.87,20.61
38.97,-74.83,20.61
38.97,-74.81,21.02
38.97,-74.79,21.08
38.97,-74.77,21.18
38.95,-76.45,25.95
38.95,-76.43,26.03
38.95,-76.41,25.97
38.95,-76.39,25.66
38.95,-76.37,25.6
38.95,-75.31,24.59
38.95,-75.29,24.8
38.95,-75.27,25.16
38.95,-75.25,24.73
38.95,-75.23,24.41
38.95,-75.21,24.39
38.95,-75.19,24.18
38.95,-75.17,24.11
38.95,-75.15,24.08
38.95,-75.13,24.03
38.95,-75.11,23.9
38.95,-75.09,23.83
38.95,-75.07,23.76
38.95,-75.05,23.35
38.95,-75.03,23.28
38.95,-75.01,23.22
38.95,-74.99,22.84
38.95,-74.97,22.59
38.95,-74.89,21.12
38.95,-74.85,21.14
38.95,-74.83,20.68
38.95,-74.81,20.67
38.93,-76.45,26.07
38.93,-76.43,26.09
38.93,-76.41,26.03
38.93,-76.39,25.67
38.93,-76.37,25.62
38.93,-76.29,25.9
38.93,-76.27,25.93
38.93,-76.25,25.99
38.93,-76.23,26.06
38.93,-76.21,26.08
38.93,-75.31,24.62
38.93,-75.29,24.65
38.93,-75.27,25.0
38.93,-75.25,24.82
38.93,-75.23,24.79
38.93,-75.21,24.41
38.93,-75.19,24.2
38.93,-75.17,24.06
38.93,-75.15,24.0
38.93,-75.13,23.87
38.93,-75.11,23.74
38.93,-75.09,23.56
38.93,-75.07,23.16
38.93,-75.05,22.89
38.93,-75.03,22.84
38.93,-75.01,22.85
38.93,-74.99,22.8
38.93,-74.97,22.57
38.93,-74.95,22.31
38.93,-74.91,22.24
38.93,-74.89,22.27
38.93,-74.87,22.25
38.93,-74.85,22.23
38.93,-74.83,21.09
38.93,-74.81,20.69
38.91,-76.49,26.11
38.91,-76.45,26.25
38.91,-76.43,26.3
38.91,-76.41,26.11
38.91,-76.39,25.94
38.91,-76.37,25.59
38.91,-76.33,25.85
38.91,-76.31,25.87
38.91,-76.29,25.99
38.91,-76.27,25.98
38.91,-76.23,26.14
38.91,-76.21,26.1
38.91,-75.29,24.68
38.91,-75.27,24.8
38.91,-75.25,24.81
38.91,-75.23,24.77
38.91,-75.21,24.5
38.91,-75.19,24.28
38.91,-75.17,24.07
38.91,-75.15,23.88
38.91,-75.13,23.48
38.91,-75.11,23.26
38.91,-75.09,23.16
38.91,-75.07,22.69
38.91,-75.05,22.51
38.91,-75.03,22.53
38.91,-75.01,22.66
38.91,-74.99,22.76
38.91,-74.97,22.55
38.91,-74.95,22.34
38.91,-74.93,22.19
38.91,-74.91,22.17
38.91,-74.89,22.21
38.91,-74.87,22.22
38.91,-74.85,22.25
38.91,-74.83,22.25
38.91,-74.81,20.69
38.89,-76.49,26.04
38.89,-76.47,26.17
38.89,-76.45,26.27
38.89,-76.43,26.29
38.89,-76.41,25.88
38.89,-76.39,25.67
38.89,-76.37,25.6
38.89,-76.33,25.91
38.89,-76.31,25.98
38.89,-76.29,26.09
38.89,-76.27,26.14
38.89,-76.25,26.15
38.89,-76.23,26.1
38.89,-76.21,26.06
38.89,-75.27,24.19
38.89,-75.25,24.85
38.89,-75.23,24.92
38.89,-75.21,24.82
38.89,-75.19,24.5
38.89,-75.17,24.27
38.89,-75.15,23.78
38.89,-75.13,23.25
38.89,-75.11,23.19
38.89,-75.09,22.74
38.89,-75.07,22.22
38.89,-75.05,22.18
38.89,-75.03,22.35
38.89,-75.01,22.44
38.89,-74.99,22.52
38.89,-74.97,22.53
38.89,-74.95,22.2
38.89,-74.93,22.11
38.89,-74.91,22.08
38.89,-74.89,22.09
38.89,-74.87,22.13
38.89,-74.85,22.18
38.89,-74.83,22.23
38.87,-76.49,26.02
38.87,-76.47,26.03
38.87,-76.45,26.08
38.87,-76.43,26.0
38.87,-76.41,25.83
38.87,-76.39,25.71
38.87,-76.37,25.69
38.87,-76.33,26.1
38.87,-76.31,26.12
38.87,-76.29,26.08
38.87,-76.27,26.09
38.87,-76.25,26.07
38.87,-76.23,26.05
38.87,-76.21,26.06
38.87,-75.25,24.7
38.87,-75.23,24.75
38.87,-75.21,24.7
38.87,-75.19,24.57
38.87,-75.17,24.03
38.87,-75.15,23.76
38.87,-75.13,23.27
38.87,-75.11,22.87
38.87,-75.09,22.34
38.87,-75.07,21.98
38.87,-75.05,21.93
38.87,-75.03,22.35
38.87,-75.01,22.37
38.87,-74.99,22.35
38.87,-74.97,22.3
38.87,-74.95,22.16
38.87,-74.93,22.06
38.87,-74.91,22.07
38.87,-74.89,22.07
38.87,-74.87,22.07
38.87,-74.85,22.09
38.87,-74.83,22.21
38.85,-76.47,26.02
38.85,-76.45,26.05
38.85,-76.43,26.04
38.85,-76.41,25.83
38.85,-76.39,25.74
38.85,-76.35,26.14
38.85,-76.33,26.18
38.85,-76.31,26.13
38.85,-76.29,26.1
38.85,-76.23,26.29
38.85,-76.21,26.28
38.85,-75.23,23.79
38.85,-75.21,24.57
38.85,-75.19,24.5
38.85,-75.17,23.87
38.85,-75.15,23.61
38.85,-75.13,23.43
38.85,-75.11,23.37
38.85,-75.09,23.0
38.85,-75.07,22.19
38.85,-75.05,21.97
38.85,-75.03,22.21
38.85,-75.01,22.34
38.85,-74.99,22.25
38.85,-74.97,22.1
38.85,-74.95,22.15
38.85,-74.93,22.15
38.85,-74.91,22.26
38.85,-74.89,22.28
38.85,-74.87,22.1
38.85,-74.85,22.06
38.83,-76.47,26.06
38.83,-76.45,26.04
