lat,lon,sst_c,source,date,sst_f
34.0,-77.95,20.72,blended,2026-04-17,69.3
34.0,-77.9,19.485,blended,2026-04-17,67.07
34.0,-77.8,19.66,blended,2026-04-17,67.39
34.0,-77.75,19.632,blended,2026-04-17,67.34
34.0,-77.7,19.752,blended,2026-04-17,67.55
34.0,-77.65,19.967,blended,2026-04-17,67.94
34.0,-77.6,20.36,blended,2026-04-17,68.65
34.0,-77.55,20.6,blended,2026-04-17,69.08
34.0,-77.5,20.92,blended,2026-04-17,69.66
34.0,-77.45,21.233,blended,2026-04-17,70.22
34.0,-77.4,21.612,blended,2026-04-17,70.9
34.0,-77.3,21.895,blended,2026-04-17,71.41
34.0,-77.25,23.61,blended,2026-04-17,74.5
34.0,-77.2,23.745,blended,2026-04-17,74.74
34.0,-77.15,23.795,blended,2026-04-17,74.83
34.0,-77.1,22.35,blended,2026-04-17,72.23
34.0,-77.05,22.55,blended,2026-04-17,72.59
34.0,-77.0,24.292,blended,2026-04-17,75.73
34.0,-76.95,24.395,blended,2026-04-17,75.91
34.0,-76.9,24.443,blended,2026-04-17,76.0
34.0,-76.8,23.46,blended,2026-04-17,74.23
34.0,-76.75,24.445,blended,2026-04-17,76.0
34.0,-76.7,24.462,blended,2026-04-17,76.03
34.0,-76.65,24.455,blended,2026-04-17,76.02
34.0,-76.6,23.17,blended,2026-04-17,73.71
34.0,-76.55,24.328,blended,2026-04-17,75.79
34.0,-76.5,24.24,blended,2026-04-17,75.63
34.0,-76.45,24.15,blended,2026-04-17,75.47
34.0,-76.4,24.118,blended,2026-04-17,75.41
34.0,-76.3,24.215,blended,2026-04-17,75.59
34.0,-76.25,24.322,blended,2026-04-17,75.78
34.0,-76.2,24.44,blended,2026-04-17,75.99
34.0,-76.15,24.59,blended,2026-04-17,76.26
34.0,-76.1,24.45,blended,2026-04-17,76.01
34.0,-76.05,24.807,blended,2026-04-17,76.65
34.0,-76.0,24.85,blended,2026-04-17,76.73
34.0,-75.95,24.87,blended,2026-04-17,76.77
34.0,-75.9,24.845,blended,2026-04-17,76.72
34.0,-75.8,24.88,blended,2026-04-17,76.78
34.0,-75.75,24.89,blended,2026-04-17,76.8
34.0,-75.7,24.925,blended,2026-04-17,76.87
34.0,-75.65,24.917,blended,2026-04-17,76.85
34.0,-75.6,24.95,blended,2026-04-17,76.91
34.0,-75.55,24.873,blended,2026-04-17,76.77
34.0,-75.5,24.81,blended,2026-04-17,76.66
34.0,-75.45,24.722,blended,2026-04-17,76.5
34.0,-75.4,24.46,blended,2026-04-17,76.03
34.0,-75.3,24.52,blended,2026-04-17,76.14
34.0,-75.25,24.38,blended,2026-04-17,75.88
34.0,-75.2,24.327,blended,2026-04-17,75.79
34.0,-75.15,24.14,blended,2026-04-17,75.45
34.0,-75.1,24.24,blended,2026-04-17,75.63
34.0,-75.05,24.25,blended,2026-04-17,75.65
34.0,-75.0,24.215,blended,2026-04-17,75.59
34.0,-74.95,24.146,blended,2026-04-17,75.46
34.0,-74.9,24.15,blended,2026-04-17,75.47
