lat,lon,sst_c,source,date,sst_f
33.725,-78.825,18.55,CMEMS,2026-04-16,65.39
33.725,-78.775,18.38,CMEMS,2026-04-16,65.08
33.725,-78.725,18.36,CMEMS,2026-04-16,65.05
33.725,-78.675,18.37,CMEMS,2026-04-16,65.07
33.725,-78.625,18.4,CMEMS,2026-04-16,65.12
33.725,-78.575,18.49,CMEMS,2026-04-16,65.28
33.725,-78.525,18.6,CMEMS,2026-04-16,65.48
33.725,-78.475,18.75,CMEMS,2026-04-16,65.75
33.725,-78.425,18.85,CMEMS,2026-04-16,65.93
33.725,-78.375,18.87,CMEMS,2026-04-16,65.97
33.725,-78.325,18.86,CMEMS,2026-04-16,65.95
33.725,-78.275,18.84,CMEMS,2026-04-16,65.91
33.725,-78.225,18.85,CMEMS,2026-04-16,65.93
33.725,-78.175,18.89,CMEMS,2026-04-16,66.0
33.725,-78.125,19.0,CMEMS,2026-04-16,66.2
33.725,-78.075,19.13,CMEMS,2026-04-16,66.43
33.725,-78.025,19.26,CMEMS,2026-04-16,66.67
33.725,-77.975,19.14,CMEMS,2026-04-16,66.45
33.725,-77.925,19.02,CMEMS,2026-04-16,66.24
33.725,-77.875,18.91,CMEMS,2026-04-16,66.04
33.725,-77.825,18.81,CMEMS,2026-04-16,65.86
33.725,-77.775,18.74,CMEMS,2026-04-16,65.73
33.725,-77.725,18.84,CMEMS,2026-04-16,65.91
33.725,-77.675,18.95,CMEMS,2026-04-16,66.11
33.725,-77.625,19.08,CMEMS,2026-04-16,66.34
33.725,-77.575,19.69,CMEMS,2026-04-16,67.44
33.725,-77.525,20.5,CMEMS,2026-04-16,68.9
33.725,-77.475,21.79,CMEMS,2026-04-16,71.22
33.725,-77.425,22.88,CMEMS,2026-04-16,73.18
33.725,-77.375,23.72,CMEMS,2026-04-16,74.7
33.725,-77.325,24.12,CMEMS,2026-04-16,75.42
33.725,-77.275,24.37,CMEMS,2026-04-16,75.87
33.725,-77.225,24.42,CMEMS,2026-04-16,75.96
33.725,-77.175,24.42,CMEMS,2026-04-16,75.96
33.725,-77.125,24.38,CMEMS,2026-04-16,75.88
33.725,-77.075,24.4,CMEMS,2026-04-16,75.92
33.725,-77.025,24.44,CMEMS,2026-04-16,75.99
33.725,-76.975,24.57,CMEMS,2026-04-16,76.23
33.725,-76.925,24.65,CMEMS,2026-04-16,76.37
33.725,-76.875,24.66,CMEMS,2026-04-16,76.39
33.725,-76.825,24.58,CMEMS,2026-04-16,76.24
33.725,-76.775,24.48,CMEMS,2026-04-16,76.06
33.725,-76.725,24.44,CMEMS,2026-04-16,75.99
33.725,-76.675,24.36,CMEMS,2026-04-16,75.85
33.725,-76.625,24.25,CMEMS,2026-04-16,75.65
33.725,-76.575,24.26,CMEMS,2026-04-16,75.67
33.725,-76.525,24.33,CMEMS,2026-04-16,75.79
33.725,-76.475,24.55,CMEMS,2026-04-16,76.19
33.725,-76.425,24.79,CMEMS,2026-04-16,76.62
33.725,-76.375,25.05,CMEMS,2026-04-16,77.09
33.725,-76.325,25.04,CMEMS,2026-04-16,77.07
33.725,-76.275,24.93,CMEMS,2026-04-16,76.87
33.725,-76.225,24.78,CMEMS,2026-04-16,76.6
33.725,-76.175,24.65,CMEMS,2026-04-16,76.37
33.725,-76.125,24.55,CMEMS,2026-04-16,76.19
33.725,-76.075,24.61,CMEMS,2026-04-16,76.3
33.725,-76.025,24.71,CMEMS,2026-04-16,76.48
33.725,-75.975,24.79,CMEMS,2026-04-16,76.62
33.725,-75.925,24.79,CMEMS,2026-04-16,76.62
33.725,-75.875,24.71,CMEMS,2026-04-16,76.48
33.725,-75.825,24.76,CMEMS,2026-04-16,76.57
33.725,-75.775,24.83,CMEMS,2026-04-16,76.69
33.725,-75.725,24.76,CMEMS,2026-04-16,76.57
33.725,-75.675,24.65,CMEMS,2026-04-16,76.37
33.725,-75.625,24.5,CMEMS,2026-04-16,76.1
33.725,-75.575,24.52,CMEMS,2026-04-16,76.14
33.725,-75.525,24.55,CMEMS,2026-04-16,76.19
33.725,-75.475,24.33,CMEMS,2026-04-16,75.79
33.725,-75.425,24.01,CMEMS,2026-04-16,75.22
33.725,-75.375,23.57,CMEMS,2026-04-16,74.43
33.725,-75.325,23.32,CMEMS,2026-04-16,73.98
33.725,-75.275,23.11,CMEMS,2026-04-16,73.6
33.725,-75.225,22.87,CMEMS,2026-04-16,73.17
33.725,-75.175,22.56,CMEMS,2026-04-16,72.61
33.725,-75.125,22.17,CMEMS,2026-04-16,71.91
33.725,-75.075,21.9,CMEMS,2026-04-16,71.42
33.725,-75.025,21.71,CMEMS,2026-04-16,71.08
33.725,-74.975,21.87,CMEMS,2026-04-16,71.37
33.725,-74.925,21.94,CMEMS,2026-04-16,71.49
33.725,-74.875,21.9,CMEMS,2026-04-16,71.42
33.725,-74.825,21.75,CMEMS,2026-04-16,71.15
