lat,lon,sst_c,source,date,sst_f
33.725,-78.825,18.41,VIIRS,2026-04-16,65.14
33.725,-78.775,18.43,VIIRS,2026-04-16,65.17
33.725,-78.725,18.48,VIIRS,2026-04-16,65.26
33.725,-78.675,18.55,VIIRS,2026-04-16,65.39
33.725,-78.625,18.6,VIIRS,2026-04-16,65.48
33.725,-78.575,18.64,VIIRS,2026-04-16,65.55
33.725,-78.525,18.66,VIIRS,2026-04-16,65.59
33.725,-78.475,18.68,VIIRS,2026-04-16,65.62
33.725,-78.425,18.69,VIIRS,2026-04-16,65.64
33.725,-78.375,18.71,VIIRS,2026-04-16,65.68
33.725,-78.325,18.73,VIIRS,2026-04-16,65.71
33.725,-78.275,18.76,VIIRS,2026-04-16,65.77
33.725,-78.225,18.8,VIIRS,2026-04-16,65.84
33.725,-78.175,18.87,VIIRS,2026-04-16,65.97
33.725,-78.125,18.93,VIIRS,2026-04-16,66.07
33.725,-78.075,18.93,VIIRS,2026-04-16,66.07
33.725,-78.025,18.91,VIIRS,2026-04-16,66.04
33.725,-77.975,18.88,VIIRS,2026-04-16,65.98
33.725,-77.925,18.87,VIIRS,2026-04-16,65.97
33.725,-77.875,18.91,VIIRS,2026-04-16,66.04
33.725,-77.825,19.02,VIIRS,2026-04-16,66.24
33.725,-77.775,19.18,VIIRS,2026-04-16,66.52
33.725,-77.725,19.39,VIIRS,2026-04-16,66.9
33.725,-77.675,19.67,VIIRS,2026-04-16,67.41
33.725,-77.625,20.07,VIIRS,2026-04-16,68.13
33.725,-77.575,20.82,VIIRS,2026-04-16,69.48
33.725,-77.525,21.66,VIIRS,2026-04-16,70.99
33.725,-77.475,22.53,VIIRS,2026-04-16,72.55
33.725,-77.425,23.31,VIIRS,2026-04-16,73.96
33.725,-77.375,23.67,VIIRS,2026-04-16,74.61
33.725,-77.325,23.93,VIIRS,2026-04-16,75.07
33.725,-77.275,24.09,VIIRS,2026-04-16,75.36
33.725,-77.225,24.21,VIIRS,2026-04-16,75.58
33.725,-77.175,24.32,VIIRS,2026-04-16,75.78
33.725,-77.125,24.38,VIIRS,2026-04-16,75.88
33.725,-77.075,24.39,VIIRS,2026-04-16,75.9
33.725,-77.025,24.39,VIIRS,2026-04-16,75.9
33.725,-76.975,24.43,VIIRS,2026-04-16,75.97
33.725,-76.925,24.48,VIIRS,2026-04-16,76.06
33.725,-76.875,24.53,VIIRS,2026-04-16,76.15
33.725,-76.825,24.57,VIIRS,2026-04-16,76.23
33.725,-76.775,24.57,VIIRS,2026-04-16,76.23
33.725,-76.725,24.53,VIIRS,2026-04-16,76.15
33.725,-76.675,24.47,VIIRS,2026-04-16,76.05
33.725,-76.625,24.4,VIIRS,2026-04-16,75.92
33.725,-76.575,24.36,VIIRS,2026-04-16,75.85
33.725,-76.525,24.33,VIIRS,2026-04-16,75.79
33.725,-76.475,24.34,VIIRS,2026-04-16,75.81
33.725,-76.425,24.4,VIIRS,2026-04-16,75.92
33.725,-76.375,24.51,VIIRS,2026-04-16,76.12
33.725,-76.325,24.64,VIIRS,2026-04-16,76.35
33.725,-76.275,24.8,VIIRS,2026-04-16,76.64
33.725,-76.225,24.94,VIIRS,2026-04-16,76.89
33.725,-76.175,25.03,VIIRS,2026-04-16,77.05
33.725,-76.125,25.09,VIIRS,2026-04-16,77.16
33.725,-76.075,25.11,VIIRS,2026-04-16,77.2
33.725,-76.025,25.1,VIIRS,2026-04-16,77.18
33.725,-75.975,25.06,VIIRS,2026-04-16,77.11
33.725,-75.925,25.01,VIIRS,2026-04-16,77.02
33.725,-75.875,24.92,VIIRS,2026-04-16,76.86
33.725,-75.825,24.83,VIIRS,2026-04-16,76.69
33.725,-75.775,24.73,VIIRS,2026-04-16,76.51
33.725,-75.725,24.65,VIIRS,2026-04-16,76.37
33.725,-75.675,24.58,VIIRS,2026-04-16,76.24
33.725,-75.625,24.52,VIIRS,2026-04-16,76.14
33.725,-75.575,24.45,VIIRS,2026-04-16,76.01
33.725,-75.525,24.36,VIIRS,2026-04-16,75.85
33.725,-75.475,24.26,VIIRS,2026-04-16,75.67
33.725,-75.425,24.14,VIIRS,2026-04-16,75.45
33.725,-75.375,23.96,VIIRS,2026-04-16,75.13
33.725,-75.325,23.77,VIIRS,2026-04-16,74.79
33.725,-75.275,23.55,VIIRS,2026-04-16,74.39
33.725,-75.225,23.29,VIIRS,2026-04-16,73.92
33.725,-75.175,23.08,VIIRS,2026-04-16,73.54
33.725,-75.125,22.88,VIIRS,2026-04-16,73.18
33.725,-75.075,22.76,VIIRS,2026-04-16,72.97
33.725,-75.025,22.69,VIIRS,2026-04-16,72.84
33.725,-74.975,22.65,VIIRS,2026-04-16,72.77
33.725,-74.925,22.6,VIIRS,2026-04-16,72.68
33.725,-74.875,22.49,VIIRS,2026-04-16,72.48
33.725,-74.825,22.36,VIIRS,2026-04-16,72.25
33.725,-74.775,22.19,VIIRS,2026-04-16,71.94
33.725,-74.725,22.02,VIIRS,2026-04-16,71.64
33.725,-74.675,21.86,VIIRS,2026-04-16,71.35
33.725,-74.625,21.72,VIIRS,2026-04-16,71.1
33.725,-74.575,21.59,VIIRS,2026-04-16,70.86
33.725,-74.525,21.47,VIIRS,2026-04-16,70.65
33.725,-74.475,21.33,VIIRS,2026-04-16,70.39
33.725,-74.425,21.17,VIIRS,2026-04-16,70.11
33.725,-74.375,20.99,VIIRS,2026-04-16,69.78
33.725,-74.325,20.83,VIIRS,2026-04-16,69.49
33.725,-74.275,20.67,VIIRS,2026-04-16,69.21
33.725,-74.225,20.57,VIIRS,2026-04-16,69.03
33.725,-74.175,20.55,VIIRS,2026-04-16,68.99
33.725,-74.125,20.54,VIIRS,2026-04-16,68.97
33.725,-74.075,20.54,VIIRS,2026-04-16,68.97
33.725,-74.025,20.54,VIIRS,2026-04-16,68.97
33.725,-73.975,20.51,VIIRS,2026-04-16,68.92
33.725,-73.925,20.45,VIIRS,2026-04-16,68.81
33.725,-73.875,20.38,VIIRS,2026-04-16,68.68
33.725,-73.825,20.3,VIIRS,2026-04-16,68.54
33.725,-73.775,20.24,VIIRS,2026-04-16,68.43
33.725,-73.725,20.19,VIIRS,2026-04-16,68.34
33.725,-73.675,20.17,VIIRS,2026-04-16,68.31
33.725,-73.625,20.16,VIIRS,2026-04-16,68.29
33.725,-73.575,20.14,VIIRS,2026-04-16,68.25
33.725,-73.525,20.13,VIIRS,2026-04-16,68.23
33.725,-73.475,20.12,VIIRS,2026-04-16,68.22
33.725,-73.425,20.11,VIIRS,2026-04-16,68.2
33.725,-73.375,20.11,VIIRS,2026-04-16,68.2
33.725,-73.325,20.12,VIIRS,2026-04-16,68.22
33.725,-73.275,20.14,VIIRS,2026-04-16,68.25
33.725,-73.225,20.16,VIIRS,2026-04-16,68.29
33.725,-73.175,20.17,VIIRS,2026-04-16,68.31
33.725,-73.125,20.18,VIIRS,2026-04-16,68.32
33.725,-73.075,20.2,VIIRS,2026-04-16,68.36
33.725,-73.025,20.23,VIIRS,2026-04-16,68.41
33.725,-72.975,20.26,VIIRS,2026-04-16,68.47
33.725,-72.925,20.31,VIIRS,2026-04-16,68.56
33.725,-72.875,20.34,VIIRS,2026-04-16,68.61
33.725,-72.825,20.37,VIIRS,2026-04-16,68.67
33.725,-72.775,20.38,VIIRS,2026-04-16,68.68
33.725,-72.725,20.38,VIIRS,2026-04-16,68.68
33.725,-72.675,20.38,VIIRS,2026-04-16,68.68
33.725,-72.625,20.38,VIIRS,2026-04-16,68.68
33.725,-72.575,20.4,VIIRS,2026-04-16,68.72
33.725,-72.525,20.42,VIIRS,2026-04-16,68.76
33.725,-72.475,20.45,VIIRS,2026-04-16,68.81
33.725,-72.425,20.48,VIIRS,2026-04-16,68.86
33.725,-72.375,20.51,VIIRS,2026-04-16,68.92
33.725,-72.325,20.53,VIIRS,2026-04-16,68.95
33.725,-72.275,20.54,VIIRS,2026-04-16,68.97
33.725,-72.225,20.53,VIIRS,2026-04-16,68.95
33.775,-78.775,18.42,VIIRS,2026-04-16,65.16
33.775,-78.725,18.49,VIIRS,2026-04-16,65.28
33.775,-78.675,18.57,VIIRS,2026-04-16,65.43
33.775,-78.625,18.65,VIIRS,2026-04-16,65.57
33.775,-78.575,18.69,VIIRS,2026-04-16,65.64
33.775,-78.525,18.71,VIIRS,2026-04-16,65.68
33.775,-78.475,18.73,VIIRS,2026-04-16,65.71
