name,latitude,longitude,type,region,depth_ft,verified,notes
Ana Cecilia (Anna C),26.7843,-80.0016,wreck,LakeWorthFL,85,true,"170ft cargo ship sunk 2016-07-13, part of 'The Corridor' wreck trek. scubadiving.com"
Mizpah,26.786389,-80.016111,wreck,LakeWorthFL,85,true,"1926 luxury liner, oldest PB artificial reef (sunk 1968), Corridor trek. florida-scubadiving.com"
PC-1174,26.786389,-80.016111,wreck,LakeWorthFL,85,false,"Patrol craft immediately adjacent to/under the bow of the Mizpah, no separate GPS fix found -- using Mizpah's position. divepbc.com"
Amaryllis (450ft Canoe),26.788333,-80.016,wreck,LakeWorthFL,85,true,"441ft ex-Cromwell Park banana freighter, salvaged hull, Corridor trek. Wikipedia/coralheads.com"
Castor,26.175,-80.059,wreck,LakeWorthFL,110,false,"258ft Dutch freighter seized w/ cocaine, sunk 2001-12-14 off Boynton Beach, goliath grouper spawning site. scubadiverlife.com (approx coordinate)"
Eagle Wreck,24.869667,-80.570167,wreck,IslamoradaFL,110,true,"287ft freighter sunk 1985, 6mi off Lower Matecumbe Key. NOAA Florida Keys NMS shipwreck trail"
Alligator Reef Light,24.851,-80.6183,structure,IslamoradaFL,,true,Historic reef lighthouse marking Alligator Reef. Wikipedia/lighthousefriends.com
Alligator Reef,24.847222,-80.619722,reef,IslamoradaFL,45,true,"Popular grouper/snapper/hogfish reef, 3.5mi from Robbie's Marina."
Pickles Reef,24.9875,-80.414444,reef,IslamoradaFL,,true,"Named spur-and-groove reef, Upper Keys. Wikipedia"
Thunderbolt,24.66105,-80.963067,wreck,MarathonFL,120,true,"189ft cable-laying ship sunk 1986, 5.5mi offshore Marathon. florida-keys-vacation.com"
Adolphus Busch,24.530683,-81.461467,wreck,MarathonFL,100,true,"Freighter off Big Pine Key, fully penetrable, upright on sand. Wikipedia/florida-keys-vacation.com"
USS Vandenberg,24.452733,-81.726567,wreck,KeyWestFL,145,true,"520ft ex-missile-tracking ship, 2nd-largest artificial reef on Earth, sunk 2009. keywest.com"
Cayman Salvage Master,24.4535,-81.766333,wreck,KeyWestFL,95,true,"187ft buoy tender sunk 1985, resident goliath groupers. florida-keys-vacation.com"
Belzona Wreck Trek,25.789,-80.2264,wreck,MiamiFL,72,false,"Cluster of 4 wrecks (Belzona I/II/III + Barge) within ~150ft of each other off Key Biscayne, rebar-staked trek; one representative coordinate for the group, no per-wreck fixes found. diveboard.com"
Tod Sirod Reef (Collier 1),26.129517,-82.038167,reef,NaplesFL,,true,Named Collier County artificial reef. Wikipedia
Wasmer Reef,26.032883,-81.97595,reef,NaplesFL,,true,"10nm from Gordon Pass, Collier County artificial reef program."
USCGC Mohawk,26.55125,-82.724683,wreck,FtMyersBeachFL,90,true,"165ft WWII cutter, Veterans Memorial Reef, sunk 2012-07-02, ~28nm off Sanibel. visitfortmyers.com"
Dean Hicks Reef - East Patch,26.367417,-82.28535,reef,FtMyersBeachFL,,true,Lee County artificial reef program.
Dean Hicks Reef - West Patch,26.367383,-82.291067,reef,FtMyersBeachFL,,true,Lee County artificial reef program.
Phoenix Reef,26.7597,-82.47405,reef,FtMyersBeachFL,,true,Lee County artificial reef program.
